;;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
AFG;Afghanistan;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
ALB;Albania;..;..;..;LM;LM;LM;L;L;L;LM;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;LM;UM
DZA;Algeria;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
ASM;American Samoa;H;H;H;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
ADO;Andorra;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
AGO;Angola;..;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;UM;UM
ATG;Antigua and Barbuda;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;UM;UM;H;H;H;H;UM;UM;UM;H
ARG;Argentina;UM;UM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
ARM;Armenia;..;..;..;..;LM;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
ABW;Aruba;H;H;H;H;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
AUS;Australia;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
AUT;Austria;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
AZE;Azerbaijan;..;..;..;..;LM;LM;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM
BHS;Bahamas, The;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
BHR;Bahrain;H;H;H;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H
BGD;Bangladesh;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
BRB;Barbados;UM;UM;H;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;UM;H;UM;UM;UM;H;H;H;H;H;H;H
BLR;Belarus;..;..;..;..;UM;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM
BEL;Belgium;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
BLZ;Belize;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;LM;LM;LM;LM;UM
BEN;Benin;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
BMU;Bermuda;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
BTN;Bhutan;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM
BOL;Bolivia;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
BIH;Bosnia and Herzegovina;..;..;..;..;..;LM;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
BWA;Botswana;LM;LM;LM;LM;UM;UM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
BRA;Brazil;UM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM
BRN;Brunei Darussalam;H;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
BGR;Bulgaria;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM
BFA;Burkina Faso;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
BDI;Burundi;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
KHM;Cambodia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
CMR;Cameroon;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM
CAN;Canada;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
CPV;Cape Verde;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
CYM;Cayman Islands;..;..;..;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
CAF;Central African Republic;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
TCD;Chad;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
CHI;Channel Islands;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
