	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality
																					
fert	-0.0105	-0.00573	-0.00164	0.00525	0.00654	0.0135	0.00120	0.00112	0.00110	0.00144	0.00137	0.00136	-0.0225	-0.0154	-0.00452	0.00524	0.00780	0.0110	-0.000430	-0.000508	-0.000583
	(0.0207)	(0.0209)	(0.0224)	(0.0120)	(0.0121)	(0.0131)	(0.00157)	(0.00158)	(0.00158)	(0.00117)	(0.00118)	(0.00117)	(0.0162)	(0.0164)	(0.0175)	(0.00962)	(0.00975)	(0.0103)	(0.00166)	(0.00167)	(0.00168)
malec	-0.00887**	-0.00970**	-0.0162***	-0.00357	-0.00427*	-0.00822***	0.00143***	0.00142***	0.00142***	0.00107***	0.00106***	0.00106***	0.000543	-0.000639	-0.0134***	-0.00366**	-0.00434**	-0.0110***	0.00169***	0.00169***	0.00172***
	(0.00415)	(0.00416)	(0.00435)	(0.00259)	(0.00258)	(0.00263)	(0.000312)	(0.000312)	(0.000307)	(0.000229)	(0.000228)	(0.000226)	(0.00313)	(0.00314)	(0.00327)	(0.00182)	(0.00182)	(0.00182)	(0.000321)	(0.000321)	(0.000315)
agemay	0.0818***	0.0845***	0.135***	-0.00674	-0.00523	0.0162***	-0.0789***	-0.0789***	-0.0788***	-0.0482***	-0.0482***	-0.0481***	0.0529***	0.0553***	0.0864***	-0.0175***	-0.0170***	-0.00274	-0.0224***	-0.0224***	-0.0225***
	(0.00973)	(0.00971)	(0.00936)	(0.00587)	(0.00584)	(0.00546)	(0.000730)	(0.000727)	(0.000662)	(0.000518)	(0.000516)	(0.000478)	(0.00751)	(0.00752)	(0.00759)	(0.00524)	(0.00525)	(0.00515)	(0.000736)	(0.000733)	(0.000695)
magesq	0.000133	0.000129	-0.000411***	0.000355***	0.000345***	0.000112	0.000144***	0.000144***	0.000143***	5.41e-05***	5.41e-05***	5.35e-05***	-0.000301***	-0.000293***	-0.000644***	0.000324***	0.000332***	0.000170**	0.000185***	0.000185***	0.000186***
	(0.000128)	(0.000129)	(0.000127)	(7.58e-05)	(7.58e-05)	(7.30e-05)	(9.71e-06)	(9.72e-06)	(9.05e-06)	(7.06e-06)	(7.07e-06)	(6.69e-06)	(0.000106)	(0.000106)	(0.000109)	(7.23e-05)	(7.28e-05)	(7.25e-05)	(1.04e-05)	(1.04e-05)	(1.01e-05)
agefirstbirth	-0.0661***	-0.0662***	-0.0504***	-0.0112***	-0.0112***	-0.00371	0.0684***	0.0684***	0.0685***	0.0442***	0.0442***	0.0443***	-0.00886***	-0.00957***	0.00937***	0.000935	0.000692	0.00788***	0.00853***	0.00853***	0.00851***
	(0.00385)	(0.00386)	(0.00442)	(0.00231)	(0.00232)	(0.00276)	(0.000290)	(0.000289)	(0.000308)	(0.000211)	(0.000211)	(0.000221)	(0.00168)	(0.00168)	(0.00207)	(0.00102)	(0.00102)	(0.00130)	(0.000168)	(0.000167)	(0.000193)
educf	0.127***	0.133***		0.0456***	0.0485***		-0.000267	-0.000305*		-9.64e-05	-0.000127		0.127***	0.135***		0.0436***	0.0466***		-0.000890***	-0.000942***	
	(0.00238)	(0.00253)		(0.00169)	(0.00180)		(0.000172)	(0.000182)		(0.000113)	(0.000119)		(0.00171)	(0.00181)		(0.00121)	(0.00130)		(0.000170)	(0.000179)	
educfyrs_sq	-0.00420***	-0.00435***		-0.00146***	-0.00153***		3.65e-05***	3.63e-05***		2.21e-05***	2.18e-05***		-0.00407***	-0.00422***		-0.00130***	-0.00137***		5.99e-05***	6.03e-05***	
	(9.04e-05)	(9.20e-05)		(5.33e-05)	(5.48e-05)		(6.87e-06)	(6.95e-06)		(5.09e-06)	(5.12e-06)		(7.97e-05)	(8.05e-05)		(4.46e-05)	(4.54e-05)		(8.22e-06)	(8.25e-06)	
height	0.00495***			0.00179***			-0.000130***			-0.000117***			0.00514***			0.00171***			-0.000113***		
	(0.000312)			(0.000184)			(2.38e-05)			(1.78e-05)			(0.000256)			(0.000149)			(2.64e-05)		
bmi	0.0169***			0.00649***			-3.48e-05			-2.74e-05			0.0195***			0.00685***			-9.09e-05*		
	(0.000604)			(0.000348)			(4.57e-05)			(3.39e-05)			(0.000475)			(0.000282)			(4.87e-05)		
Constant	-1.676***	-0.610	-0.999**	-0.0156	0.381	0.139	1.412***	1.391***	1.389***	0.903***	0.885***	0.883***	1.744*	2.885***	3.321***	0.0149	0.421	0.183	0.390***	0.370***	0.370***
	(0.403)	(0.402)	(0.428)	(0.264)	(0.264)	(0.279)	(0.0509)	(0.0508)	(0.0508)	(0.0271)	(0.0270)	(0.0270)	(0.901)	(0.904)	(0.962)	(0.373)	(0.374)	(0.393)	(0.0686)	(0.0684)	(0.0684)
																					
Observations	249,205	249,205	249,205	134,809	134,809	134,809	275,742	275,742	275,742	332,779	332,779	332,779	380,633	380,633	380,633	214,636	214,636	214,636	409,679	409,679	409,679
R-squared	0.162	0.155	0.042	0.461	0.457	0.392	0.314	0.314	0.314	0.195	0.195	0.195	0.153	0.144	0.031	0.434	0.428	0.369	0.072	0.072	0.072
Standard errors in parentheses																					
*** p<0.01, ** p<0.05, * p<0.1																					
