	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality
																				
fert	0.0607	0.0768	0.226***	0.0408	0.0457	0.104**	0.00598*	0.00592	0.00708*	0.00697**	0.00694**	0.00829**	0.0516	0.0663**	0.118***	0.0315*	0.0376**	0.0530***	0.000667	0.000546
	(0.0615)	(0.0630)	(0.0830)	(0.0322)	(0.0329)	(0.0440)	(0.00355)	(0.00361)	(0.00418)	(0.00318)	(0.00323)	(0.00378)	(0.0327)	(0.0335)	(0.0382)	(0.0178)	(0.0184)	(0.0205)	(0.00262)	(0.00266)
malec	0.0225***	0.0211**	0.0102	0.00607	0.00494	-0.000275	0.00169***	0.00168***	0.00165***	0.00150***	0.00149***	0.00145***	0.0113**	0.0107**	-0.00614	0.00333	0.00290	-0.00490*	0.00157***	0.00156***
	(0.00836)	(0.00836)	(0.00917)	(0.00470)	(0.00465)	(0.00493)	(0.000473)	(0.000470)	(0.000453)	(0.000422)	(0.000419)	(0.000408)	(0.00499)	(0.00501)	(0.00512)	(0.00282)	(0.00283)	(0.00274)	(0.000396)	(0.000395)
agemay	0.0554***	0.0566***	0.104***	-0.000493	0.000525	0.0268***	-0.0405***	-0.0405***	-0.0404***	-0.0329***	-0.0329***	-0.0327***	0.00838	0.00995	0.0480***	-0.0108*	-0.0107*	0.00873	-0.0108***	-0.0108***
	(0.0163)	(0.0164)	(0.0166)	(0.00870)	(0.00869)	(0.00831)	(0.000938)	(0.000935)	(0.000847)	(0.000840)	(0.000837)	(0.000773)	(0.00983)	(0.00986)	(0.00968)	(0.00612)	(0.00617)	(0.00582)	(0.000771)	(0.000767)
magesq	0.000347	0.000360	-6.01e-05	0.000223*	0.000219*	-4.57e-05	7.28e-05***	7.28e-05***	7.28e-05***	6.47e-05***	6.47e-05***	6.47e-05***	0.000262*	0.000280*	-0.000158	0.000234***	0.000248***	2.19e-05	7.98e-05***	7.97e-05***
	(0.000228)	(0.000230)	(0.000248)	(0.000118)	(0.000118)	(0.000119)	(1.32e-05)	(1.32e-05)	(1.27e-05)	(1.18e-05)	(1.18e-05)	(1.16e-05)	(0.000144)	(0.000146)	(0.000148)	(8.72e-05)	(8.86e-05)	(8.60e-05)	(1.14e-05)	(1.14e-05)
agefirstbirth	-0.0541***	-0.0534***	-0.0304***	-0.00641*	-0.00611*	0.00368	0.0352***	0.0352***	0.0353***	0.0284***	0.0283***	0.0285***	-0.00258	-0.00269	0.0222***	0.00214	0.00215	0.0113***	0.00461***	0.00460***
	(0.00635)	(0.00642)	(0.00844)	(0.00353)	(0.00358)	(0.00489)	(0.000362)	(0.000364)	(0.000419)	(0.000325)	(0.000327)	(0.000376)	(0.00221)	(0.00223)	(0.00326)	(0.00131)	(0.00132)	(0.00193)	(0.000175)	(0.000175)
educf	0.145***	0.153***		0.0542***	0.0576***		0.000317	0.000319		0.000512*	0.000520		0.140***	0.149***		0.0515***	0.0550***		-0.000572**	-0.000615**
	(0.00613)	(0.00666)		(0.00367)	(0.00399)		(0.000347)	(0.000374)		(0.000306)	(0.000330)		(0.00356)	(0.00387)		(0.00216)	(0.00238)		(0.000279)	(0.000301)
educfyrs_sq	-0.00523***	-0.00538***		-0.00188***	-0.00196***		1.77e-05*	1.70e-05		7.69e-06	6.90e-06		-0.00496***	-0.00513***		-0.00174***	-0.00182***		4.13e-05***	4.14e-05***
	(0.000179)	(0.000186)		(9.60e-05)	(0.000101)		(1.02e-05)	(1.05e-05)		(9.16e-06)	(9.42e-06)		(0.000117)	(0.000121)		(6.25e-05)	(6.54e-05)		(9.41e-06)	(9.64e-06)
height	0.00579***			0.00210***			-6.56e-05*			-5.91e-05*			0.00569***			0.00191***			-0.000113***	
	(0.000612)			(0.000341)			(3.49e-05)			(3.12e-05)			(0.000394)			(0.000219)			(3.16e-05)	
bmi	0.0173***			0.00719***			4.96e-05			6.47e-05			0.0177***			0.00697***			-4.98e-05	
	(0.00134)			(0.000750)			(7.68e-05)			(6.86e-05)			(0.000823)			(0.000479)			(6.55e-05)	
Constant	-4.115***	-2.926***	-4.346***	-0.592	-0.158	-0.859*	0.692***	0.683***	0.671***	0.568***	0.560***	0.548***	-3.215***	-2.031***	-2.595***	-0.305	0.0970	-0.178	0.194**	0.176**
	(0.478)	(0.427)	(0.557)	(0.447)	(0.433)	(0.518)	(0.0562)	(0.0549)	(0.0567)	(0.0386)	(0.0370)	(0.0391)	(0.360)	(0.341)	(0.381)	(0.406)	(0.404)	(0.435)	(0.0766)	(0.0760)
																				
Observations	98,541	98,541	98,541	69,476	69,476	69,476	101,306	101,306	101,306	103,193	103,193	103,193	216,088	216,088	216,088	144,527	144,527	144,527	225,031	225,031
R-squared	0.127	0.112	-0.161	0.375	0.366	0.187	0.122	0.123	0.115	0.087	0.087	0.075	0.119	0.105	-0.061	0.380	0.370	0.280	0.024	0.024
Standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
