	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																																											
malec	-0.0988***	-0.0957***	-0.0765***	-0.112***	-0.108***	-0.0810***	-0.0956***	-0.0927***	-0.0741***	-0.0943***	-0.0914***	-0.0733***	-0.0936***	-0.0914***	-0.0719***	-0.107***	-0.104***	-0.0771***	-0.0902***	-0.0882***	-0.0697***	-0.0863***	-0.0845***	-0.0674***	-0.0463***	-0.0441***	-0.0279***	-0.0543***	-0.0508***	-0.0286***	-0.0447***	-0.0426***	-0.0272***	-0.0433***	-0.0413***	-0.0271***	-0.0225***	-0.0205***	-0.0106**	-0.0268***	-0.0241***	-0.0112*	-0.0210***	-0.0191***	-0.00962**	-0.0204***	-0.0186***	-0.00989**	0.000859	0.00175	0.00898*	0.00568	0.00688	0.0165***	0.000961	0.00186	0.00874*	0.00131	0.00217
	(0.00696)	(0.00698)	(0.00724)	(0.00913)	(0.00916)	(0.00955)	(0.00680)	(0.00681)	(0.00707)	(0.00668)	(0.00670)	(0.00694)	(0.00494)	(0.00496)	(0.00515)	(0.00670)	(0.00672)	(0.00701)	(0.00478)	(0.00479)	(0.00497)	(0.00455)	(0.00457)	(0.00473)	(0.00449)	(0.00450)	(0.00460)	(0.00608)	(0.00610)	(0.00626)	(0.00435)	(0.00436)	(0.00445)	(0.00416)	(0.00416)	(0.00425)	(0.00448)	(0.00448)	(0.00454)	(0.00600)	(0.00601)	(0.00611)	(0.00435)	(0.00435)	(0.00441)	(0.00416)	(0.00417)	(0.00422)	(0.00462)	(0.00462)	(0.00466)	(0.00612)	(0.00612)	(0.00619)	(0.00449)	(0.00449)	(0.00453)	(0.00429)	(0.00429)
agemay	0.218***	0.213***	0.154***	0.201***	0.196***	0.114***	0.220***	0.215***	0.159***	0.222***	0.217***	0.164***	0.257***	0.251***	0.207***	0.280***	0.274***	0.214***	0.253***	0.247***	0.205***	0.248***	0.243***	0.203***	0.314***	0.308***	0.280***	0.409***	0.403***	0.364***	0.300***	0.295***	0.267***	0.280***	0.275***	0.248***	0.349***	0.346***	0.324***	0.508***	0.505***	0.473***	0.330***	0.327***	0.306***	0.301***	0.297***	0.277***	0.390***	0.388***	0.371***	0.578***	0.577***	0.553***	0.368***	0.367***	0.349***	0.330***	0.329***
	(0.0110)	(0.0110)	(0.0114)	(0.0174)	(0.0174)	(0.0181)	(0.0105)	(0.0105)	(0.0109)	(0.0101)	(0.0102)	(0.0105)	(0.00636)	(0.00638)	(0.00661)	(0.0113)	(0.0114)	(0.0118)	(0.00591)	(0.00592)	(0.00614)	(0.00530)	(0.00531)	(0.00550)	(0.00567)	(0.00568)	(0.00581)	(0.00985)	(0.00987)	(0.0101)	(0.00534)	(0.00535)	(0.00546)	(0.00487)	(0.00488)	(0.00498)	(0.00588)	(0.00588)	(0.00596)	(0.00953)	(0.00954)	(0.00970)	(0.00560)	(0.00560)	(0.00567)	(0.00518)	(0.00518)	(0.00525)	(0.00645)	(0.00645)	(0.00650)	(0.00979)	(0.00979)	(0.00990)	(0.00618)	(0.00618)	(0.00623)	(0.00575)	(0.00575)
magesq	-0.00320***	-0.00316***	-0.00253***	-0.00281***	-0.00276***	-0.00189***	-0.00324***	-0.00320***	-0.00262***	-0.00327***	-0.00323***	-0.00269***	-0.00384***	-0.00379***	-0.00326***	-0.00408***	-0.00405***	-0.00334***	-0.00379***	-0.00375***	-0.00325***	-0.00376***	-0.00372***	-0.00326***	-0.00426***	-0.00423***	-0.00390***	-0.00544***	-0.00540***	-0.00495***	-0.00410***	-0.00406***	-0.00374***	-0.00385***	-0.00382***	-0.00350***	-0.00436***	-0.00433***	-0.00407***	-0.00631***	-0.00629***	-0.00591***	-0.00413***	-0.00410***	-0.00385***	-0.00375***	-0.00372***	-0.00348***	-0.00463***	-0.00462***	-0.00440***	-0.00690***	-0.00689***	-0.00660***	-0.00437***	-0.00435***	-0.00414***	-0.00390***	-0.00389***
	(0.000137)	(0.000137)	(0.000142)	(0.000226)	(0.000227)	(0.000236)	(0.000130)	(0.000130)	(0.000135)	(0.000124)	(0.000125)	(0.000129)	(8.97e-05)	(9.00e-05)	(9.33e-05)	(0.000153)	(0.000154)	(0.000160)	(8.38e-05)	(8.41e-05)	(8.72e-05)	(7.58e-05)	(7.60e-05)	(7.87e-05)	(7.85e-05)	(7.87e-05)	(8.05e-05)	(0.000131)	(0.000131)	(0.000135)	(7.42e-05)	(7.44e-05)	(7.60e-05)	(6.82e-05)	(6.83e-05)	(6.97e-05)	(7.91e-05)	(7.92e-05)	(8.03e-05)	(0.000124)	(0.000124)	(0.000126)	(7.56e-05)	(7.56e-05)	(7.67e-05)	(7.03e-05)	(7.03e-05)	(7.12e-05)	(8.44e-05)	(8.44e-05)	(8.52e-05)	(0.000125)	(0.000125)	(0.000126)	(8.11e-05)	(8.11e-05)	(8.18e-05)	(7.57e-05)	(7.58e-05)
agefirstbirth	-0.0591***	-0.0588***	-0.0716***	-0.0734***	-0.0732***	-0.0878***	-0.0578***	-0.0575***	-0.0698***	-0.0573***	-0.0571***	-0.0688***	-0.0561***	-0.0550***	-0.0777***	-0.0635***	-0.0623***	-0.0882***	-0.0550***	-0.0539***	-0.0758***	-0.0520***	-0.0510***	-0.0717***	-0.0714***	-0.0701***	-0.0835***	-0.0817***	-0.0802***	-0.0966***	-0.0696***	-0.0682***	-0.0813***	-0.0666***	-0.0652***	-0.0775***	-0.0853***	-0.0844***	-0.0927***	-0.0982***	-0.0971***	-0.107***	-0.0834***	-0.0825***	-0.0906***	-0.0806***	-0.0796***	-0.0872***	-0.0905***	-0.0901***	-0.0954***	-0.105***	-0.104***	-0.111***	-0.0885***	-0.0881***	-0.0933***	-0.0856***	-0.0852***
	(0.00624)	(0.00626)	(0.00650)	(0.00794)	(0.00796)	(0.00830)	(0.00611)	(0.00612)	(0.00635)	(0.00601)	(0.00603)	(0.00625)	(0.00156)	(0.00156)	(0.00161)	(0.00214)	(0.00215)	(0.00222)	(0.00150)	(0.00150)	(0.00155)	(0.00142)	(0.00142)	(0.00147)	(0.00111)	(0.00111)	(0.00112)	(0.00151)	(0.00152)	(0.00154)	(0.00107)	(0.00107)	(0.00109)	(0.00102)	(0.00103)	(0.00104)	(0.000992)	(0.000992)	(0.000999)	(0.00134)	(0.00134)	(0.00135)	(0.000964)	(0.000964)	(0.000971)	(0.000925)	(0.000925)	(0.000930)	(0.000971)	(0.000970)	(0.000975)	(0.00129)	(0.00129)	(0.00129)	(0.000944)	(0.000943)	(0.000947)	(0.000905)	(0.000904)
