	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																												
fert	0.0631	0.0791	0.228***	0.0402	0.0451	0.104**	0.00570	0.00564	0.00675	0.00677**	0.00673**	0.00800**	0.0435	0.0579*	0.106***	0.0294*	0.0356**	0.0505**	-0.000422	-0.000560	-0.000721	0.000600	0.000536	0.000491	-0.0411*	-0.0316	-0.00208	0.00639	0.00914	0.0218	-0.00130	-0.00146	-0.00154	-0.000255	-0.000348	-0.000350	-0.0143	0.000549	-0.00242	0.00930	0.0147	0.0153	-0.00247	-0.00265	-0.00264	0.000268	0.000188	0.000190	0.0127	0.0166	0.0155	0.0160*	0.0184**	0.0208**	0.00312	0.00306	0.00311	0.00146	0.00144	0.00147
	(0.0620)	(0.0636)	(0.0838)	(0.0324)	(0.0331)	(0.0443)	(0.00361)	(0.00367)	(0.00425)	(0.00326)	(0.00332)	(0.00387)	(0.0323)	(0.0331)	(0.0375)	(0.0176)	(0.0181)	(0.0201)	(0.00263)	(0.00268)	(0.00279)	(0.00216)	(0.00218)	(0.00227)	(0.0243)	(0.0247)	(0.0269)	(0.0123)	(0.0125)	(0.0136)	(0.00246)	(0.00248)	(0.00256)	(0.00205)	(0.00207)	(0.00212)	(0.0205)	(0.0209)	(0.0218)	(0.0102)	(0.0104)	(0.0108)	(0.00238)	(0.00241)	(0.00240)	(0.00192)	(0.00194)	(0.00193)	(0.0186)	(0.0187)	(0.0196)	(0.00907)	(0.00915)	(0.00946)	(0.00244)	(0.00244)	(0.00244)	(0.00193)	(0.00193)	(0.00193)
malec	0.0222***	0.0208**	0.0100	0.00603	0.00493	-0.000285	0.00172***	0.00171***	0.00169***	0.00156***	0.00155***	0.00151***	0.0102**	0.00966*	-0.00733	0.00319	0.00279	-0.00503*	0.00168***	0.00167***	0.00172***	0.00172***	0.00172***	0.00173***	0.0155***	0.0137***	-0.00470	0.00456**	0.00351*	-0.00396**	0.00192***	0.00193***	0.00202***	0.00195***	0.00196***	0.00199***	0.0265***	0.0236***	0.00920**	0.00538***	0.00415**	-0.000969	0.00190***	0.00192***	0.00201***	0.00184***	0.00185***	0.00188***	0.0436***	0.0403***	0.0281***	0.00983***	0.00839***	0.00416**	0.00269***	0.00272***	0.00277***	0.00225***	0.00227***	0.00229***
	(0.00839)	(0.00839)	(0.00921)	(0.00471)	(0.00467)	(0.00494)	(0.000478)	(0.000475)	(0.000458)	(0.000429)	(0.000426)	(0.000414)	(0.00493)	(0.00496)	(0.00504)	(0.00278)	(0.00279)	(0.00270)	(0.000398)	(0.000398)	(0.000375)	(0.000327)	(0.000326)	(0.000309)	(0.00369)	(0.00369)	(0.00381)	(0.00192)	(0.00192)	(0.00193)	(0.000371)	(0.000370)	(0.000361)	(0.000308)	(0.000307)	(0.000300)	(0.00355)	(0.00357)	(0.00372)	(0.00176)	(0.00177)	(0.00181)	(0.000411)	(0.000410)	(0.000408)	(0.000333)	(0.000332)	(0.000331)	(0.00371)	(0.00373)	(0.00390)	(0.00176)	(0.00177)	(0.00182)	(0.000489)	(0.000489)	(0.000489)	(0.000390)	(0.000390)	(0.000390)
agemay	0.0543***	0.0556***	0.104***	0.000472	0.00148	0.0281***	-0.0409***	-0.0409***	-0.0407***	-0.0333***	-0.0333***	-0.0331***	0.0106	0.0122	0.0512***	-0.00986	-0.00985	0.00999*	-0.0109***	-0.0109***	-0.0111***	-0.00724***	-0.00724***	-0.00728***	0.0294***	0.0319***	0.0590***	-0.00793	-0.00721	0.00337	-0.00978***	-0.00978***	-0.00994***	-0.00658***	-0.00658***	-0.00665***	0.0233***	0.0240***	0.0577***	-0.0143**	-0.0150**	-0.00249	-0.00937***	-0.00935***	-0.00958***	-0.00703***	-0.00702***	-0.00711***	0.0122	0.0162*	0.0475***	-0.0160***	-0.0154**	-0.00607	-0.0128***	-0.0128***	-0.0130***	-0.00848***	-0.00850***	-0.00859***
	(0.0163)	(0.0164)	(0.0166)	(0.00870)	(0.00869)	(0.00825)	(0.000950)	(0.000947)	(0.000855)	(0.000859)	(0.000857)	(0.000786)	(0.00971)	(0.00973)	(0.00949)	(0.00601)	(0.00606)	(0.00569)	(0.000776)	(0.000772)	(0.000696)	(0.000621)	(0.000616)	(0.000557)	(0.00883)	(0.00883)	(0.00890)	(0.00581)	(0.00581)	(0.00582)	(0.000858)	(0.000853)	(0.000811)	(0.000670)	(0.000666)	(0.000629)	(0.00852)	(0.00858)	(0.00858)	(0.00588)	(0.00594)	(0.00583)	(0.000946)	(0.000945)	(0.000901)	(0.000709)	(0.000708)	(0.000675)	(0.00892)	(0.00895)	(0.00907)	(0.00596)	(0.00599)	(0.00599)	(0.00112)	(0.00112)	(0.00109)	(0.000825)	(0.000823)	(0.000799)
magesq	0.000365	0.000377	-4.76e-05	0.000210*	0.000206*	-6.23e-05	7.49e-05***	7.49e-05***	7.49e-05***	6.81e-05***	6.81e-05***	6.80e-05***	0.000228	0.000246*	-0.000208	0.000218**	0.000233***	1.79e-06	7.92e-05***	7.91e-05***	8.07e-05***	4.74e-05***	4.74e-05***	4.80e-05***	-8.30e-05	-8.19e-05	-0.000396***	0.000175**	0.000178**	5.92e-05	7.98e-05***	7.95e-05***	8.16e-05***	5.08e-05***	5.07e-05***	5.17e-05***	1.68e-05	3.54e-05	-0.000382***	0.000251***	0.000271***	0.000118	7.92e-05***	7.87e-05***	8.17e-05***	6.11e-05***	6.08e-05***	6.20e-05***	0.000171	0.000143	-0.000250**	0.000265***	0.000265***	0.000151**	0.000119***	0.000119***	0.000121***	7.78e-05***	7.80e-05***	7.92e-05***
	(0.000229)	(0.000231)	(0.000249)	(0.000118)	(0.000118)	(0.000119)	(1.34e-05)	(1.34e-05)	(1.29e-05)	(1.21e-05)	(1.22e-05)	(1.19e-05)	(0.000143)	(0.000144)	(0.000145)	(8.56e-05)	(8.71e-05)	(8.40e-05)	(1.15e-05)	(1.15e-05)	(1.07e-05)	(9.26e-06)	(9.28e-06)	(8.64e-06)	(0.000121)	(0.000121)	(0.000124)	(7.72e-05)	(7.77e-05)	(7.86e-05)	(1.18e-05)	(1.18e-05)	(1.13e-05)	(9.26e-06)	(9.26e-06)	(8.87e-06)	(0.000109)	(0.000110)	(0.000110)	(7.38e-05)	(7.47e-05)	(7.36e-05)	(1.21e-05)	(1.21e-05)	(1.16e-05)	(9.11e-06)	(9.13e-06)	(8.74e-06)	(0.000110)	(0.000110)	(0.000112)	(7.22e-05)	(7.26e-05)	(7.26e-05)	(1.39e-05)	(1.38e-05)	(1.34e-05)	(1.02e-05)	(1.02e-05)	(9.92e-06)
agefirstbirth	-0.0543***	-0.0537***	-0.0306***	-0.00654*	-0.00627*	0.00347	0.0354***	0.0354***	0.0355***	0.0285***	0.0285***	0.0287***	-0.00317	-0.00327	0.0212***	0.00214*	0.00216*	0.0112***	0.00466***	0.00466***	0.00461***	0.00349***	0.00348***	0.00348***	-0.00441**	-0.00513***	0.0110***	0.000920	0.000616	0.00691***	0.00324***	0.00324***	0.00319***	0.00244***	0.00244***	0.00243***	-0.00385**	-0.00426**	0.00552**	0.000272	0.000195	0.00377***	0.00264***	0.00264***	0.00258***	0.00212***	0.00211***	0.00210***	-0.00361*	-0.00490***	0.00276	0.000414	6.25e-05	0.00293***	0.00314***	0.00314***	0.00314***	0.00215***	0.00215***	0.00215***
	(0.00633)	(0.00640)	(0.00843)	(0.00353)	(0.00357)	(0.00489)	(0.000364)	(0.000365)	(0.000421)	(0.000328)	(0.000330)	(0.000380)	(0.00218)	(0.00219)	(0.00319)	(0.00129)	(0.00130)	(0.00190)	(0.000176)	(0.000175)	(0.000233)	(0.000140)	(0.000139)	(0.000182)	(0.00194)	(0.00193)	(0.00242)	(0.00110)	(0.00109)	(0.00139)	(0.000192)	(0.000190)	(0.000224)	(0.000154)	(0.000153)	(0.000179)	(0.00192)	(0.00193)	(0.00218)	(0.00108)	(0.00108)	(0.00122)	(0.000218)	(0.000218)	(0.000235)	(0.000171)	(0.000171)	(0.000184)	(0.00185)	(0.00186)	(0.00203)	(0.00102)	(0.00102)	(0.00111)	(0.000239)	(0.000238)	(0.000249)	(0.000184)	(0.000184)	(0.000192)
educf	0.145***	0.153***		0.0541***	0.0574***		0.000302	0.000301		0.000496	0.000501		0.139***	0.147***		0.0511***	0.0546***		-0.000703**	-0.000754**		-0.000374*	-0.000397*		0.132***	0.139***		0.0440***	0.0469***		-0.000923***	-0.00100***		-0.000490**	-0.000532***		0.133***	0.141***		0.0388***	0.0418***		-0.00122***	-0.00128***		-0.000623***	-0.000645***		0.128***	0.135***		0.0339***	0.0364***		-0.00115***	-0.00121***		-0.000748***	-0.000787***	
	(0.00617)	(0.00670)		(0.00369)	(0.00401)		(0.000352)	(0.000379)		(0.000314)	(0.000338)		(0.00352)	(0.00382)		(0.00213)	(0.00234)		(0.000281)	(0.000303)		(0.000223)	(0.000239)		(0.00239)	(0.00255)		(0.00137)	(0.00147)		(0.000237)	(0.000251)		(0.000191)	(0.000202)		(0.00194)	(0.00201)		(0.00104)	(0.00109)		(0.000222)	(0.000229)		(0.000176)	(0.000182)		(0.00185)	(0.00188)		(0.000933)	(0.000949)		(0.000242)	(0.000244)		(0.000190)	(0.000191)	
educfyrs_sq	-0.00521***	-0.00536***		-0.00187***	-0.00195***		1.69e-05*	1.64e-05		7.36e-06	6.69e-06		-0.00492***	-0.00509***		-0.00172***	-0.00181***		4.48e-05***	4.51e-05***		2.90e-05***	2.90e-05***		-0.00478***	-0.00492***		-0.00142***	-0.00149***		5.79e-05***	5.88e-05***		3.64e-05***	3.68e-05***		-0.00448***	-0.00460***		-0.00106***	-0.00112***		6.24e-05***	6.28e-05***		3.88e-05***	3.89e-05***		-0.00383***	-0.00392***		-0.000731***	-0.000771***		8.09e-05***	8.11e-05***		5.71e-05***	5.74e-05***	
