	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																					
malec	-0.105***	-0.104***	-0.0970***	-0.137***	-0.135***	-0.118***	-0.0973***	-0.0959***	-0.0900***	-0.0834***	-0.0822***	-0.0781***	-0.0703***	-0.0686***	-0.0566***	-0.0901***	-0.0872***	-0.0650***	-0.0666***	-0.0651***	-0.0539***
	(0.00475)	(0.00476)	(0.00495)	(0.00740)	(0.00742)	(0.00779)	(0.00438)	(0.00440)	(0.00456)	(0.00375)	(0.00375)	(0.00387)	(0.00388)	(0.00388)	(0.00400)	(0.00591)	(0.00593)	(0.00615)	(0.00365)	(0.00366)	(0.00376)
agemay	0.411***	0.406***	0.354***	0.407***	0.400***	0.322***	0.407***	0.402***	0.355***	0.387***	0.383***	0.347***	0.412***	0.407***	0.378***	0.478***	0.472***	0.429***	0.392***	0.387***	0.359***
	(0.00629)	(0.00630)	(0.00654)	(0.0120)	(0.0120)	(0.0126)	(0.00563)	(0.00564)	(0.00584)	(0.00453)	(0.00454)	(0.00467)	(0.00457)	(0.00457)	(0.00470)	(0.00927)	(0.00929)	(0.00963)	(0.00412)	(0.00412)	(0.00423)
magesq	-0.00546***	-0.00543***	-0.00489***	-0.00516***	-0.00510***	-0.00429***	-0.00549***	-0.00546***	-0.00498***	-0.00544***	-0.00543***	-0.00508***	-0.00577***	-0.00574***	-0.00543***	-0.00662***	-0.00659***	-0.00611***	-0.00552***	-0.00549***	-0.00519***
	(8.10e-05)	(8.12e-05)	(8.43e-05)	(0.000162)	(0.000162)	(0.000170)	(7.14e-05)	(7.16e-05)	(7.41e-05)	(5.51e-05)	(5.52e-05)	(5.68e-05)	(6.57e-05)	(6.58e-05)	(6.77e-05)	(0.000126)	(0.000126)	(0.000131)	(5.97e-05)	(5.99e-05)	(6.15e-05)
agefirstbirth	-0.128***	-0.127***	-0.146***	-0.147***	-0.146***	-0.172***	-0.121***	-0.120***	-0.138***	-0.106***	-0.105***	-0.119***	-0.0882***	-0.0869***	-0.105***	-0.0929***	-0.0914***	-0.116***	-0.0852***	-0.0839***	-0.101***
	(0.00376)	(0.00377)	(0.00391)	(0.00554)	(0.00556)	(0.00584)	(0.00351)	(0.00352)	(0.00365)	(0.00309)	(0.00310)	(0.00319)	(0.00117)	(0.00117)	(0.00120)	(0.00181)	(0.00181)	(0.00187)	(0.00110)	(0.00110)	(0.00113)
educf	-0.0993***	-0.107***		-0.129***	-0.138***		-0.0927***	-0.0996***		-0.0760***	-0.0819***		-0.0847***	-0.0915***		-0.111***	-0.120***		-0.0798***	-0.0863***	
	(0.00160)	(0.00159)		(0.00250)	(0.00249)		(0.00148)	(0.00147)		(0.00126)	(0.00126)		(0.00137)	(0.00136)		(0.00209)	(0.00208)		(0.00129)	(0.00128)	
educfyrs_sq	0.00152***	0.00169***		0.00197***	0.00220***		0.00139***	0.00154***		0.000969***	0.00109***		0.000908***	0.00105***		0.00129***	0.00150***		0.000812***	0.000943***	
	(0.000114)	(0.000114)		(0.000177)	(0.000177)		(0.000105)	(0.000105)		(9.00e-05)	(9.01e-05)		(0.000104)	(0.000104)		(0.000158)	(0.000158)		(9.81e-05)	(9.82e-05)	
height	-0.00492***			-0.00648***			-0.00452***			-0.00380***			-0.00496***			-0.00675***			-0.00481***		
	(0.000397)			(0.000620)			(0.000367)			(0.000313)			(0.000323)			(0.000495)			(0.000304)		
bmi	-0.0201***			-0.0214***			-0.0195***			-0.0182***			-0.0191***			-0.0219***			-0.0186***		
	(0.000590)			(0.000877)			(0.000549)			(0.000479)			(0.000482)			(0.000699)			(0.000457)		
twin_two_fam	0.865***	0.860***	0.858***	0.857***	0.853***	0.830***	0.875***	0.869***	0.870***	0.896***	0.891***	0.893***									
	(0.0241)	(0.0242)	(0.0251)	(0.0380)	(0.0381)	(0.0400)	(0.0222)	(0.0222)	(0.0231)	(0.0190)	(0.0190)	(0.0196)									
twin_three_fam													0.830***	0.825***	0.819***	0.780***	0.773***	0.767***	0.839***	0.833***	0.827***
													(0.0178)	(0.0179)	(0.0184)	(0.0277)	(0.0277)	(0.0288)	(0.0168)	(0.0169)	(0.0174)
Constant	0.0935	-1.021*	-0.494	0.601	-0.791	0.0650	1.357*	0.278	0.881	1.184**	0.259	0.582	0.909	-0.196	-0.459	-0.491	-1.971	-1.205	1.008	-0.0985	0.139
	(0.541)	(0.539)	(0.561)	(0.978)	(0.976)	(1.026)	(0.820)	(0.820)	(0.851)	(0.491)	(0.489)	(0.504)	(1.197)	(1.198)	(1.234)	(1.375)	(1.376)	(1.429)	(0.829)	(0.829)	(0.852)
																					
Observations	249,205	249,205	249,205	134,809	134,809	134,809	275,742	275,742	275,742	332,779	332,779	332,779	380,633	380,633	380,633	214,636	214,636	214,636	409,679	409,679	409,679
R-squared	0.426	0.423	0.376	0.401	0.398	0.335	0.444	0.441	0.399	0.490	0.488	0.456	0.369	0.366	0.328	0.340	0.337	0.285	0.382	0.380	0.344
Standard errors in parentheses																					
*** p<0.01, ** p<0.05, * p<0.1																					
