	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																																												
malec	-0.106***	-0.104***	-0.0976***	-0.138***	-0.135***	-0.118***	-0.0975***	-0.0962***	-0.0905***	-0.0834***	-0.0822***	-0.0783***	-0.0702***	-0.0686***	-0.0566***	-0.0899***	-0.0871***	-0.0648***	-0.0665***	-0.0651***	-0.0539***	-0.0605***	-0.0593***	-0.0500***	-0.0333***	-0.0318***	-0.0197***	-0.0452***	-0.0425***	-0.0229***	-0.0320***	-0.0306***	-0.0193***	-0.0297***	-0.0284***	-0.0186***	-0.0134***	-0.0122***	-0.00429	-0.0173***	-0.0154***	-0.00384	-0.0122***	-0.0111***	-0.00360	-0.0110***	-0.0100***	-0.00336	0.00176	0.00200	0.00783*	0.00674	0.00717	0.0157***	0.00166	0.00191	0.00745*	0.00227	0.00249	0.00741*
	(0.00474)	(0.00475)	(0.00494)	(0.00738)	(0.00740)	(0.00778)	(0.00438)	(0.00439)	(0.00455)	(0.00373)	(0.00374)	(0.00386)	(0.00386)	(0.00387)	(0.00398)	(0.00589)	(0.00590)	(0.00612)	(0.00363)	(0.00364)	(0.00374)	(0.00330)	(0.00331)	(0.00339)	(0.00378)	(0.00379)	(0.00386)	(0.00558)	(0.00559)	(0.00573)	(0.00361)	(0.00362)	(0.00368)	(0.00337)	(0.00337)	(0.00343)	(0.00393)	(0.00393)	(0.00397)	(0.00556)	(0.00556)	(0.00564)	(0.00378)	(0.00378)	(0.00382)	(0.00356)	(0.00356)	(0.00360)	(0.00420)	(0.00420)	(0.00423)	(0.00574)	(0.00574)	(0.00579)	(0.00406)	(0.00406)	(0.00408)	(0.00384)	(0.00384)	(0.00386)
agemay	0.412***	0.407***	0.354***	0.407***	0.401***	0.322***	0.408***	0.403***	0.356***	0.388***	0.384***	0.348***	0.413***	0.408***	0.379***	0.478***	0.472***	0.427***	0.393***	0.388***	0.360***	0.355***	0.351***	0.327***	0.438***	0.434***	0.416***	0.589***	0.584***	0.554***	0.412***	0.408***	0.390***	0.369***	0.365***	0.348***	0.439***	0.436***	0.421***	0.637***	0.634***	0.609***	0.413***	0.410***	0.396***	0.370***	0.367***	0.354***	0.425***	0.424***	0.411***	0.629***	0.628***	0.610***	0.400***	0.400***	0.387***	0.357***	0.356***	0.345***
	(0.00625)	(0.00626)	(0.00650)	(0.0119)	(0.0119)	(0.0125)	(0.00560)	(0.00561)	(0.00581)	(0.00450)	(0.00451)	(0.00464)	(0.00453)	(0.00454)	(0.00467)	(0.00920)	(0.00922)	(0.00956)	(0.00409)	(0.00410)	(0.00420)	(0.00346)	(0.00346)	(0.00354)	(0.00451)	(0.00452)	(0.00460)	(0.00849)	(0.00851)	(0.00871)	(0.00420)	(0.00420)	(0.00427)	(0.00374)	(0.00374)	(0.00380)	(0.00493)	(0.00493)	(0.00498)	(0.00838)	(0.00838)	(0.00849)	(0.00466)	(0.00466)	(0.00471)	(0.00425)	(0.00425)	(0.00429)	(0.00569)	(0.00569)	(0.00572)	(0.00885)	(0.00885)	(0.00891)	(0.00543)	(0.00543)	(0.00546)	(0.00501)	(0.00500)	(0.00503)
magesq	-0.00547***	-0.00544***	-0.00490***	-0.00517***	-0.00511***	-0.00428***	-0.00550***	-0.00547***	-0.00499***	-0.00546***	-0.00544***	-0.00509***	-0.00579***	-0.00576***	-0.00544***	-0.00661***	-0.00658***	-0.00609***	-0.00554***	-0.00551***	-0.00521***	-0.00511***	-0.00508***	-0.00482***	-0.00572***	-0.00569***	-0.00550***	-0.00762***	-0.00758***	-0.00725***	-0.00540***	-0.00537***	-0.00517***	-0.00487***	-0.00484***	-0.00465***	-0.00537***	-0.00535***	-0.00518***	-0.00780***	-0.00777***	-0.00748***	-0.00505***	-0.00503***	-0.00486***	-0.00451***	-0.00449***	-0.00434***	-0.00497***	-0.00496***	-0.00481***	-0.00743***	-0.00742***	-0.00720***	-0.00467***	-0.00467***	-0.00452***	-0.00414***	-0.00413***	-0.00399***
	(8.06e-05)	(8.08e-05)	(8.39e-05)	(0.000161)	(0.000161)	(0.000169)	(7.11e-05)	(7.13e-05)	(7.38e-05)	(5.47e-05)	(5.49e-05)	(5.65e-05)	(6.52e-05)	(6.54e-05)	(6.72e-05)	(0.000125)	(0.000126)	(0.000130)	(5.93e-05)	(5.94e-05)	(6.10e-05)	(5.08e-05)	(5.09e-05)	(5.21e-05)	(6.35e-05)	(6.36e-05)	(6.48e-05)	(0.000114)	(0.000114)	(0.000117)	(5.94e-05)	(5.95e-05)	(6.05e-05)	(5.34e-05)	(5.35e-05)	(5.43e-05)	(6.72e-05)	(6.72e-05)	(6.79e-05)	(0.000110)	(0.000110)	(0.000112)	(6.37e-05)	(6.37e-05)	(6.44e-05)	(5.85e-05)	(5.86e-05)	(5.91e-05)	(7.51e-05)	(7.51e-05)	(7.55e-05)	(0.000114)	(0.000114)	(0.000115)	(7.18e-05)	(7.18e-05)	(7.22e-05)	(6.65e-05)	(6.65e-05)	(6.69e-05)
agefirstbirth	-0.127***	-0.127***	-0.146***	-0.146***	-0.146***	-0.172***	-0.121***	-0.120***	-0.138***	-0.106***	-0.105***	-0.119***	-0.0880***	-0.0867***	-0.105***	-0.0931***	-0.0916***	-0.117***	-0.0850***	-0.0838***	-0.101***	-0.0771***	-0.0760***	-0.0914***	-0.0964***	-0.0953***	-0.107***	-0.107***	-0.106***	-0.122***	-0.0930***	-0.0920***	-0.103***	-0.0873***	-0.0863***	-0.0965***	-0.101***	-0.101***	-0.108***	-0.118***	-0.117***	-0.126***	-0.0985***	-0.0979***	-0.104***	-0.0939***	-0.0933***	-0.0994***	-0.0985***	-0.0985***	-0.103***	-0.116***	-0.116***	-0.121***	-0.0961***	-0.0960***	-0.1000***	-0.0920***	-0.0919***	-0.0957***
	(0.00373)	(0.00374)	(0.00388)	(0.00551)	(0.00552)	(0.00580)	(0.00349)	(0.00350)	(0.00362)	(0.00307)	(0.00308)	(0.00317)	(0.00116)	(0.00117)	(0.00119)	(0.00179)	(0.00180)	(0.00185)	(0.00109)	(0.00110)	(0.00112)	(0.000994)	(0.000996)	(0.00101)	(0.000910)	(0.000911)	(0.000921)	(0.00135)	(0.00135)	(0.00138)	(0.000869)	(0.000870)	(0.000879)	(0.000812)	(0.000812)	(0.000820)	(0.000854)	(0.000853)	(0.000858)	(0.00121)	(0.00121)	(0.00122)	(0.000823)	(0.000823)	(0.000826)	(0.000777)	(0.000777)	(0.000780)	(0.000872)	(0.000871)	(0.000873)	(0.00119)	(0.00119)	(0.00120)	(0.000843)	(0.000842)	(0.000844)	(0.000800)	(0.000799)	(0.000800)
