	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																												
fert	-0.0103	-0.00553	-0.00174	0.00511	0.00637	0.0132	0.00111	0.00103	0.00101	0.00135	0.00128	0.00126	-0.0223	-0.0150	-0.00601	0.00560	0.00835	0.0109	-0.000723	-0.000806	-0.000882	0.000118	7.05e-05	3.55e-05	-0.0288**	-0.0215	-0.0131	0.00188	0.00412	0.00995	-0.00106	-0.00118	-0.00121	0.00142	0.00134	0.00135	-0.0216	-0.00937	-0.00984	0.00219	0.00623	0.00682	-0.00231	-0.00249	-0.00249	0.000448	0.000352	0.000349	0.0158	0.0191	0.0249	0.0115	0.0135*	0.0165**	0.00345	0.00337	0.00336	0.00156	0.00152	0.00151
	(0.0209)	(0.0210)	(0.0225)	(0.0120)	(0.0121)	(0.0132)	(0.00159)	(0.00160)	(0.00160)	(0.00119)	(0.00119)	(0.00119)	(0.0160)	(0.0162)	(0.0173)	(0.00947)	(0.00960)	(0.0101)	(0.00166)	(0.00167)	(0.00168)	(0.00124)	(0.00125)	(0.00126)	(0.0139)	(0.0140)	(0.0150)	(0.00764)	(0.00773)	(0.00822)	(0.00170)	(0.00171)	(0.00172)	(0.00130)	(0.00131)	(0.00132)	(0.0140)	(0.0141)	(0.0149)	(0.00727)	(0.00736)	(0.00761)	(0.00193)	(0.00194)	(0.00194)	(0.00148)	(0.00149)	(0.00149)	(0.0146)	(0.0147)	(0.0154)	(0.00712)	(0.00716)	(0.00741)	(0.00220)	(0.00220)	(0.00221)	(0.00170)	(0.00170)	(0.00170)
malec	-0.00889**	-0.00971**	-0.0160***	-0.00356	-0.00425	-0.00819***	0.00141***	0.00140***	0.00140***	0.00105***	0.00105***	0.00104***	0.00104	-9.27e-05	-0.0129***	-0.00343*	-0.00409**	-0.0108***	0.00178***	0.00178***	0.00182***	0.00157***	0.00157***	0.00159***	0.0196***	0.0176***	0.00167	0.000785	-0.000225	-0.00689***	0.00223***	0.00224***	0.00232***	0.00197***	0.00197***	0.00199***	0.0370***	0.0342***	0.0209***	0.00319**	0.00202	-0.00281*	0.00236***	0.00238***	0.00248***	0.00198***	0.00199***	0.00202***	0.0531***	0.0502***	0.0382***	0.00832***	0.00703***	0.00276*	0.00311***	0.00315***	0.00321***	0.00261***	0.00263***	0.00266***
	(0.00415)	(0.00416)	(0.00435)	(0.00259)	(0.00258)	(0.00263)	(0.000313)	(0.000313)	(0.000308)	(0.000230)	(0.000230)	(0.000228)	(0.00311)	(0.00311)	(0.00325)	(0.00181)	(0.00181)	(0.00180)	(0.000322)	(0.000322)	(0.000316)	(0.000243)	(0.000242)	(0.000239)	(0.00291)	(0.00292)	(0.00307)	(0.00154)	(0.00155)	(0.00159)	(0.000357)	(0.000357)	(0.000355)	(0.000275)	(0.000275)	(0.000274)	(0.00304)	(0.00306)	(0.00322)	(0.00151)	(0.00152)	(0.00157)	(0.000421)	(0.000421)	(0.000420)	(0.000326)	(0.000326)	(0.000326)	(0.00336)	(0.00338)	(0.00354)	(0.00159)	(0.00160)	(0.00165)	(0.000509)	(0.000509)	(0.000510)	(0.000395)	(0.000395)	(0.000395)
agemay	0.0811***	0.0839***	0.134***	-0.00646	-0.00488	0.0168***	-0.0796***	-0.0796***	-0.0795***	-0.0490***	-0.0490***	-0.0489***	0.0521***	0.0543***	0.0865***	-0.0175***	-0.0172***	-0.00234	-0.0228***	-0.0228***	-0.0230***	-0.0124***	-0.0124***	-0.0124***	0.0499***	0.0532***	0.0777***	-0.0167***	-0.0160***	-0.00735	-0.0206***	-0.0206***	-0.0208***	-0.0123***	-0.0123***	-0.0123***	0.0396***	0.0406***	0.0688***	-0.0178***	-0.0183***	-0.00772	-0.0198***	-0.0198***	-0.0200***	-0.0127***	-0.0127***	-0.0128***	0.0232***	0.0279***	0.0545***	-0.0185***	-0.0175***	-0.00975*	-0.0215***	-0.0216***	-0.0217***	-0.0133***	-0.0134***	-0.0135***
	(0.00978)	(0.00976)	(0.00938)	(0.00588)	(0.00585)	(0.00545)	(0.000737)	(0.000733)	(0.000667)	(0.000525)	(0.000523)	(0.000484)	(0.00743)	(0.00744)	(0.00749)	(0.00516)	(0.00518)	(0.00506)	(0.000736)	(0.000733)	(0.000694)	(0.000504)	(0.000501)	(0.000477)	(0.00700)	(0.00701)	(0.00723)	(0.00505)	(0.00507)	(0.00515)	(0.000814)	(0.000811)	(0.000789)	(0.000569)	(0.000566)	(0.000550)	(0.00723)	(0.00728)	(0.00746)	(0.00516)	(0.00520)	(0.00520)	(0.000951)	(0.000951)	(0.000927)	(0.000673)	(0.000672)	(0.000656)	(0.00771)	(0.00775)	(0.00797)	(0.00511)	(0.00514)	(0.00519)	(0.00112)	(0.00111)	(0.00109)	(0.000796)	(0.000796)	(0.000782)
magesq	0.000135	0.000132	-0.000414***	0.000350***	0.000339***	0.000103	0.000145***	0.000145***	0.000144***	5.55e-05***	5.54e-05***	5.49e-05***	-0.000290***	-0.000280***	-0.000646***	0.000323***	0.000332***	0.000163**	0.000188***	0.000188***	0.000190***	8.98e-05***	8.98e-05***	9.05e-05***	-0.000308***	-0.000315***	-0.000597***	0.000298***	0.000301***	0.000206***	0.000196***	0.000196***	0.000199***	0.000113***	0.000113***	0.000113***	-0.000172*	-0.000159*	-0.000504***	0.000304***	0.000319***	0.000193***	0.000196***	0.000196***	0.000198***	0.000125***	0.000125***	0.000126***	3.62e-05	-8.79e-07	-0.000336***	0.000300***	0.000296***	0.000201***	0.000214***	0.000214***	0.000217***	0.000132***	0.000133***	0.000134***
	(0.000129)	(0.000129)	(0.000127)	(7.60e-05)	(7.59e-05)	(7.30e-05)	(9.80e-06)	(9.82e-06)	(9.12e-06)	(7.16e-06)	(7.17e-06)	(6.78e-06)	(0.000105)	(0.000105)	(0.000108)	(7.12e-05)	(7.18e-05)	(7.13e-05)	(1.04e-05)	(1.04e-05)	(1.00e-05)	(7.28e-06)	(7.28e-06)	(7.04e-06)	(9.31e-05)	(9.36e-05)	(9.72e-05)	(6.58e-05)	(6.62e-05)	(6.77e-05)	(1.09e-05)	(1.09e-05)	(1.07e-05)	(7.68e-06)	(7.67e-06)	(7.51e-06)	(9.14e-05)	(9.21e-05)	(9.47e-05)	(6.40e-05)	(6.46e-05)	(6.48e-05)	(1.21e-05)	(1.21e-05)	(1.18e-05)	(8.58e-06)	(8.58e-06)	(8.40e-06)	(9.44e-05)	(9.49e-05)	(9.77e-05)	(6.16e-05)	(6.19e-05)	(6.25e-05)	(1.37e-05)	(1.37e-05)	(1.35e-05)	(9.82e-06)	(9.81e-06)	(9.65e-06)
agefirstbirth	-0.0657***	-0.0659***	-0.0501***	-0.0112***	-0.0112***	-0.00374	0.0691***	0.0691***	0.0691***	0.0449***	0.0449***	0.0449***	-0.00875***	-0.00943***	0.00938***	0.00110	0.000879	0.00801***	0.00864***	0.00864***	0.00861***	0.00553***	0.00553***	0.00553***	-0.00573***	-0.00662***	0.00742***	0.000838	0.000499	0.00607***	0.00523***	0.00523***	0.00519***	0.00362***	0.00362***	0.00363***	-0.00536***	-0.00577***	0.00351**	-6.20e-06	-0.000132	0.00322***	0.00400***	0.00399***	0.00394***	0.00290***	0.00290***	0.00288***	-0.00384**	-0.00516***	0.00243	0.000241	-0.000141	0.00260***	0.00411***	0.00412***	0.00410***	0.00269***	0.00270***	0.00269***
	(0.00384)	(0.00385)	(0.00441)	(0.00231)	(0.00231)	(0.00276)	(0.000290)	(0.000290)	(0.000309)	(0.000212)	(0.000212)	(0.000221)	(0.00165)	(0.00165)	(0.00204)	(0.00100)	(0.00100)	(0.00128)	(0.000168)	(0.000167)	(0.000192)	(0.000118)	(0.000117)	(0.000134)	(0.00150)	(0.00150)	(0.00176)	(0.000896)	(0.000895)	(0.00107)	(0.000179)	(0.000178)	(0.000196)	(0.000131)	(0.000130)	(0.000142)	(0.00156)	(0.00157)	(0.00174)	(0.000921)	(0.000926)	(0.00102)	(0.000211)	(0.000211)	(0.000222)	(0.000156)	(0.000156)	(0.000164)	(0.00160)	(0.00161)	(0.00175)	(0.000888)	(0.000892)	(0.000958)	(0.000236)	(0.000236)	(0.000245)	(0.000177)	(0.000177)	(0.000182)
educf	0.127***	0.133***		0.0455***	0.0485***		-0.000272	-0.000312*		-0.000100	-0.000132		0.127***	0.134***		0.0435***	0.0466***		-0.000927***	-0.000980***		-0.000486***	-0.000517***		0.131***	0.139***		0.0393***	0.0423***		-0.00115***	-0.00123***		-0.000463***	-0.000507***		0.130***	0.138***		0.0348***	0.0377***		-0.00125***	-0.00132***		-0.000550***	-0.000581***		0.127***	0.135***		0.0313***	0.0338***		-0.00126***	-0.00136***		-0.000724***	-0.000787***	
	(0.00238)	(0.00253)		(0.00169)	(0.00180)		(0.000173)	(0.000183)		(0.000114)	(0.000120)		(0.00169)	(0.00179)		(0.00119)	(0.00128)		(0.000169)	(0.000178)		(0.000120)	(0.000125)		(0.00144)	(0.00149)		(0.000887)	(0.000934)		(0.000173)	(0.000179)		(0.000129)	(0.000133)		(0.00141)	(0.00144)		(0.000771)	(0.000794)		(0.000193)	(0.000196)		(0.000147)	(0.000149)		(0.00155)	(0.00156)		(0.000765)	(0.000770)		(0.000233)	(0.000233)		(0.000179)	(0.000179)	
educfyrs_sq	-0.00420***	-0.00435***		-0.00146***	-0.00153***		3.66e-05***	3.64e-05***		2.21e-05***	2.19e-05***		-0.00406***	-0.00421***		-0.00129***	-0.00136***		6.11e-05***	6.14e-05***		3.69e-05***	3.70e-05***		-0.00422***	-0.00435***		-0.00102***	-0.00109***		7.20e-05***	7.26e-05***		4.04e-05***	4.06e-05***		-0.00395***	-0.00403***		-0.000730***	-0.000776***		6.03e-05***	6.03e-05***		3.26e-05***	3.25e-05***		-0.00364***	-0.00373***		-0.000522***	-0.000560***		8.18e-05***	8.22e-05***		5.09e-05***	5.11e-05***	
