	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert
																																											
twin_two_fam	-0.00677	0.00367	0.00552	0.00482	0.0102	0.0128	0.00172	0.000626	0.000634	0.00192	0.000662	0.000671	0.892***	0.870***	0.870***																												
	(0.0219)	(0.0176)	(0.0184)	(0.0121)	(0.00963)	(0.0101)	(0.00192)	(0.00134)	(0.00134)	(0.00155)	(0.00108)	(0.00108)	(0.0232)	(0.0191)	(0.0196)																												
malec	-0.00531	-0.0147***	-0.0201***	-0.00215	-0.00423**	-0.00829***	0.00132***	0.00102***	0.00102***	0.00101***	0.000856***	0.000858***	-0.0834***	-0.0703***	-0.0673***	0.0110***	-0.000692	-0.0132***	-0.000492	-0.00293*	-0.00926***	0.00175***	0.00169***	0.00172***	0.00148***	0.00144***	0.00146***	-0.0627***	-0.0535***	-0.0454***	0.0295***	0.0193***	0.00482*	0.00356**	0.00126	-0.00510***	0.00221***	0.00193***	0.00198***	0.00187***	0.00164***	0.00166***	-0.0334***
	(0.00420)	(0.00335)	(0.00356)	(0.00239)	(0.00191)	(0.00200)	(0.000322)	(0.000234)	(0.000235)	(0.000241)	(0.000183)	(0.000183)	(0.00445)	(0.00365)	(0.00373)	(0.00347)	(0.00276)	(0.00295)	(0.00191)	(0.00152)	(0.00160)	(0.000369)	(0.000267)	(0.000267)	(0.000279)	(0.000207)	(0.000207)	(0.00395)	(0.00320)	(0.00327)	(0.00342)	(0.00275)	(0.00292)	(0.00181)	(0.00144)	(0.00151)	(0.000427)	(0.000308)	(0.000308)	(0.000326)	(0.000241)	(0.000241)	(0.00405)
agemay	0.0731***	0.0867***	0.150***	-0.0100***	0.000127	0.0304***	-0.0795***	-0.0713***	-0.0713***	-0.0481***	-0.0458***	-0.0458***	0.378***	0.299***	0.259***	0.0382***	0.0454***	0.0915***	-0.0200***	-0.00975***	0.0100***	-0.0234***	-0.0195***	-0.0196***	-0.0124***	-0.0108***	-0.0108***	0.350***	0.270***	0.243***	0.0334***	0.0400***	0.0771***	-0.0188***	-0.00869***	0.00665***	-0.0212***	-0.0178***	-0.0180***	-0.0117***	-0.0103***	-0.0104***	0.369***
	(0.00550)	(0.00450)	(0.00477)	(0.00354)	(0.00291)	(0.00304)	(0.00132)	(0.00106)	(0.00106)	(0.00122)	(0.000999)	(0.000998)	(0.00512)	(0.00412)	(0.00420)	(0.00404)	(0.00325)	(0.00343)	(0.00283)	(0.00226)	(0.00234)	(0.000702)	(0.000517)	(0.000516)	(0.000476)	(0.000353)	(0.000352)	(0.00380)	(0.00301)	(0.00307)	(0.00402)	(0.00328)	(0.00345)	(0.00258)	(0.00210)	(0.00217)	(0.000710)	(0.000536)	(0.000536)	(0.000505)	(0.000392)	(0.000392)	(0.00423)
magesq	0.000260***	8.55e-05	-0.000671***	0.000418***	0.000297***	-6.29e-05	0.000141***	0.000109***	0.000110***	4.94e-05***	3.77e-05***	3.76e-05***	-0.00533***	-0.00404***	-0.00360***	-9.61e-05*	-0.000205***	-0.000777***	0.000358***	0.000254***	9.70e-06	0.000195***	0.000162***	0.000164***	9.08e-05***	7.84e-05***	7.93e-05***	-0.00505***	-0.00377***	-0.00345***	-8.84e-05	-0.000172***	-0.000625***	0.000324***	0.000225***	4.05e-05	0.000204***	0.000176***	0.000178***	0.000107***	9.75e-05***	9.85e-05***	-0.00487***
	(7.03e-05)	(5.57e-05)	(5.91e-05)	(4.87e-05)	(3.86e-05)	(4.04e-05)	(7.64e-06)	(5.56e-06)	(5.53e-06)	(4.85e-06)	(3.49e-06)	(3.48e-06)	(6.32e-05)	(5.00e-05)	(5.12e-05)	(5.79e-05)	(4.60e-05)	(4.89e-05)	(3.90e-05)	(3.09e-05)	(3.22e-05)	(8.96e-06)	(6.46e-06)	(6.46e-06)	(6.00e-06)	(4.35e-06)	(4.35e-06)	(5.94e-05)	(4.64e-05)	(4.75e-05)	(5.66e-05)	(4.57e-05)	(4.84e-05)	(3.53e-05)	(2.85e-05)	(2.96e-05)	(9.29e-06)	(6.98e-06)	(6.98e-06)	(6.60e-06)	(5.12e-06)	(5.12e-06)	(6.37e-05)
