	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	0.00283	0.00923	0.0307	0.00352	0.00608	0.0175	0.00243	0.00237	0.00246	0.00282	0.00277	0.00282	0.518***	0.511***	0.479***																																																																											
	(0.0322)	(0.0323)	(0.0339)	(0.0175)	(0.0175)	(0.0181)	(0.00272)	(0.00272)	(0.00272)	(0.00251)	(0.00251)	(0.00251)	(0.0391)	(0.0389)	(0.0405)																																																																											
malec	0.00211	-0.000234	-0.0183**	-0.00104	-0.00237	-0.0108**	0.00161***	0.00163***	0.00163***	0.00110***	0.00112***	0.00112***	-0.107***	-0.105***	-0.0879***	0.00943*	0.00769	-0.0115**	0.00297	0.00213	-0.00578*	0.00205***	0.00206***	0.00211***	0.00203***	0.00204***	0.00208***	-0.0922***	-0.0905***	-0.0719***	0.0220***	0.0198***	-0.000995	0.00567**	0.00471*	-0.00347	0.00230***	0.00232***	0.00238***	0.00219***	0.00221***	0.00223***	-0.0573***	-0.0555***	-0.0386***	0.0318***	0.0289***	0.0124**	0.00535**	0.00417*	-0.00144	0.00206***	0.00208***	0.00214***	0.00185***	0.00186***	0.00187***	-0.0240***	-0.0225***	-0.0112*	0.0441***	0.0410***	0.0274***	0.0103***	0.00885***	0.00438*	0.00214***	0.00216***	0.00221***	0.00173***	0.00175***	0.00176***	0.000213	0.000795	0.00803	0.0529***	0.0496***	0.0422***	0.0146***	0.0131***	0.0104***	0.00191**	0.00194**	0.00197**	0.00147**	0.00149**	0.00151**	0.00563	0.00528	0.00883
	(0.00756)	(0.00758)	(0.00805)	(0.00406)	(0.00407)	(0.00425)	(0.000478)	(0.000478)	(0.000479)	(0.000413)	(0.000414)	(0.000415)	(0.00960)	(0.00963)	(0.0100)	(0.00538)	(0.00540)	(0.00573)	(0.00289)	(0.00290)	(0.00303)	(0.000487)	(0.000487)	(0.000488)	(0.000409)	(0.000409)	(0.000410)	(0.00668)	(0.00670)	(0.00695)	(0.00492)	(0.00494)	(0.00523)	(0.00259)	(0.00260)	(0.00270)	(0.000526)	(0.000527)	(0.000527)	(0.000435)	(0.000435)	(0.000435)	(0.00611)	(0.00611)	(0.00627)	(0.00488)	(0.00490)	(0.00514)	(0.00248)	(0.00249)	(0.00257)	(0.000591)	(0.000591)	(0.000590)	(0.000468)	(0.000468)	(0.000467)	(0.00593)	(0.00594)	(0.00604)	(0.00520)	(0.00522)	(0.00545)	(0.00255)	(0.00256)	(0.00262)	(0.000721)	(0.000721)	(0.000721)	(0.000562)	(0.000563)	(0.000562)	(0.00614)	(0.00614)	(0.00621)	(0.00574)	(0.00577)	(0.00597)	(0.00271)	(0.00272)	(0.00277)	(0.000856)	(0.000857)	(0.000856)	(0.000674)	(0.000675)	(0.000674)	(0.00652)	(0.00652)	(0.00657)
agemay	0.0619***	0.0665***	0.124***	-0.00743	-0.00506	0.0238***	-0.0444***	-0.0445***	-0.0444***	-0.0345***	-0.0346***	-0.0345***	0.258***	0.253***	0.200***	0.0164**	0.0212***	0.0598***	-0.0145***	-0.0128***	0.00808	-0.0119***	-0.0119***	-0.0120***	-0.00764***	-0.00767***	-0.00773***	0.268***	0.263***	0.231***	0.0163***	0.0210***	0.0519***	-0.0127***	-0.0110***	0.00405	-0.0106***	-0.0107***	-0.0108***	-0.00709***	-0.00712***	-0.00716***	0.280***	0.277***	0.252***	0.0113*	0.0159**	0.0437***	-0.0181***	-0.0160***	-0.00475	-0.0120***	-0.0120***	-0.0121***	-0.00794***	-0.00794***	-0.00798***	0.309***	0.307***	0.288***	0.0128*	0.0184**	0.0467***	-0.0136***	-0.0110***	-0.00114	-0.0136***	-0.0136***	-0.0138***	-0.00903***	-0.00907***	-0.00911***	0.321***	0.320***	0.304***	-0.00553	-0.00158	0.0251***	-0.0199***	-0.0181***	-0.0110**	-0.0118***	-0.0118***	-0.0119***	-0.00798***	-0.00801***	-0.00806***	0.319***	0.319***	0.306***
	(0.0124)	(0.0124)	(0.0130)	(0.00728)	(0.00730)	(0.00760)	(0.00257)	(0.00257)	(0.00257)	(0.00240)	(0.00241)	(0.00240)	(0.0132)	(0.0132)	(0.0137)	(0.00705)	(0.00707)	(0.00740)	(0.00476)	(0.00478)	(0.00494)	(0.000876)	(0.000876)	(0.000875)	(0.000640)	(0.000640)	(0.000639)	(0.00712)	(0.00711)	(0.00737)	(0.00627)	(0.00630)	(0.00661)	(0.00411)	(0.00413)	(0.00426)	(0.000805)	(0.000805)	(0.000805)	(0.000643)	(0.000643)	(0.000643)	(0.00666)	(0.00666)	(0.00683)	(0.00634)	(0.00637)	(0.00667)	(0.00377)	(0.00379)	(0.00391)	(0.000925)	(0.000924)	(0.000923)	(0.000727)	(0.000727)	(0.000726)	(0.00685)	(0.00686)	(0.00700)	(0.00717)	(0.00720)	(0.00747)	(0.00392)	(0.00394)	(0.00402)	(0.00122)	(0.00122)	(0.00121)	(0.000948)	(0.000948)	(0.000945)	(0.00760)	(0.00760)	(0.00769)	(0.00899)	(0.00901)	(0.00932)	(0.00444)	(0.00446)	(0.00454)	(0.00146)	(0.00146)	(0.00146)	(0.00113)	(0.00113)	(0.00113)	(0.00909)	(0.00910)	(0.00914)
magesq	0.000366**	0.000326**	-0.000267*	0.000320***	0.000295***	-2.76e-05	5.64e-05***	5.67e-05***	5.69e-05***	4.29e-05***	4.33e-05***	4.32e-05***	-0.00370***	-0.00365***	-0.00318***	6.27e-05	3.45e-05	-0.000443***	0.000269***	0.000260***	5.31e-07	8.23e-05***	8.26e-05***	8.42e-05***	4.71e-05***	4.72e-05***	4.81e-05***	-0.00401***	-0.00398***	-0.00361***	5.17e-05	2.67e-05	-0.000354***	0.000228***	0.000220***	3.46e-05	8.77e-05***	8.80e-05***	8.94e-05***	5.66e-05***	5.68e-05***	5.73e-05***	-0.00378***	-0.00376***	-0.00347***	0.000163*	0.000136	-0.000203**	0.000301***	0.000287***	0.000152***	0.000111***	0.000111***	0.000113***	7.29e-05***	7.29e-05***	7.34e-05***	-0.00388***	-0.00387***	-0.00365***	0.000167*	0.000121	-0.000231**	0.000239***	0.000216***	9.53e-05*	0.000129***	0.000129***	0.000131***	8.68e-05***	8.71e-05***	8.77e-05***	-0.00378***	-0.00377***	-0.00357***	0.000397***	0.000366***	2.63e-05	0.000313***	0.000296***	0.000208***	0.000105***	0.000106***	0.000107***	7.25e-05***	7.28e-05***	7.36e-05***	-0.00362***	-0.00362***	-0.00345***
	(0.000150)	(0.000151)	(0.000159)	(9.41e-05)	(9.45e-05)	(9.90e-05)	(1.17e-05)	(1.17e-05)	(1.17e-05)	(9.96e-06)	(9.96e-06)	(9.93e-06)	(0.000160)	(0.000161)	(0.000167)	(9.95e-05)	(9.98e-05)	(0.000105)	(6.49e-05)	(6.51e-05)	(6.76e-05)	(1.10e-05)	(1.10e-05)	(1.10e-05)	(7.97e-06)	(7.97e-06)	(7.95e-06)	(0.000108)	(0.000108)	(0.000113)	(8.71e-05)	(8.76e-05)	(9.21e-05)	(5.53e-05)	(5.57e-05)	(5.75e-05)	(1.05e-05)	(1.05e-05)	(1.05e-05)	(8.43e-06)	(8.43e-06)	(8.43e-06)	(9.79e-05)	(9.80e-05)	(0.000101)	(8.55e-05)	(8.60e-05)	(9.05e-05)	(4.98e-05)	(5.01e-05)	(5.18e-05)	(1.19e-05)	(1.19e-05)	(1.19e-05)	(9.42e-06)	(9.42e-06)	(9.41e-06)	(9.73e-05)	(9.75e-05)	(9.97e-05)	(9.42e-05)	(9.46e-05)	(9.84e-05)	(5.07e-05)	(5.10e-05)	(5.21e-05)	(1.54e-05)	(1.54e-05)	(1.53e-05)	(1.20e-05)	(1.20e-05)	(1.20e-05)	(0.000104)	(0.000104)	(0.000105)	(0.000115)	(0.000115)	(0.000119)	(5.62e-05)	(5.64e-05)	(5.74e-05)	(1.81e-05)	(1.81e-05)	(1.81e-05)	(1.41e-05)	(1.41e-05)	(1.41e-05)	(0.000120)	(0.000120)	(0.000121)
