	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	0.00367	0.00989	0.0309	0.00315	0.00567	0.0169	0.00237	0.00231	0.00240	0.00276	0.00271	0.00276	0.510***	0.504***	0.473***																																																																											
	(0.0322)	(0.0323)	(0.0339)	(0.0175)	(0.0175)	(0.0182)	(0.00272)	(0.00272)	(0.00272)	(0.00251)	(0.00251)	(0.00251)	(0.0391)	(0.0389)	(0.0404)																																																																											
malec	0.00184	-0.000358	-0.0180**	-0.00122	-0.00251	-0.0109**	0.00163***	0.00164***	0.00165***	0.00111***	0.00113***	0.00113***	-0.107***	-0.105***	-0.0885***	0.00944*	0.00777	-0.0111*	0.00274	0.00191	-0.00594**	0.00231***	0.00232***	0.00238***	0.00225***	0.00226***	0.00230***	-0.0913***	-0.0898***	-0.0716***	0.0216***	0.0195***	-0.00106	0.00536**	0.00442*	-0.00374	0.00277***	0.00279***	0.00285***	0.00257***	0.00258***	0.00260***	-0.0566***	-0.0549***	-0.0384***	0.0313***	0.0286***	0.0123**	0.00519**	0.00407*	-0.00153	0.00264***	0.00267***	0.00273***	0.00234***	0.00235***	0.00237***	-0.0248***	-0.0234***	-0.0124**	0.0438***	0.0408***	0.0275***	0.0105***	0.00912***	0.00474*	0.00297***	0.00298***	0.00304***	0.00259***	0.00260***	0.00262***	-0.00130	-0.000737	0.00627	0.0544***	0.0511***	0.0439***	0.0145***	0.0131***	0.0104***	0.00275***	0.00278***	0.00282***	0.00242***	0.00244***	0.00245***	0.00483	0.00449	0.00795
	(0.00753)	(0.00755)	(0.00802)	(0.00404)	(0.00405)	(0.00424)	(0.000477)	(0.000477)	(0.000478)	(0.000412)	(0.000413)	(0.000414)	(0.00955)	(0.00958)	(0.01000)	(0.00534)	(0.00536)	(0.00569)	(0.00287)	(0.00288)	(0.00301)	(0.000490)	(0.000490)	(0.000491)	(0.000413)	(0.000413)	(0.000414)	(0.00663)	(0.00665)	(0.00689)	(0.00488)	(0.00489)	(0.00518)	(0.00257)	(0.00258)	(0.00268)	(0.000535)	(0.000535)	(0.000535)	(0.000446)	(0.000446)	(0.000447)	(0.00605)	(0.00605)	(0.00621)	(0.00482)	(0.00485)	(0.00509)	(0.00245)	(0.00247)	(0.00254)	(0.000602)	(0.000602)	(0.000602)	(0.000484)	(0.000484)	(0.000484)	(0.00587)	(0.00587)	(0.00597)	(0.00513)	(0.00516)	(0.00539)	(0.00252)	(0.00253)	(0.00259)	(0.000731)	(0.000732)	(0.000731)	(0.000579)	(0.000579)	(0.000579)	(0.00607)	(0.00607)	(0.00613)	(0.00566)	(0.00568)	(0.00589)	(0.00268)	(0.00269)	(0.00274)	(0.000873)	(0.000873)	(0.000872)	(0.000698)	(0.000699)	(0.000698)	(0.00644)	(0.00644)	(0.00648)
agemay	0.0620***	0.0663***	0.124***	-0.00711	-0.00487	0.0241***	-0.0444***	-0.0445***	-0.0444***	-0.0345***	-0.0345***	-0.0345***	0.261***	0.256***	0.202***	0.0162**	0.0208***	0.0595***	-0.0137***	-0.0121**	0.00890*	-0.0122***	-0.0123***	-0.0124***	-0.00783***	-0.00786***	-0.00792***	0.272***	0.267***	0.234***	0.0161***	0.0207***	0.0518***	-0.0126***	-0.0110***	0.00415	-0.0113***	-0.0114***	-0.0115***	-0.00772***	-0.00775***	-0.00778***	0.282***	0.279***	0.253***	0.0124**	0.0170***	0.0457***	-0.0180***	-0.0159***	-0.00439	-0.0130***	-0.0131***	-0.0132***	-0.00879***	-0.00880***	-0.00884***	0.309***	0.307***	0.287***	0.0127*	0.0184***	0.0474***	-0.0131***	-0.0104***	-0.000431	-0.0153***	-0.0153***	-0.0155***	-0.0104***	-0.0104***	-0.0105***	0.320***	0.319***	0.302***	-0.00620	-0.00189	0.0254***	-0.0190***	-0.0171***	-0.00977**	-0.0143***	-0.0143***	-0.0144***	-0.0100***	-0.0100***	-0.0101***	0.318***	0.319***	0.306***
	(0.0123)	(0.0123)	(0.0129)	(0.00725)	(0.00728)	(0.00757)	(0.00256)	(0.00256)	(0.00255)	(0.00239)	(0.00239)	(0.00238)	(0.0131)	(0.0131)	(0.0136)	(0.00697)	(0.00699)	(0.00731)	(0.00472)	(0.00473)	(0.00490)	(0.000879)	(0.000879)	(0.000878)	(0.000647)	(0.000647)	(0.000646)	(0.00701)	(0.00700)	(0.00725)	(0.00620)	(0.00623)	(0.00653)	(0.00407)	(0.00409)	(0.00422)	(0.000828)	(0.000828)	(0.000828)	(0.000675)	(0.000675)	(0.000674)	(0.00655)	(0.00656)	(0.00672)	(0.00626)	(0.00629)	(0.00659)	(0.00372)	(0.00375)	(0.00386)	(0.000949)	(0.000949)	(0.000947)	(0.000754)	(0.000754)	(0.000752)	(0.00674)	(0.00675)	(0.00688)	(0.00708)	(0.00711)	(0.00738)	(0.00386)	(0.00388)	(0.00397)	(0.00126)	(0.00126)	(0.00125)	(0.000988)	(0.000988)	(0.000985)	(0.00746)	(0.00747)	(0.00754)	(0.00883)	(0.00886)	(0.00917)	(0.00438)	(0.00440)	(0.00447)	(0.00158)	(0.00158)	(0.00157)	(0.00126)	(0.00126)	(0.00126)	(0.00890)	(0.00890)	(0.00894)
magesq	0.000369**	0.000334**	-0.000261*	0.000319***	0.000296***	-2.69e-05	5.60e-05***	5.63e-05***	5.65e-05***	4.22e-05***	4.26e-05***	4.25e-05***	-0.00375***	-0.00371***	-0.00322***	6.21e-05	3.82e-05	-0.000440***	0.000256***	0.000249***	-1.09e-05	8.48e-05***	8.50e-05***	8.67e-05***	4.80e-05***	4.81e-05***	4.90e-05***	-0.00407***	-0.00404***	-0.00366***	5.27e-05	2.91e-05	-0.000352***	0.000228***	0.000220***	3.47e-05	9.43e-05***	9.45e-05***	9.60e-05***	6.22e-05***	6.24e-05***	6.29e-05***	-0.00381***	-0.00379***	-0.00350***	0.000148*	0.000120	-0.000229**	0.000300***	0.000286***	0.000147***	0.000122***	0.000122***	0.000123***	8.09e-05***	8.10e-05***	8.16e-05***	-0.00388***	-0.00387***	-0.00364***	0.000170*	0.000121	-0.000239**	0.000232***	0.000209***	8.59e-05*	0.000147***	0.000147***	0.000149***	1.00e-04***	0.000100***	0.000101***	-0.00377***	-0.00376***	-0.00356***	0.000406***	0.000370***	2.34e-05	0.000302***	0.000284***	0.000193***	0.000132***	0.000132***	0.000134***	9.35e-05***	9.37e-05***	9.46e-05***	-0.00363***	-0.00363***	-0.00346***
	(0.000149)	(0.000150)	(0.000158)	(9.36e-05)	(9.41e-05)	(9.85e-05)	(1.17e-05)	(1.17e-05)	(1.16e-05)	(9.86e-06)	(9.86e-06)	(9.82e-06)	(0.000159)	(0.000159)	(0.000166)	(9.83e-05)	(9.86e-05)	(0.000104)	(6.43e-05)	(6.45e-05)	(6.69e-05)	(1.10e-05)	(1.10e-05)	(1.10e-05)	(8.06e-06)	(8.06e-06)	(8.03e-06)	(0.000106)	(0.000106)	(0.000111)	(8.60e-05)	(8.65e-05)	(9.10e-05)	(5.47e-05)	(5.51e-05)	(5.69e-05)	(1.08e-05)	(1.08e-05)	(1.08e-05)	(8.86e-06)	(8.85e-06)	(8.84e-06)	(9.65e-05)	(9.65e-05)	(9.94e-05)	(8.44e-05)	(8.49e-05)	(8.93e-05)	(4.92e-05)	(4.95e-05)	(5.11e-05)	(1.23e-05)	(1.23e-05)	(1.23e-05)	(9.79e-06)	(9.79e-06)	(9.77e-06)	(9.58e-05)	(9.59e-05)	(9.81e-05)	(9.30e-05)	(9.34e-05)	(9.72e-05)	(5.00e-05)	(5.02e-05)	(5.13e-05)	(1.59e-05)	(1.59e-05)	(1.58e-05)	(1.25e-05)	(1.25e-05)	(1.25e-05)	(0.000102)	(0.000102)	(0.000103)	(0.000113)	(0.000113)	(0.000117)	(5.53e-05)	(5.56e-05)	(5.66e-05)	(1.96e-05)	(1.96e-05)	(1.95e-05)	(1.57e-05)	(1.57e-05)	(1.57e-05)	(0.000117)	(0.000118)	(0.000118)
