	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	-0.00677	-0.00472	-0.00417	0.00482	0.00577	0.00997	0.00172	0.00167	0.00168	0.00192	0.00188	0.00188	0.892***	0.888***	0.890***																																																																											
	(0.0219)	(0.0220)	(0.0230)	(0.0121)	(0.0121)	(0.0126)	(0.00192)	(0.00192)	(0.00192)	(0.00155)	(0.00155)	(0.00155)	(0.0232)	(0.0231)	(0.0239)																																																																											
malec	-0.00531	-0.00665	-0.0121***	-0.00215	-0.00297	-0.00706***	0.00132***	0.00132***	0.00133***	0.00101***	0.00101***	0.00101***	-0.0834***	-0.0822***	-0.0795***	0.0110***	0.00938***	-0.00385	-0.000492	-0.00127	-0.00758***	0.00175***	0.00175***	0.00179***	0.00148***	0.00148***	0.00150***	-0.0627***	-0.0616***	-0.0525***	0.0295***	0.0275***	0.0111***	0.00356**	0.00254	-0.00417**	0.00221***	0.00222***	0.00228***	0.00187***	0.00188***	0.00190***	-0.0334***	-0.0321***	-0.0222***	0.0447***	0.0419***	0.0284***	0.00570***	0.00455**	-0.000234	0.00197***	0.00198***	0.00205***	0.00171***	0.00172***	0.00175***	-0.0125***	-0.0116***	-0.00455	0.0592***	0.0564***	0.0442***	0.0106***	0.00933***	0.00514***	0.00224***	0.00226***	0.00233***	0.00185***	0.00187***	0.00190***	0.00309	0.00328	0.00839*	0.0676***	0.0646***	0.0574***	0.0140***	0.0127***	0.00999***	0.00240***	0.00243***	0.00249***	0.00166***	0.00168***	0.00171***	0.00791	0.00727	0.00996**
	(0.00420)	(0.00421)	(0.00446)	(0.00239)	(0.00239)	(0.00251)	(0.000322)	(0.000322)	(0.000323)	(0.000241)	(0.000241)	(0.000241)	(0.00445)	(0.00446)	(0.00459)	(0.00347)	(0.00349)	(0.00370)	(0.00191)	(0.00192)	(0.00201)	(0.000369)	(0.000369)	(0.000369)	(0.000279)	(0.000279)	(0.000280)	(0.00395)	(0.00395)	(0.00405)	(0.00342)	(0.00344)	(0.00365)	(0.00181)	(0.00181)	(0.00189)	(0.000427)	(0.000427)	(0.000427)	(0.000326)	(0.000326)	(0.000326)	(0.00405)	(0.00405)	(0.00412)	(0.00360)	(0.00362)	(0.00380)	(0.00179)	(0.00180)	(0.00185)	(0.000511)	(0.000512)	(0.000511)	(0.000378)	(0.000378)	(0.000378)	(0.00426)	(0.00426)	(0.00431)	(0.00394)	(0.00396)	(0.00414)	(0.00186)	(0.00187)	(0.00192)	(0.000610)	(0.000610)	(0.000610)	(0.000462)	(0.000462)	(0.000462)	(0.00458)	(0.00458)	(0.00461)	(0.00449)	(0.00451)	(0.00468)	(0.00205)	(0.00206)	(0.00210)	(0.000744)	(0.000744)	(0.000744)	(0.000570)	(0.000570)	(0.000570)	(0.00503)	(0.00503)	(0.00506)
agemay	0.0731***	0.0779***	0.127***	-0.0100***	-0.00794**	0.0149***	-0.0795***	-0.0796***	-0.0796***	-0.0481***	-0.0482***	-0.0482***	0.378***	0.374***	0.340***	0.0382***	0.0435***	0.0765***	-0.0200***	-0.0182***	-0.00378	-0.0234***	-0.0234***	-0.0236***	-0.0124***	-0.0124***	-0.0125***	0.350***	0.346***	0.325***	0.0334***	0.0393***	0.0667***	-0.0188***	-0.0172***	-0.00533**	-0.0212***	-0.0212***	-0.0214***	-0.0117***	-0.0118***	-0.0118***	0.369***	0.365***	0.349***	0.0264***	0.0319***	0.0590***	-0.0202***	-0.0183***	-0.00771***	-0.0206***	-0.0207***	-0.0208***	-0.0119***	-0.0119***	-0.0120***	0.371***	0.369***	0.356***	0.0261***	0.0315***	0.0601***	-0.0148***	-0.0127***	-0.00303	-0.0204***	-0.0204***	-0.0206***	-0.0128***	-0.0128***	-0.0129***	0.354***	0.353***	0.342***	0.00436	0.00669	0.0350***	-0.0186***	-0.0176***	-0.00957***	-0.0201***	-0.0201***	-0.0204***	-0.0132***	-0.0132***	-0.0133***	0.327***	0.328***	0.318***
	(0.00550)	(0.00551)	(0.00582)	(0.00354)	(0.00356)	(0.00370)	(0.00132)	(0.00132)	(0.00132)	(0.00122)	(0.00122)	(0.00122)	(0.00512)	(0.00513)	(0.00527)	(0.00404)	(0.00405)	(0.00426)	(0.00283)	(0.00284)	(0.00293)	(0.000702)	(0.000702)	(0.000702)	(0.000476)	(0.000476)	(0.000476)	(0.00380)	(0.00380)	(0.00390)	(0.00402)	(0.00404)	(0.00424)	(0.00258)	(0.00260)	(0.00269)	(0.000710)	(0.000710)	(0.000710)	(0.000505)	(0.000505)	(0.000505)	(0.00423)	(0.00424)	(0.00432)	(0.00444)	(0.00446)	(0.00468)	(0.00252)	(0.00253)	(0.00261)	(0.000855)	(0.000856)	(0.000855)	(0.000607)	(0.000607)	(0.000607)	(0.00486)	(0.00487)	(0.00493)	(0.00526)	(0.00528)	(0.00549)	(0.00268)	(0.00269)	(0.00275)	(0.00105)	(0.00105)	(0.00105)	(0.000797)	(0.000797)	(0.000796)	(0.00565)	(0.00565)	(0.00569)	(0.00678)	(0.00680)	(0.00705)	(0.00316)	(0.00317)	(0.00323)	(0.00138)	(0.00138)	(0.00138)	(0.00104)	(0.00104)	(0.00104)	(0.00694)	(0.00694)	(0.00696)
magesq	0.000260***	0.000232***	-0.000300***	0.000418***	0.000400***	0.000151***	0.000141***	0.000142***	0.000142***	4.94e-05***	4.97e-05***	4.97e-05***	-0.00533***	-0.00532***	-0.00500***	-9.61e-05*	-0.000127**	-0.000495***	0.000358***	0.000348***	0.000185***	0.000195***	0.000196***	0.000197***	9.08e-05***	9.11e-05***	9.20e-05***	-0.00505***	-0.00502***	-0.00482***	-8.84e-05	-0.000129**	-0.000439***	0.000324***	0.000315***	0.000182***	0.000204***	0.000205***	0.000207***	0.000107***	0.000108***	0.000108***	-0.00487***	-0.00485***	-0.00469***	-1.08e-06	-4.11e-05	-0.000358***	0.000336***	0.000322***	0.000200***	0.000206***	0.000207***	0.000209***	0.000116***	0.000116***	0.000117***	-0.00454***	-0.00452***	-0.00438***	1.04e-05	-3.35e-05	-0.000382***	0.000256***	0.000239***	0.000124***	0.000201***	0.000202***	0.000204***	0.000128***	0.000129***	0.000130***	-0.00408***	-0.00408***	-0.00394***	0.000291***	0.000282***	-6.88e-05	0.000299***	0.000293***	0.000196***	0.000195***	0.000195***	0.000198***	0.000130***	0.000130***	0.000132***	-0.00364***	-0.00365***	-0.00352***
	(7.03e-05)	(7.04e-05)	(7.49e-05)	(4.87e-05)	(4.88e-05)	(5.10e-05)	(7.64e-06)	(7.65e-06)	(7.63e-06)	(4.85e-06)	(4.85e-06)	(4.84e-06)	(6.32e-05)	(6.33e-05)	(6.55e-05)	(5.79e-05)	(5.82e-05)	(6.17e-05)	(3.90e-05)	(3.92e-05)	(4.07e-05)	(8.96e-06)	(8.97e-06)	(8.96e-06)	(6.00e-06)	(6.01e-06)	(6.00e-06)	(5.94e-05)	(5.95e-05)	(6.13e-05)	(5.66e-05)	(5.69e-05)	(6.01e-05)	(3.53e-05)	(3.55e-05)	(3.68e-05)	(9.29e-06)	(9.29e-06)	(9.29e-06)	(6.60e-06)	(6.60e-06)	(6.60e-06)	(6.37e-05)	(6.37e-05)	(6.51e-05)	(6.06e-05)	(6.10e-05)	(6.43e-05)	(3.38e-05)	(3.40e-05)	(3.51e-05)	(1.11e-05)	(1.11e-05)	(1.11e-05)	(7.87e-06)	(7.87e-06)	(7.86e-06)	(7.01e-05)	(7.01e-05)	(7.12e-05)	(6.96e-05)	(6.99e-05)	(7.29e-05)	(3.51e-05)	(3.53e-05)	(3.61e-05)	(1.33e-05)	(1.33e-05)	(1.33e-05)	(1.01e-05)	(1.01e-05)	(1.01e-05)	(7.78e-05)	(7.79e-05)	(7.85e-05)	(8.71e-05)	(8.73e-05)	(9.06e-05)	(4.03e-05)	(4.05e-05)	(4.13e-05)	(1.71e-05)	(1.71e-05)	(1.71e-05)	(1.29e-05)	(1.29e-05)	(1.29e-05)	(9.23e-05)	(9.23e-05)	(9.26e-05)
