	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	-0.00668	-0.00471	-0.00440	0.00461	0.00553	0.00965	0.00163	0.00158	0.00159	0.00182	0.00178	0.00178	0.887***	0.883***	0.885***																																																																											
	(0.0219)	(0.0220)	(0.0230)	(0.0121)	(0.0121)	(0.0126)	(0.00192)	(0.00192)	(0.00192)	(0.00155)	(0.00155)	(0.00155)	(0.0232)	(0.0231)	(0.0239)																																																																											
malec	-0.00548	-0.00680	-0.0121***	-0.00221	-0.00302	-0.00712***	0.00129***	0.00129***	0.00130***	0.00100***	0.00101***	0.00101***	-0.0834***	-0.0822***	-0.0797***	0.0109***	0.00940***	-0.00380	-0.000574	-0.00135	-0.00771***	0.00188***	0.00188***	0.00192***	0.00165***	0.00165***	0.00167***	-0.0623***	-0.0612***	-0.0523***	0.0293***	0.0273***	0.0111***	0.00335*	0.00234	-0.00441**	0.00252***	0.00253***	0.00259***	0.00213***	0.00214***	0.00216***	-0.0332***	-0.0321***	-0.0223***	0.0449***	0.0423***	0.0287***	0.00566***	0.00455**	-0.000223	0.00248***	0.00249***	0.00255***	0.00221***	0.00221***	0.00224***	-0.0134***	-0.0126***	-0.00559	0.0595***	0.0569***	0.0447***	0.0108***	0.00962***	0.00549***	0.00301***	0.00303***	0.00310***	0.00270***	0.00271***	0.00275***	0.00112	0.00131	0.00641	0.0694***	0.0665***	0.0594***	0.0142***	0.0129***	0.0102***	0.00300***	0.00304***	0.00310***	0.00242***	0.00244***	0.00247***	0.00717	0.00656	0.00917*
	(0.00418)	(0.00420)	(0.00444)	(0.00238)	(0.00239)	(0.00250)	(0.000323)	(0.000323)	(0.000324)	(0.000242)	(0.000242)	(0.000242)	(0.00443)	(0.00444)	(0.00457)	(0.00345)	(0.00346)	(0.00367)	(0.00190)	(0.00191)	(0.00199)	(0.000370)	(0.000370)	(0.000370)	(0.000282)	(0.000282)	(0.000282)	(0.00391)	(0.00392)	(0.00401)	(0.00339)	(0.00341)	(0.00361)	(0.00179)	(0.00180)	(0.00187)	(0.000431)	(0.000431)	(0.000431)	(0.000332)	(0.000332)	(0.000332)	(0.00401)	(0.00401)	(0.00408)	(0.00356)	(0.00358)	(0.00376)	(0.00177)	(0.00178)	(0.00184)	(0.000518)	(0.000518)	(0.000518)	(0.000390)	(0.000390)	(0.000390)	(0.00422)	(0.00422)	(0.00426)	(0.00389)	(0.00391)	(0.00409)	(0.00184)	(0.00185)	(0.00190)	(0.000617)	(0.000617)	(0.000617)	(0.000473)	(0.000473)	(0.000473)	(0.00452)	(0.00452)	(0.00455)	(0.00443)	(0.00445)	(0.00462)	(0.00202)	(0.00203)	(0.00207)	(0.000756)	(0.000756)	(0.000756)	(0.000588)	(0.000588)	(0.000588)	(0.00496)	(0.00496)	(0.00499)
agemay	0.0729***	0.0776***	0.127***	-0.00964***	-0.00755**	0.0154***	-0.0803***	-0.0804***	-0.0804***	-0.0491***	-0.0491***	-0.0491***	0.379***	0.375***	0.341***	0.0376***	0.0427***	0.0761***	-0.0196***	-0.0179***	-0.00326	-0.0240***	-0.0240***	-0.0241***	-0.0129***	-0.0129***	-0.0130***	0.351***	0.347***	0.326***	0.0328***	0.0386***	0.0663***	-0.0191***	-0.0174***	-0.00556**	-0.0222***	-0.0223***	-0.0224***	-0.0125***	-0.0126***	-0.0126***	0.369***	0.366***	0.349***	0.0262***	0.0317***	0.0595***	-0.0202***	-0.0183***	-0.00746***	-0.0223***	-0.0224***	-0.0225***	-0.0133***	-0.0133***	-0.0134***	0.369***	0.367***	0.354***	0.0252***	0.0307***	0.0600***	-0.0146***	-0.0125***	-0.00270	-0.0223***	-0.0224***	-0.0226***	-0.0142***	-0.0143***	-0.0144***	0.352***	0.351***	0.340***	0.00436	0.00700	0.0358***	-0.0181***	-0.0169***	-0.00873***	-0.0227***	-0.0228***	-0.0230***	-0.0154***	-0.0154***	-0.0155***	0.326***	0.326***	0.316***
	(0.00545)	(0.00546)	(0.00576)	(0.00352)	(0.00353)	(0.00368)	(0.00130)	(0.00131)	(0.00131)	(0.00121)	(0.00121)	(0.00121)	(0.00507)	(0.00508)	(0.00521)	(0.00400)	(0.00402)	(0.00422)	(0.00280)	(0.00281)	(0.00291)	(0.000704)	(0.000704)	(0.000704)	(0.000481)	(0.000481)	(0.000481)	(0.00374)	(0.00374)	(0.00385)	(0.00397)	(0.00399)	(0.00419)	(0.00256)	(0.00257)	(0.00266)	(0.000719)	(0.000719)	(0.000719)	(0.000517)	(0.000517)	(0.000517)	(0.00418)	(0.00418)	(0.00426)	(0.00439)	(0.00441)	(0.00462)	(0.00249)	(0.00250)	(0.00258)	(0.000870)	(0.000870)	(0.000870)	(0.000629)	(0.000629)	(0.000628)	(0.00478)	(0.00479)	(0.00485)	(0.00518)	(0.00521)	(0.00541)	(0.00264)	(0.00265)	(0.00271)	(0.00107)	(0.00107)	(0.00107)	(0.000817)	(0.000817)	(0.000816)	(0.00554)	(0.00554)	(0.00558)	(0.00666)	(0.00668)	(0.00692)	(0.00311)	(0.00312)	(0.00318)	(0.00143)	(0.00143)	(0.00143)	(0.00111)	(0.00111)	(0.00111)	(0.00679)	(0.00679)	(0.00682)
magesq	0.000259***	0.000231***	-0.000302***	0.000413***	0.000396***	0.000145***	0.000143***	0.000144***	0.000144***	5.14e-05***	5.17e-05***	5.16e-05***	-0.00535***	-0.00534***	-0.00502***	-8.92e-05	-0.000117**	-0.000491***	0.000351***	0.000341***	0.000177***	0.000201***	0.000201***	0.000203***	9.55e-05***	9.58e-05***	9.66e-05***	-0.00507***	-0.00505***	-0.00483***	-8.37e-05	-0.000123**	-0.000434***	0.000327***	0.000319***	0.000185***	0.000215***	0.000216***	0.000218***	0.000115***	0.000116***	0.000116***	-0.00488***	-0.00486***	-0.00470***	8.24e-07	-3.96e-05	-0.000365***	0.000335***	0.000321***	0.000196***	0.000225***	0.000226***	0.000228***	0.000131***	0.000131***	0.000132***	-0.00453***	-0.00451***	-0.00437***	2.23e-05	-2.31e-05	-0.000379***	0.000253***	0.000235***	0.000118***	0.000223***	0.000223***	0.000226***	0.000143***	0.000143***	0.000144***	-0.00406***	-0.00406***	-0.00392***	0.000291***	0.000278***	-7.91e-05	0.000292***	0.000284***	0.000185***	0.000223***	0.000224***	0.000227***	0.000153***	0.000154***	0.000155***	-0.00363***	-0.00364***	-0.00351***
	(6.98e-05)	(7.00e-05)	(7.43e-05)	(4.84e-05)	(4.85e-05)	(5.07e-05)	(7.65e-06)	(7.66e-06)	(7.64e-06)	(4.89e-06)	(4.90e-06)	(4.89e-06)	(6.26e-05)	(6.28e-05)	(6.49e-05)	(5.74e-05)	(5.76e-05)	(6.11e-05)	(3.87e-05)	(3.88e-05)	(4.03e-05)	(8.97e-06)	(8.98e-06)	(8.97e-06)	(6.06e-06)	(6.06e-06)	(6.06e-06)	(5.85e-05)	(5.86e-05)	(6.04e-05)	(5.60e-05)	(5.63e-05)	(5.94e-05)	(3.49e-05)	(3.51e-05)	(3.64e-05)	(9.40e-06)	(9.40e-06)	(9.41e-06)	(6.76e-06)	(6.76e-06)	(6.76e-06)	(6.28e-05)	(6.29e-05)	(6.43e-05)	(5.99e-05)	(6.03e-05)	(6.35e-05)	(3.34e-05)	(3.36e-05)	(3.47e-05)	(1.13e-05)	(1.13e-05)	(1.13e-05)	(8.16e-06)	(8.16e-06)	(8.15e-06)	(6.89e-05)	(6.90e-05)	(7.00e-05)	(6.86e-05)	(6.89e-05)	(7.18e-05)	(3.46e-05)	(3.47e-05)	(3.55e-05)	(1.36e-05)	(1.36e-05)	(1.36e-05)	(1.04e-05)	(1.04e-05)	(1.03e-05)	(7.64e-05)	(7.64e-05)	(7.70e-05)	(8.55e-05)	(8.57e-05)	(8.90e-05)	(3.97e-05)	(3.99e-05)	(4.06e-05)	(1.77e-05)	(1.77e-05)	(1.77e-05)	(1.37e-05)	(1.37e-05)	(1.37e-05)	(9.04e-05)	(9.04e-05)	(9.07e-05)
