	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																				
fert	-0.117***	-0.0775***	-0.0749***	-0.0422***	-0.0288***	-0.0278***	0.00738***	0.00717***	0.00714***	0.00516***	0.00509***	0.00507***	-0.0930***	-0.0603***	-0.0585***	-0.0326***	-0.0228***	-0.0222***	0.00857***	0.00844***	0.00842***	0.00608***	0.00605***	0.00604***	-0.131***	-0.0883***	-0.0860***	-0.0461***	-0.0308***	-0.0299***	0.00669***	0.00642***	0.00638***	0.00453***	0.00442***	0.00440***
	(0.00881)	(0.00701)	(0.00698)	(0.00387)	(0.00278)	(0.00273)	(0.00103)	(0.000978)	(0.000975)	(0.000692)	(0.000672)	(0.000670)	(0.00838)	(0.00724)	(0.00648)	(0.00425)	(0.00348)	(0.00317)	(0.00155)	(0.00151)	(0.00151)	(0.00106)	(0.00105)	(0.00104)	(0.0103)	(0.00814)	(0.00814)	(0.00459)	(0.00346)	(0.00342)	(0.00145)	(0.00141)	(0.00141)	(0.000951)	(0.000925)	(0.000921)
malec	-0.0172	-0.00729	-0.00540	-0.00822	-0.00246	-0.00141	0.00216***	0.00210***	0.00208***	0.00146***	0.00145***	0.00144***	-0.00145	0.00639	0.00863	-0.0100	-0.00569	-0.00429	0.00276***	0.00272***	0.00271***	0.00187***	0.00186***	0.00186***	-0.0284	-0.0171	-0.0155	-0.00658	9.79e-05	0.000974	0.00171***	0.00164***	0.00162***	0.00111***	0.00109***	0.00108***
	(0.0244)	(0.0257)	(0.0259)	(0.0122)	(0.0132)	(0.0133)	(0.000363)	(0.000364)	(0.000365)	(0.000225)	(0.000226)	(0.000226)	(0.0292)	(0.0288)	(0.0290)	(0.0115)	(0.0105)	(0.0106)	(0.000733)	(0.000726)	(0.000725)	(0.000437)	(0.000435)	(0.000435)	(0.0362)	(0.0385)	(0.0388)	(0.0169)	(0.0186)	(0.0187)	(0.000232)	(0.000225)	(0.000225)	(0.000131)	(0.000127)	(0.000126)
agemay	0.0867***	0.0518***	0.0455***	0.0217***	0.00710	0.00492	-0.0152***	-0.0151***	-0.0150***	-0.00533***	-0.00531***	-0.00526***	0.114***	0.0768***	0.0669***	0.0214***	0.00624	0.00295	-0.0234***	-0.0233***	-0.0231***	-0.00730***	-0.00729***	-0.00721***	0.0541***	0.0201*	0.0153	0.0157*	0.00143	-0.000468	-0.00834***	-0.00817***	-0.00809***	-0.00342***	-0.00337***	-0.00332***
	(0.0129)	(0.0121)	(0.0115)	(0.00509)	(0.00516)	(0.00503)	(0.00421)	(0.00418)	(0.00417)	(0.00130)	(0.00130)	(0.00129)	(0.0145)	(0.0143)	(0.0142)	(0.00468)	(0.00438)	(0.00408)	(0.00836)	(0.00830)	(0.00826)	(0.00253)	(0.00253)	(0.00251)	(0.0123)	(0.0104)	(0.00996)	(0.00793)	(0.00787)	(0.00780)	(0.00200)	(0.00195)	(0.00194)	(0.000840)	(0.000826)	(0.000821)
magesq	-0.000634***	-0.000237	-0.000192	-0.000150***	1.69e-05	3.07e-05	0.000142***	0.000140***	0.000140***	3.63e-05***	3.60e-05***	3.56e-05***	-0.000856***	-0.000459**	-0.000358**	-0.000108**	5.72e-05	8.91e-05*	0.000224**	0.000223**	0.000221**	4.94e-05**	4.93e-05**	4.85e-05**	-0.000337*	6.68e-05	9.23e-05	-0.000113	5.69e-05	6.63e-05	7.31e-05***	7.09e-05***	7.04e-05***	2.16e-05***	2.10e-05***	2.07e-05***
	(0.000147)	(0.000146)	(0.000142)	(5.55e-05)	(6.20e-05)	(6.11e-05)	(4.45e-05)	(4.42e-05)	(4.41e-05)	(1.17e-05)	(1.18e-05)	(1.17e-05)	(0.000173)	(0.000176)	(0.000174)	(4.77e-05)	(4.79e-05)	(4.51e-05)	(8.82e-05)	(8.76e-05)	(8.71e-05)	(2.32e-05)	(2.31e-05)	(2.29e-05)	(0.000167)	(0.000153)	(0.000150)	(9.13e-05)	(9.83e-05)	(9.71e-05)	(1.86e-05)	(1.79e-05)	(1.79e-05)	(5.59e-06)	(5.39e-06)	(5.38e-06)
