	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After	-0.108	-0.106	-0.123*	-0.0345	-0.0325	-0.0336	-0.0924***	-0.0941***	-0.102***	-0.0561**	-0.0444*	-0.0437*	-0.0885***	-0.0850***	-0.0946***	-0.0375	-0.0252	-0.0223	-0.0165	-0.0159	-0.0194	0.00560	0.00826	0.00957	-0.0160	-0.0158	-0.0214	0.000459	0.00500	0.00370	-0.0298**	-0.0294**	-0.0319**	-0.0136	-0.00911	-0.00838	0.00533	0.00531	0.00537	0.0141**	0.0140**	0.0140**	0.0151***	0.0151***	0.0151***	0.00934***	0.00929**	0.00929**	0.0180***	0.0179***	0.0180***	0.0186***	0.0183***	0.0183***	0.00290	0.00288	0.00286	0.0143***	0.0142***	0.0142***	0.0142***	0.0141***	0.0142***	0.00818***	0.00820***	0.00821***	0.0145***	0.0144***	0.0144***	0.0146***	0.0145***	0.0145***
	(0.0663)	(0.0667)	(0.0674)	(0.0290)	(0.0293)	(0.0298)	(0.0274)	(0.0275)	(0.0290)	(0.0246)	(0.0247)	(0.0260)	(0.0251)	(0.0252)	(0.0266)	(0.0231)	(0.0233)	(0.0245)	(0.0425)	(0.0428)	(0.0434)	(0.0202)	(0.0203)	(0.0207)	(0.0171)	(0.0172)	(0.0178)	(0.0160)	(0.0160)	(0.0166)	(0.0131)	(0.0131)	(0.0140)	(0.0118)	(0.0119)	(0.0124)	(0.00352)	(0.00352)	(0.00352)	(0.00561)	(0.00561)	(0.00561)	(0.00432)	(0.00433)	(0.00433)	(0.00361)	(0.00361)	(0.00361)	(0.00449)	(0.00448)	(0.00448)	(0.00432)	(0.00432)	(0.00433)	(0.00217)	(0.00218)	(0.00218)	(0.00446)	(0.00446)	(0.00446)	(0.00332)	(0.00332)	(0.00333)	(0.00268)	(0.00268)	(0.00268)	(0.00336)	(0.00336)	(0.00336)	(0.00316)	(0.00316)	(0.00316)
agemay	0.00637	0.0110	0.0476***	0.0391***	0.0459***	0.0815***	0.0701***	0.0785***	0.117***	0.0384***	0.0432***	0.0797***	0.0522***	0.0592***	0.0977***	0.0427***	0.0457***	0.0930***	0.0117	0.0140	0.0376***	-0.00988	-0.00619	0.00984	0.0250***	0.0275***	0.0478***	-0.0124*	-0.0107	0.00639	-0.00313	0.000102	0.0172**	-0.0137*	-0.0130	0.00326	-0.00585***	-0.00592***	-0.00622***	-0.00653***	-0.00654***	-0.00669***	-0.00850***	-0.00862***	-0.00866***	-0.0133***	-0.0133***	-0.0135***	-0.0134***	-0.0134***	-0.0137***	-0.0119***	-0.0119***	-0.0123***	-0.00222***	-0.00225***	-0.00240***	-0.00327***	-0.00327***	-0.00334***	-0.00443***	-0.00447***	-0.00446***	-0.00585***	-0.00580***	-0.00585***	-0.00724***	-0.00727***	-0.00738***	-0.00719***	-0.00720***	-0.00738***
	(0.0134)	(0.0134)	(0.0135)	(0.0102)	(0.0102)	(0.0104)	(0.00937)	(0.00939)	(0.00973)	(0.0108)	(0.0109)	(0.0113)	(0.0121)	(0.0122)	(0.0127)	(0.0153)	(0.0154)	(0.0160)	(0.0125)	(0.0125)	(0.0125)	(0.00915)	(0.00914)	(0.00927)	(0.00776)	(0.00776)	(0.00803)	(0.00755)	(0.00757)	(0.00777)	(0.00736)	(0.00741)	(0.00756)	(0.00823)	(0.00824)	(0.00846)	(0.00142)	(0.00142)	(0.00142)	(0.000994)	(0.000992)	(0.000992)	(0.00114)	(0.00114)	(0.00114)	(0.00173)	(0.00173)	(0.00173)	(0.00198)	(0.00198)	(0.00197)	(0.00254)	(0.00254)	(0.00253)	(0.000498)	(0.000497)	(0.000499)	(0.000537)	(0.000535)	(0.000531)	(0.000749)	(0.000746)	(0.000746)	(0.000942)	(0.000940)	(0.000933)	(0.00132)	(0.00132)	(0.00131)	(0.00183)	(0.00183)	(0.00182)
magesq	-1.70e-05	-5.89e-05	-0.000573***	-0.000353**	-0.000416***	-0.000867***	-0.000630***	-0.000698***	-0.00118***	-7.76e-05	-9.66e-05	-0.000543***	-0.000168	-0.000215	-0.000660***	-4.43e-05	-5.05e-05	-0.000622***	-0.000109	-0.000132	-0.000434***	0.000189	0.000153	-5.25e-05	-0.000248**	-0.000268***	-0.000529***	0.000254**	0.000247**	4.17e-05	0.000146	0.000123	-7.80e-05	0.000294***	0.000298***	0.000104	6.54e-05***	6.60e-05***	7.02e-05***	7.12e-05***	7.14e-05***	7.36e-05***	9.27e-05***	9.37e-05***	9.43e-05***	0.000147***	0.000147***	0.000149***	0.000141***	0.000141***	0.000144***	0.000117***	0.000117***	0.000122***	2.10e-05***	2.12e-05***	2.34e-05***	3.35e-05***	3.37e-05***	3.46e-05***	4.64e-05***	4.67e-05***	4.67e-05***	6.00e-05***	5.99e-05***	6.05e-05***	7.73e-05***	7.76e-05***	7.89e-05***	6.97e-05***	6.98e-05***	7.20e-05***
	(0.000182)	(0.000182)	(0.000184)	(0.000137)	(0.000137)	(0.000140)	(0.000129)	(0.000130)	(0.000135)	(0.000145)	(0.000146)	(0.000152)	(0.000160)	(0.000161)	(0.000168)	(0.000196)	(0.000197)	(0.000205)	(0.000157)	(0.000157)	(0.000158)	(0.000117)	(0.000117)	(0.000118)	(0.000101)	(0.000101)	(0.000105)	(9.90e-05)	(9.92e-05)	(0.000102)	(9.53e-05)	(9.61e-05)	(9.83e-05)	(0.000104)	(0.000105)	(0.000107)	(1.79e-05)	(1.79e-05)	(1.80e-05)	(1.28e-05)	(1.28e-05)	(1.28e-05)	(1.50e-05)	(1.50e-05)	(1.50e-05)	(2.23e-05)	(2.23e-05)	(2.23e-05)	(2.52e-05)	(2.52e-05)	(2.51e-05)	(3.17e-05)	(3.17e-05)	(3.16e-05)	(6.52e-06)	(6.51e-06)	(6.51e-06)	(7.16e-06)	(7.15e-06)	(7.10e-06)	(1.01e-05)	(1.01e-05)	(1.01e-05)	(1.23e-05)	(1.23e-05)	(1.22e-05)	(1.70e-05)	(1.69e-05)	(1.69e-05)	(2.32e-05)	(2.31e-05)	(2.31e-05)
agefirstbirth	-0.00171	-0.00234	0.00854***	-0.00275	-0.00402*	0.00968***	-0.00703***	-0.00930***	0.00243	-0.00731***	-0.00973***	-0.00265	-0.0138***	-0.0169***	-0.0139***	-0.0163***	-0.0192***	-0.0164***	0.000878	0.000667	0.00522***	0.00139	0.000889	0.00659***	5.87e-05	-0.000654	0.00411***	-0.000140	-0.00103	0.00108	-0.00310***	-0.00449***	-0.00321***	-0.00659***	-0.00760***	-0.00622***	0.00124***	0.00126***	0.00119***	0.00105***	0.00104***	0.00101***	0.00136***	0.00140***	0.00140***	0.00192***	0.00190***	0.00189***	0.00225***	0.00225***	0.00224***	0.00168***	0.00172***	0.00172***	0.000783***	0.000788***	0.000750***	0.000662***	0.000657***	0.000639***	0.000846***	0.000857***	0.000871***	0.00137***	0.00134***	0.00133***	0.00135***	0.00136***	0.00137***	0.00139***	0.00140***	0.00140***
	(0.00293)	(0.00294)	(0.00299)	(0.00222)	(0.00222)	(0.00216)	(0.00187)	(0.00188)	(0.00195)	(0.00194)	(0.00195)	(0.00205)	(0.00207)	(0.00208)	(0.00219)	(0.00227)	(0.00227)	(0.00236)	(0.00190)	(0.00190)	(0.00196)	(0.00124)	(0.00124)	(0.00124)	(0.00112)	(0.00112)	(0.00115)	(0.00115)	(0.00115)	(0.00119)	(0.00112)	(0.00112)	(0.00117)	(0.00114)	(0.00114)	(0.00117)	(0.000252)	(0.000254)	(0.000248)	(0.000146)	(0.000145)	(0.000143)	(0.000172)	(0.000171)	(0.000169)	(0.000221)	(0.000219)	(0.000216)	(0.000290)	(0.000289)	(0.000287)	(0.000337)	(0.000336)	(0.000335)	(0.000145)	(0.000145)	(0.000141)	(9.73e-05)	(9.65e-05)	(9.50e-05)	(0.000123)	(0.000122)	(0.000121)	(0.000157)	(0.000155)	(0.000153)	(0.000202)	(0.000202)	(0.000201)	(0.000247)	(0.000246)	(0.000245)
