	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After	-0.0937**	-0.0934**	-0.105**	-0.0628**	-0.0597**	-0.0602**	-0.0348	-0.0334	-0.0374	-0.0760***	-0.0672***	-0.0851***	-0.0125	-0.00741	-0.00981	-0.0196	-0.0111	-0.00125	0.00318	0.00287	0.00495	-0.0186	-0.0168	-0.0186	-0.00833	-0.00816	-0.00272	-0.0380***	-0.0351**	-0.0395***	0.0110	0.0126	0.0137	-0.0107	-0.00829	-0.00348	0.00680	0.00678	0.00691	0.0233***	0.0232***	0.0233***	0.0211***	0.0211***	0.0211***	0.0242***	0.0241***	0.0242***	0.0187***	0.0186***	0.0187***	0.0171***	0.0170***	0.0169***	0.00468	0.00467	0.00475	0.0168***	0.0168***	0.0168***	0.0148***	0.0148***	0.0148***	0.0209***	0.0209***	0.0210***	0.0166***	0.0166***	0.0166***	0.0176***	0.0175***	0.0174***
	(0.0412)	(0.0416)	(0.0432)	(0.0285)	(0.0285)	(0.0297)	(0.0268)	(0.0269)	(0.0279)	(0.0246)	(0.0245)	(0.0252)	(0.0234)	(0.0236)	(0.0247)	(0.0220)	(0.0221)	(0.0233)	(0.0293)	(0.0294)	(0.0314)	(0.0207)	(0.0208)	(0.0213)	(0.0168)	(0.0168)	(0.0168)	(0.0145)	(0.0145)	(0.0148)	(0.0132)	(0.0133)	(0.0136)	(0.0120)	(0.0120)	(0.0123)	(0.00528)	(0.00529)	(0.00529)	(0.00574)	(0.00574)	(0.00574)	(0.00532)	(0.00532)	(0.00532)	(0.00469)	(0.00469)	(0.00470)	(0.00444)	(0.00443)	(0.00443)	(0.00459)	(0.00459)	(0.00459)	(0.00330)	(0.00330)	(0.00330)	(0.00422)	(0.00422)	(0.00422)	(0.00381)	(0.00380)	(0.00381)	(0.00364)	(0.00365)	(0.00366)	(0.00341)	(0.00341)	(0.00341)	(0.00370)	(0.00370)	(0.00370)
agemay	0.00330	0.00690	0.0407***	0.0499***	0.0537***	0.0847***	0.0412***	0.0469***	0.0806***	0.0291***	0.0353***	0.0723***	0.0413***	0.0499***	0.0794***	0.0138	0.0150	0.0406**	0.0168	0.0190	0.0465***	0.0130	0.0152*	0.0320***	0.0183**	0.0204***	0.0359***	-0.0283***	-0.0256***	-0.00790	-0.00545	-0.00108	0.0137*	-0.0125	-0.0117	-0.00454	-0.00529***	-0.00537***	-0.00559***	-0.00860***	-0.00860***	-0.00872***	-0.0102***	-0.0103***	-0.0105***	-0.0106***	-0.0107***	-0.0108***	-0.0199***	-0.0200***	-0.0202***	-0.0143***	-0.0143***	-0.0145***	-0.00194***	-0.00199***	-0.00209***	-0.00399***	-0.00399***	-0.00406***	-0.00467***	-0.00474***	-0.00480***	-0.00586***	-0.00586***	-0.00595***	-0.0105***	-0.0105***	-0.0106***	-0.00700***	-0.00701***	-0.00714***
	(0.0125)	(0.0124)	(0.0124)	(0.00948)	(0.00953)	(0.00976)	(0.00888)	(0.00889)	(0.00916)	(0.0104)	(0.0104)	(0.0107)	(0.0118)	(0.0118)	(0.0121)	(0.0159)	(0.0159)	(0.0164)	(0.0121)	(0.0121)	(0.0122)	(0.00811)	(0.00811)	(0.00827)	(0.00726)	(0.00729)	(0.00742)	(0.00731)	(0.00732)	(0.00747)	(0.00742)	(0.00745)	(0.00758)	(0.00860)	(0.00863)	(0.00880)	(0.00110)	(0.00109)	(0.00111)	(0.00101)	(0.00101)	(0.00101)	(0.00111)	(0.00111)	(0.00111)	(0.00139)	(0.00139)	(0.00139)	(0.00226)	(0.00226)	(0.00225)	(0.00307)	(0.00307)	(0.00306)	(0.000440)	(0.000442)	(0.000446)	(0.000508)	(0.000509)	(0.000506)	(0.000676)	(0.000677)	(0.000676)	(0.000914)	(0.000915)	(0.000915)	(0.00148)	(0.00148)	(0.00147)	(0.00205)	(0.00205)	(0.00205)
magesq	0.000153	0.000117	-0.000337**	-0.000542***	-0.000568***	-0.000953***	-0.000274**	-0.000316***	-0.000720***	-6.85e-05	-0.000110	-0.000539***	-0.000195	-0.000269*	-0.000607***	0.000114	0.000125	-0.000178	-0.000165	-0.000187	-0.000539***	-0.000112	-0.000134	-0.000344***	-0.000182*	-0.000198**	-0.000392***	0.000444***	0.000422***	0.000213**	0.000151	0.000110	-6.07e-05	0.000202*	0.000201*	0.000118	5.28e-05***	5.36e-05***	5.67e-05***	9.62e-05***	9.64e-05***	9.79e-05***	0.000107***	0.000107***	0.000110***	0.000107***	0.000108***	0.000110***	0.000219***	0.000219***	0.000221***	0.000140***	0.000140***	0.000143***	1.44e-05**	1.49e-05***	1.64e-05***	4.14e-05***	4.15e-05***	4.25e-05***	4.24e-05***	4.32e-05***	4.40e-05***	5.75e-05***	5.75e-05***	5.88e-05***	0.000111***	0.000111***	0.000112***	6.38e-05**	6.38e-05**	6.54e-05**
	(0.000167)	(0.000167)	(0.000167)	(0.000129)	(0.000129)	(0.000133)	(0.000122)	(0.000122)	(0.000126)	(0.000140)	(0.000141)	(0.000145)	(0.000154)	(0.000155)	(0.000159)	(0.000202)	(0.000202)	(0.000209)	(0.000152)	(0.000153)	(0.000154)	(0.000104)	(0.000104)	(0.000107)	(9.45e-05)	(9.48e-05)	(9.69e-05)	(9.56e-05)	(9.59e-05)	(9.79e-05)	(9.56e-05)	(9.61e-05)	(9.79e-05)	(0.000109)	(0.000109)	(0.000111)	(1.33e-05)	(1.33e-05)	(1.35e-05)	(1.33e-05)	(1.33e-05)	(1.33e-05)	(1.44e-05)	(1.45e-05)	(1.45e-05)	(1.79e-05)	(1.79e-05)	(1.79e-05)	(2.86e-05)	(2.86e-05)	(2.85e-05)	(3.80e-05)	(3.80e-05)	(3.79e-05)	(5.65e-06)	(5.65e-06)	(5.67e-06)	(6.90e-06)	(6.92e-06)	(6.88e-06)	(9.17e-06)	(9.17e-06)	(9.15e-06)	(1.20e-05)	(1.20e-05)	(1.20e-05)	(1.88e-05)	(1.88e-05)	(1.87e-05)	(2.55e-05)	(2.55e-05)	(2.55e-05)
agefirstbirth	-0.00674**	-0.00715***	0.00356	-0.00173	-0.00269	0.00910***	-0.00933***	-0.0112***	-0.00246	-0.00749***	-0.00998***	-0.00523**	-0.0122***	-0.0146***	-0.0118***	-0.0101***	-0.0120***	-0.0101***	0.00182	0.00166	0.00729***	-0.000876	-0.00109	0.00398***	-0.00137	-0.00206*	0.00178	-0.00315***	-0.00396***	-0.00183	-0.00378***	-0.00474***	-0.00364***	-0.00307***	-0.00372***	-0.00278**	0.00148***	0.00149***	0.00144***	0.00166***	0.00165***	0.00163***	0.00214***	0.00215***	0.00213***	0.00247***	0.00249***	0.00250***	0.00264***	0.00266***	0.00268***	0.00269***	0.00271***	0.00269***	0.000884***	0.000892***	0.000868***	0.00103***	0.00102***	0.00101***	0.00135***	0.00135***	0.00135***	0.00157***	0.00157***	0.00160***	0.00159***	0.00161***	0.00163***	0.00175***	0.00175***	0.00174***
	(0.00272)	(0.00271)	(0.00274)	(0.00199)	(0.00201)	(0.00199)	(0.00189)	(0.00188)	(0.00193)	(0.00203)	(0.00204)	(0.00211)	(0.00199)	(0.00200)	(0.00207)	(0.00219)	(0.00219)	(0.00227)	(0.00179)	(0.00179)	(0.00183)	(0.00121)	(0.00121)	(0.00122)	(0.00110)	(0.00110)	(0.00113)	(0.00116)	(0.00116)	(0.00118)	(0.00113)	(0.00114)	(0.00116)	(0.00116)	(0.00116)	(0.00118)	(0.000249)	(0.000249)	(0.000245)	(0.000161)	(0.000160)	(0.000156)	(0.000189)	(0.000189)	(0.000186)	(0.000241)	(0.000242)	(0.000241)	(0.000292)	(0.000292)	(0.000290)	(0.000360)	(0.000358)	(0.000356)	(0.000144)	(0.000145)	(0.000143)	(0.000104)	(0.000104)	(0.000101)	(0.000136)	(0.000136)	(0.000134)	(0.000170)	(0.000170)	(0.000171)	(0.000182)	(0.000182)	(0.000181)	(0.000250)	(0.000249)	(0.000247)
