	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After	-0.0742	-0.0809	-0.145	-0.0777	-0.0797	-0.0260	-0.0796**	-0.0788**	-0.0978***	-0.0692**	-0.0532*	-0.0420	-0.0519**	-0.0494**	-0.0610**	-0.0235	-0.0150	0.000916	-0.0825	-0.0817	-0.104	-0.000782	0.000406	0.0256	0.00169	0.00296	0.00135	-0.00536	7.14e-05	0.00503	-0.0212*	-0.0206*	-0.0255**	-0.0242***	-0.0218**	-0.0179*	0.0136	0.0139	0.0143	0.0190**	0.0189**	0.0185**	0.0195***	0.0194***	0.0196***	0.0152***	0.0152***	0.0151***	0.0202***	0.0202***	0.0203***	0.0206***	0.0203***	0.0202***	0.00975	0.00988	0.00995	0.0127**	0.0127**	0.0125**	0.0147***	0.0147***	0.0148***	0.0114***	0.0114***	0.0114***	0.0161***	0.0161***	0.0161***	0.0181***	0.0180***	0.0180***
	(0.108)	(0.114)	(0.124)	(0.0510)	(0.0511)	(0.0526)	(0.0338)	(0.0340)	(0.0374)	(0.0282)	(0.0284)	(0.0304)	(0.0249)	(0.0249)	(0.0262)	(0.0225)	(0.0226)	(0.0239)	(0.0894)	(0.0939)	(0.106)	(0.0368)	(0.0365)	(0.0372)	(0.0221)	(0.0223)	(0.0232)	(0.0157)	(0.0160)	(0.0168)	(0.0121)	(0.0121)	(0.0127)	(0.00935)	(0.00926)	(0.00953)	(0.0153)	(0.0152)	(0.0152)	(0.00876)	(0.00875)	(0.00873)	(0.00600)	(0.00599)	(0.00599)	(0.00477)	(0.00476)	(0.00476)	(0.00503)	(0.00502)	(0.00502)	(0.00492)	(0.00492)	(0.00491)	(0.00887)	(0.00886)	(0.00885)	(0.00596)	(0.00595)	(0.00594)	(0.00399)	(0.00399)	(0.00399)	(0.00321)	(0.00321)	(0.00321)	(0.00365)	(0.00364)	(0.00364)	(0.00373)	(0.00373)	(0.00373)
malec	-0.0720***	-0.0712***	-0.0701***	-0.103***	-0.106***	-0.120***	-0.0745***	-0.0755***	-0.0918***	-0.0320***	-0.0355***	-0.0501***	-0.0170*	-0.0195*	-0.0338***	0.00230	0.00229	1.19e-05	-0.0331**	-0.0335**	-0.0401**	-0.0525***	-0.0551***	-0.0679***	-0.0279***	-0.0285***	-0.0385***	-0.0177***	-0.0192***	-0.0248***	-0.0168***	-0.0181***	-0.0224***	0.00235	0.00153	0.00153	0.00175	0.00175	0.00176	0.00214*	0.00213*	0.00223*	0.00178	0.00177	0.00184	0.000814	0.000816	0.000901	0.00276*	0.00277*	0.00286*	0.00333*	0.00334*	0.00336*	8.07e-05	9.04e-05	9.46e-05	0.00122*	0.00122*	0.00124*	0.00181**	0.00181**	0.00182**	0.00250***	0.00249***	0.00251***	0.00249**	0.00250**	0.00253**	0.00122	0.00121	0.00122
	(0.0263)	(0.0264)	(0.0269)	(0.0153)	(0.0154)	(0.0163)	(0.0121)	(0.0122)	(0.0131)	(0.0114)	(0.0116)	(0.0122)	(0.0103)	(0.0104)	(0.0111)	(0.0109)	(0.0110)	(0.0115)	(0.0168)	(0.0168)	(0.0177)	(0.0107)	(0.0107)	(0.0111)	(0.00766)	(0.00767)	(0.00812)	(0.00628)	(0.00633)	(0.00655)	(0.00524)	(0.00531)	(0.00554)	(0.00488)	(0.00491)	(0.00503)	(0.00131)	(0.00131)	(0.00132)	(0.00114)	(0.00114)	(0.00115)	(0.00122)	(0.00122)	(0.00122)	(0.00150)	(0.00150)	(0.00149)	(0.00162)	(0.00162)	(0.00162)	(0.00192)	(0.00192)	(0.00192)	(0.000750)	(0.000750)	(0.000750)	(0.000714)	(0.000713)	(0.000715)	(0.000776)	(0.000775)	(0.000776)	(0.000914)	(0.000915)	(0.000914)	(0.00104)	(0.00104)	(0.00104)	(0.00128)	(0.00128)	(0.00128)
agemay	0.0412	0.0497*	0.0857***	0.0185	0.0301*	0.0657***	0.0697***	0.0830***	0.132***	0.0529***	0.0607***	0.103***	0.0470***	0.0583***	0.0987***	0.0329**	0.0360**	0.0814***	0.00913	0.0146	0.0402	0.00725	0.0138	0.0327**	0.0109	0.0149	0.0396***	-0.0376***	-0.0336***	-0.0163**	-0.0271***	-0.0219***	-0.00687	-0.0313***	-0.0304***	-0.0189**	-0.00917***	-0.00922***	-0.00956***	-0.00869***	-0.00873***	-0.00896***	-0.0111***	-0.0112***	-0.0114***	-0.0157***	-0.0158***	-0.0161***	-0.0193***	-0.0194***	-0.0197***	-0.0219***	-0.0220***	-0.0223***	-0.00374***	-0.00381***	-0.00396***	-0.00418***	-0.00419***	-0.00426***	-0.00433***	-0.00437***	-0.00442***	-0.00568***	-0.00567***	-0.00580***	-0.0103***	-0.0104***	-0.0105***	-0.0111***	-0.0110***	-0.0111***
	(0.0293)	(0.0294)	(0.0292)	(0.0160)	(0.0162)	(0.0172)	(0.0126)	(0.0126)	(0.0136)	(0.0130)	(0.0133)	(0.0138)	(0.0126)	(0.0127)	(0.0133)	(0.0163)	(0.0164)	(0.0172)	(0.0247)	(0.0248)	(0.0252)	(0.0155)	(0.0154)	(0.0160)	(0.00965)	(0.00964)	(0.0103)	(0.00808)	(0.00815)	(0.00828)	(0.00685)	(0.00695)	(0.00713)	(0.00756)	(0.00757)	(0.00777)	(0.00254)	(0.00253)	(0.00255)	(0.00176)	(0.00176)	(0.00175)	(0.00146)	(0.00146)	(0.00147)	(0.00231)	(0.00231)	(0.00231)	(0.00243)	(0.00243)	(0.00243)	(0.00358)	(0.00358)	(0.00356)	(0.00115)	(0.00117)	(0.00117)	(0.000915)	(0.000916)	(0.000905)	(0.000812)	(0.000814)	(0.000813)	(0.00105)	(0.00104)	(0.00104)	(0.00158)	(0.00158)	(0.00158)	(0.00238)	(0.00238)	(0.00237)
magesq	-0.000172	-0.000258	-0.000731*	0.000276	0.000168	-0.000255	-0.000391**	-0.000513***	-0.00109***	-0.000192	-0.000247	-0.000722***	-7.43e-05	-0.000191	-0.000633***	5.16e-05	2.47e-05	-0.000512**	0.000132	7.46e-05	-0.000214	0.000155	8.41e-05	-0.000161	-7.81e-06	-4.63e-05	-0.000347**	0.000651***	0.000614***	0.000417***	0.000472***	0.000418***	0.000251***	0.000490***	0.000484***	0.000348***	9.26e-05***	9.33e-05***	9.80e-05***	9.31e-05***	9.37e-05***	9.67e-05***	0.000119***	0.000120***	0.000123***	0.000169***	0.000169***	0.000172***	0.000202***	0.000202***	0.000205***	0.000233***	0.000233***	0.000237***	3.32e-05*	3.41e-05**	3.61e-05**	4.40e-05***	4.41e-05***	4.51e-05***	4.30e-05***	4.34e-05***	4.40e-05***	5.23e-05***	5.23e-05***	5.39e-05***	0.000108***	0.000108***	0.000110***	0.000113***	0.000113***	0.000115***
	(0.000431)	(0.000434)	(0.000434)	(0.000234)	(0.000237)	(0.000254)	(0.000177)	(0.000179)	(0.000193)	(0.000177)	(0.000181)	(0.000189)	(0.000166)	(0.000169)	(0.000177)	(0.000207)	(0.000208)	(0.000219)	(0.000333)	(0.000336)	(0.000345)	(0.000211)	(0.000210)	(0.000219)	(0.000130)	(0.000130)	(0.000140)	(0.000109)	(0.000110)	(0.000112)	(9.02e-05)	(9.17e-05)	(9.43e-05)	(9.62e-05)	(9.64e-05)	(9.90e-05)	(3.36e-05)	(3.35e-05)	(3.37e-05)	(2.45e-05)	(2.45e-05)	(2.44e-05)	(2.00e-05)	(2.00e-05)	(2.00e-05)	(3.01e-05)	(3.01e-05)	(3.01e-05)	(3.11e-05)	(3.11e-05)	(3.11e-05)	(4.43e-05)	(4.43e-05)	(4.42e-05)	(1.72e-05)	(1.74e-05)	(1.74e-05)	(1.34e-05)	(1.34e-05)	(1.33e-05)	(1.16e-05)	(1.16e-05)	(1.16e-05)	(1.37e-05)	(1.37e-05)	(1.37e-05)	(2.03e-05)	(2.03e-05)	(2.02e-05)	(2.98e-05)	(2.98e-05)	(2.97e-05)
