	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After	-0.109***	-0.107***	-0.115***	-0.0487**	-0.0459**	-0.0555**	-0.0548**	-0.0545**	-0.0541**	-0.0668***	-0.0591***	-0.0788***	-0.0495**	-0.0445*	-0.0478*	-0.0381*	-0.0261	-0.0275	0.00506	0.00562	0.00667	-0.00611	-0.00377	-0.00757	-0.0147	-0.0146	-0.0124	-0.0247*	-0.0218	-0.0289**	-0.000713	0.000313	0.00289	-0.00217	0.00197	0.00255	0.00543*	0.00540*	0.00546*	0.0189***	0.0188***	0.0189***	0.0181***	0.0181***	0.0181***	0.0177***	0.0177***	0.0178***	0.0168***	0.0166***	0.0167***	0.0152***	0.0150***	0.0151***	0.00259	0.00257	0.00260	0.0162***	0.0162***	0.0162***	0.0147***	0.0146***	0.0146***	0.0163***	0.0164***	0.0164***	0.0151***	0.0150***	0.0151***	0.0140***	0.0139***	0.0139***
	(0.0406)	(0.0407)	(0.0411)	(0.0223)	(0.0224)	(0.0231)	(0.0229)	(0.0230)	(0.0237)	(0.0220)	(0.0220)	(0.0226)	(0.0238)	(0.0239)	(0.0251)	(0.0229)	(0.0231)	(0.0241)	(0.0257)	(0.0257)	(0.0262)	(0.0158)	(0.0158)	(0.0162)	(0.0139)	(0.0139)	(0.0141)	(0.0137)	(0.0137)	(0.0140)	(0.0135)	(0.0136)	(0.0141)	(0.0135)	(0.0136)	(0.0140)	(0.00296)	(0.00296)	(0.00296)	(0.00451)	(0.00451)	(0.00451)	(0.00416)	(0.00416)	(0.00416)	(0.00378)	(0.00379)	(0.00379)	(0.00397)	(0.00397)	(0.00397)	(0.00400)	(0.00400)	(0.00401)	(0.00171)	(0.00171)	(0.00171)	(0.00354)	(0.00353)	(0.00353)	(0.00319)	(0.00319)	(0.00319)	(0.00307)	(0.00308)	(0.00308)	(0.00316)	(0.00316)	(0.00316)	(0.00311)	(0.00310)	(0.00311)
malec	-0.0676***	-0.0683***	-0.0738***	-0.0659***	-0.0661***	-0.0789***	-0.0359***	-0.0362***	-0.0503***	-0.0165**	-0.0182**	-0.0345***	0.0108	0.00983	-0.00359	0.0595***	0.0566***	0.0482***	-0.0199***	-0.0204***	-0.0239***	-0.0197***	-0.0197***	-0.0265***	-0.0119***	-0.0121***	-0.0200***	-0.00438	-0.00528	-0.0139***	0.0106**	0.0103*	0.00389	0.0201***	0.0188***	0.0138**	0.000125	0.000139	0.000196	0.000746	0.000731	0.000772	0.00248***	0.00248***	0.00250***	0.000479	0.000472	0.000532	0.00169	0.00170	0.00173	0.00243*	0.00245*	0.00253*	7.40e-05	7.77e-05	0.000101	0.000250	0.000240	0.000263	0.00162***	0.00161***	0.00162***	0.000178	0.000161	0.000177	0.00171**	0.00172**	0.00171**	0.00118	0.00118	0.00122
	(0.00847)	(0.00848)	(0.00864)	(0.00706)	(0.00706)	(0.00722)	(0.00699)	(0.00701)	(0.00724)	(0.00814)	(0.00816)	(0.00841)	(0.00916)	(0.00919)	(0.00950)	(0.0108)	(0.0108)	(0.0111)	(0.00542)	(0.00543)	(0.00554)	(0.00424)	(0.00424)	(0.00433)	(0.00434)	(0.00435)	(0.00447)	(0.00488)	(0.00489)	(0.00501)	(0.00529)	(0.00530)	(0.00544)	(0.00604)	(0.00606)	(0.00620)	(0.000418)	(0.000418)	(0.000416)	(0.000489)	(0.000489)	(0.000489)	(0.000702)	(0.000702)	(0.000702)	(0.000916)	(0.000918)	(0.000918)	(0.00118)	(0.00118)	(0.00118)	(0.00147)	(0.00147)	(0.00147)	(0.000273)	(0.000273)	(0.000273)	(0.000352)	(0.000352)	(0.000352)	(0.000522)	(0.000521)	(0.000522)	(0.000666)	(0.000667)	(0.000667)	(0.000845)	(0.000845)	(0.000845)	(0.00105)	(0.00105)	(0.00105)
agemay	-0.0126	-0.00918	0.0253***	0.0316***	0.0362***	0.0675***	0.0328***	0.0382***	0.0699***	0.0126	0.0168*	0.0479***	0.0369***	0.0432***	0.0717***	0.0218	0.0230	0.0500***	0.0120	0.0140	0.0382***	-0.00357	-0.00112	0.0142**	0.0192***	0.0211***	0.0366***	-0.0219***	-0.0200***	-0.00399	0.00197	0.00528	0.0202***	-0.00677	-0.00594	0.00485	-0.00502***	-0.00510***	-0.00535***	-0.00735***	-0.00734***	-0.00745***	-0.00863***	-0.00874***	-0.00880***	-0.0101***	-0.0101***	-0.0102***	-0.0139***	-0.0140***	-0.0141***	-0.00664***	-0.00669***	-0.00698***	-0.00173***	-0.00176***	-0.00189***	-0.00358***	-0.00358***	-0.00365***	-0.00470***	-0.00478***	-0.00479***	-0.00586***	-0.00582***	-0.00585***	-0.00744***	-0.00751***	-0.00755***	-0.00437***	-0.00440***	-0.00457***
	(0.00967)	(0.00964)	(0.00969)	(0.00784)	(0.00786)	(0.00800)	(0.00753)	(0.00753)	(0.00771)	(0.00920)	(0.00921)	(0.00949)	(0.0114)	(0.0114)	(0.0117)	(0.0152)	(0.0153)	(0.0156)	(0.00935)	(0.00935)	(0.00940)	(0.00665)	(0.00665)	(0.00675)	(0.00635)	(0.00637)	(0.00649)	(0.00678)	(0.00679)	(0.00695)	(0.00735)	(0.00737)	(0.00748)	(0.00860)	(0.00861)	(0.00882)	(0.000973)	(0.000973)	(0.000980)	(0.000795)	(0.000793)	(0.000793)	(0.000958)	(0.000958)	(0.000958)	(0.00122)	(0.00122)	(0.00121)	(0.00189)	(0.00189)	(0.00188)	(0.00220)	(0.00220)	(0.00220)	(0.000337)	(0.000336)	(0.000338)	(0.000417)	(0.000416)	(0.000414)	(0.000637)	(0.000635)	(0.000636)	(0.000832)	(0.000831)	(0.000828)	(0.00126)	(0.00125)	(0.00125)	(0.00161)	(0.00161)	(0.00160)
magesq	0.000255**	0.000221*	-0.000249*	-0.000358***	-0.000396***	-0.000789***	-0.000257**	-0.000298***	-0.000687***	0.000115	9.47e-05	-0.000281**	-0.000148	-0.000185	-0.000526***	5.32e-05	7.60e-05	-0.000253	-0.000132	-0.000152	-0.000462***	7.08e-05	4.79e-05	-0.000145*	-0.000207**	-0.000221***	-0.000421***	0.000329***	0.000319***	0.000124	4.76e-05	2.16e-05	-0.000159*	0.000151	0.000154	2.48e-05	5.41e-05***	5.48e-05***	5.84e-05***	8.20e-05***	8.21e-05***	8.35e-05***	9.13e-05***	9.24e-05***	9.32e-05***	0.000108***	0.000108***	0.000109***	0.000155***	0.000155***	0.000157***	5.37e-05**	5.41e-05**	5.77e-05**	1.43e-05***	1.46e-05***	1.64e-05***	3.70e-05***	3.71e-05***	3.81e-05***	4.55e-05***	4.64e-05***	4.66e-05***	6.10e-05***	6.08e-05***	6.13e-05***	8.02e-05***	8.06e-05***	8.13e-05***	3.50e-05*	3.53e-05*	3.74e-05*
	(0.000129)	(0.000129)	(0.000130)	(0.000104)	(0.000104)	(0.000106)	(0.000102)	(0.000103)	(0.000105)	(0.000123)	(0.000123)	(0.000127)	(0.000149)	(0.000150)	(0.000154)	(0.000195)	(0.000196)	(0.000200)	(0.000117)	(0.000117)	(0.000117)	(8.44e-05)	(8.44e-05)	(8.56e-05)	(8.14e-05)	(8.17e-05)	(8.34e-05)	(8.73e-05)	(8.76e-05)	(8.97e-05)	(9.42e-05)	(9.46e-05)	(9.59e-05)	(0.000109)	(0.000109)	(0.000111)	(1.21e-05)	(1.21e-05)	(1.22e-05)	(1.02e-05)	(1.02e-05)	(1.02e-05)	(1.24e-05)	(1.24e-05)	(1.24e-05)	(1.56e-05)	(1.56e-05)	(1.56e-05)	(2.38e-05)	(2.38e-05)	(2.37e-05)	(2.74e-05)	(2.74e-05)	(2.73e-05)	(4.22e-06)	(4.20e-06)	(4.22e-06)	(5.49e-06)	(5.49e-06)	(5.47e-06)	(8.45e-06)	(8.44e-06)	(8.45e-06)	(1.08e-05)	(1.08e-05)	(1.08e-05)	(1.60e-05)	(1.60e-05)	(1.59e-05)	(2.01e-05)	(2.02e-05)	(2.01e-05)
