	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After_region													-0.0628	-0.0645	-0.0465	0.00976	0.0117	0.0253	0.0121	0.0121	0.0120	0.0119*	0.0119*	0.0119*	-0.0988***	-0.0911***	-0.122***	-0.0367*	-0.0332*	-0.0394**	0.00741*	0.00727*	0.00751*	0.00592**	0.00582*	0.00590*	-0.0858***	-0.0756***	-0.111***	-0.0365**	-0.0325**	-0.0435***	0.00943***	0.00921**	0.00950***	0.0111***	0.0110***	0.0112***	-0.127***	-0.126***	-0.189***	0.00707	0.00713	-0.0127	0.0165***	0.0165***	0.0169***	0.0125***	0.0125***	0.0126***	-0.0848***	-0.0785***	-0.137***	-0.0324***	-0.0307***	-0.0471***	0.0148***	0.0146***	0.0151***	0.0141***	0.0139***	0.0142***
													(0.0438)	(0.0445)	(0.0485)	(0.0281)	(0.0279)	(0.0287)	(0.00883)	(0.00883)	(0.00884)	(0.00684)	(0.00684)	(0.00685)	(0.0352)	(0.0351)	(0.0370)	(0.0194)	(0.0192)	(0.0197)	(0.00404)	(0.00404)	(0.00404)	(0.00302)	(0.00302)	(0.00302)	(0.0272)	(0.0272)	(0.0280)	(0.0163)	(0.0162)	(0.0164)	(0.00359)	(0.00359)	(0.00360)	(0.00299)	(0.00300)	(0.00300)	(0.0274)	(0.0277)	(0.0291)	(0.0132)	(0.0133)	(0.0137)	(0.00435)	(0.00435)	(0.00434)	(0.00318)	(0.00318)	(0.00318)	(0.0209)	(0.0210)	(0.0220)	(0.0108)	(0.0108)	(0.0111)	(0.00388)	(0.00388)	(0.00387)	(0.00298)	(0.00298)	(0.00298)
malec	-0.0682***	-0.0691***	-0.0748***	-0.0208***	-0.0214***	-0.0256***	0.000803	0.000813	0.000874*	-4.90e-06	-1.29e-06	2.02e-05	-0.0657***	-0.0666***	-0.0783***	-0.0203***	-0.0209***	-0.0274***	0.00136**	0.00135**	0.00143**	0.00104***	0.00103***	0.00105***	-0.0571***	-0.0575***	-0.0723***	-0.0210***	-0.0210***	-0.0295***	0.00325***	0.00324***	0.00333***	0.00265***	0.00264***	0.00265***	-0.0222***	-0.0245***	-0.0372***	-0.0149***	-0.0160***	-0.0216***	0.000763	0.000783	0.000872	0.00138**	0.00139**	0.00141**	-0.00752	-0.00851	-0.0236***	-0.0150***	-0.0152***	-0.0202***	0.00313**	0.00313**	0.00319**	0.00302***	0.00302***	0.00302***	0.00628	0.00529	-0.000689	-0.00124	-0.00221	-0.00513	0.00323*	0.00324*	0.00329**	0.00166	0.00165	0.00166
	(0.00744)	(0.00745)	(0.00763)	(0.00463)	(0.00463)	(0.00476)	(0.000501)	(0.000501)	(0.000501)	(0.000265)	(0.000265)	(0.000265)	(0.00660)	(0.00661)	(0.00682)	(0.00421)	(0.00422)	(0.00432)	(0.000635)	(0.000635)	(0.000639)	(0.000383)	(0.000383)	(0.000384)	(0.00695)	(0.00697)	(0.00729)	(0.00443)	(0.00443)	(0.00459)	(0.000819)	(0.000819)	(0.000819)	(0.000535)	(0.000535)	(0.000535)	(0.00767)	(0.00769)	(0.00799)	(0.00454)	(0.00455)	(0.00466)	(0.00115)	(0.00116)	(0.00116)	(0.000695)	(0.000696)	(0.000696)	(0.00865)	(0.00869)	(0.00912)	(0.00485)	(0.00487)	(0.00502)	(0.00136)	(0.00136)	(0.00136)	(0.000905)	(0.000905)	(0.000904)	(0.00994)	(0.00998)	(0.0104)	(0.00515)	(0.00517)	(0.00530)	(0.00166)	(0.00165)	(0.00165)	(0.00112)	(0.00112)	(0.00112)
agemay	0.0379***	0.0428***	0.0829***	0.0208***	0.0231***	0.0471***	-0.0152***	-0.0153***	-0.0156***	-0.00382***	-0.00385***	-0.00399***	0.0673***	0.0735***	0.109***	0.00441	0.00730	0.0234***	-0.0145***	-0.0146***	-0.0148***	-0.00553***	-0.00554***	-0.00561***	0.0611***	0.0695***	0.107***	0.0108*	0.0134**	0.0321***	-0.0156***	-0.0157***	-0.0160***	-0.00711***	-0.00716***	-0.00723***	0.0444***	0.0496***	0.0872***	-0.0165***	-0.0142**	0.00166	-0.0191***	-0.0192***	-0.0195***	-0.00930***	-0.00932***	-0.00943***	0.0474***	0.0557***	0.0864***	-0.00291	0.00107	0.0141**	-0.0226***	-0.0226***	-0.0228***	-0.0128***	-0.0128***	-0.0128***	0.0270*	0.0299**	0.0601***	-0.0118	-0.0111	-0.00198	-0.0170***	-0.0170***	-0.0173***	-0.00942***	-0.00943***	-0.00957***
	(0.00794)	(0.00794)	(0.00804)	(0.00729)	(0.00730)	(0.00738)	(0.000995)	(0.000995)	(0.00100)	(0.000312)	(0.000313)	(0.000315)	(0.00675)	(0.00678)	(0.00700)	(0.00614)	(0.00615)	(0.00628)	(0.000968)	(0.000969)	(0.000962)	(0.000459)	(0.000459)	(0.000454)	(0.00724)	(0.00725)	(0.00752)	(0.00587)	(0.00588)	(0.00608)	(0.00106)	(0.00106)	(0.00106)	(0.000640)	(0.000638)	(0.000636)	(0.00848)	(0.00851)	(0.00887)	(0.00593)	(0.00594)	(0.00610)	(0.00164)	(0.00165)	(0.00164)	(0.000881)	(0.000882)	(0.000880)	(0.0104)	(0.0104)	(0.0108)	(0.00627)	(0.00632)	(0.00647)	(0.00212)	(0.00212)	(0.00211)	(0.00139)	(0.00139)	(0.00139)	(0.0143)	(0.0144)	(0.0150)	(0.00730)	(0.00733)	(0.00752)	(0.00289)	(0.00289)	(0.00288)	(0.00195)	(0.00195)	(0.00194)
magesq	-0.000277**	-0.000323***	-0.000872***	-0.000216**	-0.000238**	-0.000548***	0.000165***	0.000166***	0.000170***	2.98e-05***	3.01e-05***	3.20e-05***	-0.000642***	-0.000689***	-0.00113***	5.47e-06	-1.97e-05	-0.000223***	0.000161***	0.000161***	0.000164***	5.65e-05***	5.66e-05***	5.75e-05***	-0.000460***	-0.000531***	-0.000984***	-6.94e-05	-9.18e-05	-0.000327***	0.000168***	0.000169***	0.000173***	7.16e-05***	7.23e-05***	7.32e-05***	-0.000186	-0.000213*	-0.000653***	0.000311***	0.000296***	0.000111	0.000209***	0.000210***	0.000214***	9.76e-05***	9.78e-05***	9.92e-05***	-0.000193	-0.000257*	-0.000587***	0.000132	9.75e-05	-4.61e-05	0.000241***	0.000241***	0.000243***	0.000137***	0.000137***	0.000138***	2.36e-05	1.62e-05	-0.000347*	0.000225**	0.000227**	0.000119	0.000174***	0.000174***	0.000177***	9.51e-05***	9.51e-05***	9.68e-05***
	(0.000110)	(0.000110)	(0.000112)	(9.30e-05)	(9.32e-05)	(9.43e-05)	(1.26e-05)	(1.26e-05)	(1.27e-05)	(4.26e-06)	(4.26e-06)	(4.27e-06)	(9.31e-05)	(9.34e-05)	(9.67e-05)	(7.97e-05)	(7.99e-05)	(8.16e-05)	(1.32e-05)	(1.33e-05)	(1.31e-05)	(6.54e-06)	(6.56e-06)	(6.47e-06)	(0.000101)	(0.000101)	(0.000105)	(7.69e-05)	(7.71e-05)	(7.99e-05)	(1.40e-05)	(1.40e-05)	(1.40e-05)	(8.69e-06)	(8.67e-06)	(8.64e-06)	(0.000115)	(0.000115)	(0.000121)	(7.82e-05)	(7.85e-05)	(8.07e-05)	(2.13e-05)	(2.13e-05)	(2.12e-05)	(1.17e-05)	(1.17e-05)	(1.16e-05)	(0.000137)	(0.000139)	(0.000144)	(8.17e-05)	(8.24e-05)	(8.46e-05)	(2.69e-05)	(2.68e-05)	(2.68e-05)	(1.77e-05)	(1.77e-05)	(1.77e-05)	(0.000183)	(0.000184)	(0.000193)	(9.29e-05)	(9.32e-05)	(9.58e-05)	(3.60e-05)	(3.60e-05)	(3.59e-05)	(2.45e-05)	(2.45e-05)	(2.44e-05)
agefirstbirth	-0.00610***	-0.00674***	0.00507***	0.000753	0.000560	0.00569***	0.00341***	0.00342***	0.00337***	0.00167***	0.00168***	0.00165***	-0.00133	-0.00288*	0.0100***	0.00160*	0.00114	0.00663***	0.00279***	0.00279***	0.00273***	0.00142***	0.00142***	0.00140***	-0.00794***	-0.0103***	0.000117	0.000628	-0.000110	0.00424***	0.00264***	0.00266***	0.00263***	0.00155***	0.00156***	0.00156***	-0.0100***	-0.0124***	-0.00500***	-0.00205**	-0.00288***	-0.000249	0.00292***	0.00293***	0.00290***	0.00185***	0.00185***	0.00185***	-0.00941***	-0.0120***	-0.00812***	-0.00195*	-0.00306***	-0.00152	0.00284***	0.00285***	0.00285***	0.00163***	0.00164***	0.00166***	-0.0135***	-0.0156***	-0.0110***	-0.00484***	-0.00559***	-0.00355***	0.00304***	0.00305***	0.00300***	0.00214***	0.00214***	0.00212***
	(0.00183)	(0.00183)	(0.00187)	(0.00113)	(0.00113)	(0.00117)	(0.000228)	(0.000229)	(0.000225)	(0.000117)	(0.000117)	(0.000116)	(0.00151)	(0.00152)	(0.00153)	(0.000918)	(0.000919)	(0.000925)	(0.000178)	(0.000177)	(0.000171)	(0.000105)	(0.000105)	(0.000101)	(0.00154)	(0.00154)	(0.00159)	(0.000911)	(0.000913)	(0.000942)	(0.000171)	(0.000170)	(0.000168)	(0.000114)	(0.000113)	(0.000112)	(0.00164)	(0.00164)	(0.00169)	(0.000945)	(0.000944)	(0.000967)	(0.000228)	(0.000232)	(0.000230)	(0.000149)	(0.000149)	(0.000148)	(0.00182)	(0.00183)	(0.00192)	(0.00102)	(0.00102)	(0.00105)	(0.000274)	(0.000274)	(0.000272)	(0.000173)	(0.000174)	(0.000173)	(0.00202)	(0.00202)	(0.00210)	(0.00102)	(0.00102)	(0.00105)	(0.000357)	(0.000356)	(0.000354)	(0.000259)	(0.000258)	(0.000256)
educf	0.0762***	0.0800***		0.0347***	0.0363***		-0.00104***	-0.00108***		-0.000452***	-0.000470***		0.0815***	0.0856***		0.0330***	0.0347***		-0.000904***	-0.000902***		-0.000254**	-0.000255**		0.101***	0.106***		0.0362***	0.0382***		-0.000999***	-0.00106***		-0.000325*	-0.000353**		0.105***	0.110***		0.0301***	0.0319***		-0.00123***	-0.00126***		-0.000639**	-0.000648**		0.110***	0.116***		0.0326***	0.0349***		-0.00131***	-0.00132***		-0.000618**	-0.000643**		0.118***	0.124***		0.0274***	0.0296***		-0.000996*	-0.00107*		-0.000533	-0.000575	
	(0.00258)	(0.00256)		(0.00167)	(0.00166)		(0.000181)	(0.000179)		(8.93e-05)	(8.81e-05)		(0.00215)	(0.00214)		(0.00140)	(0.00140)		(0.000211)	(0.000211)		(0.000119)	(0.000119)		(0.00245)	(0.00244)		(0.00154)	(0.00152)		(0.000258)	(0.000256)		(0.000174)	(0.000172)		(0.00289)	(0.00288)		(0.00166)	(0.00165)		(0.000380)	(0.000373)		(0.000256)	(0.000253)		(0.00342)	(0.00342)		(0.00195)	(0.00195)		(0.000446)	(0.000444)		(0.000297)	(0.000295)		(0.00409)	(0.00408)		(0.00216)	(0.00215)		(0.000577)	(0.000576)		(0.000411)	(0.000411)	
educfyrs_sq	-0.00236***	-0.00246***		-0.00117***	-0.00122***		5.22e-05***	5.29e-05***		2.12e-05***	2.13e-05***		-0.00208***	-0.00217***		-0.00101***	-0.00105***		4.31e-05***	4.21e-05***		1.05e-05	1.02e-05		-0.00284***	-0.00295***		-0.00106***	-0.00111***		5.73e-05***	5.73e-05***		2.36e-05**	2.32e-05*		-0.00280***	-0.00284***		-0.000512***	-0.000547***		6.45e-05**	6.31e-05**		4.08e-05**	4.04e-05*		-0.00278***	-0.00281***		-0.000717***	-0.000753***		8.00e-05**	8.02e-05**		5.40e-05**	5.40e-05**		-0.00333***	-0.00345***		-0.000236	-0.000297		2.05e-05	2.09e-05		1.52e-05	1.48e-05	
	(0.000155)	(0.000154)		(9.41e-05)	(9.37e-05)		(9.66e-06)	(9.65e-06)		(4.95e-06)	(4.95e-06)		(0.000147)	(0.000147)		(9.17e-05)	(9.18e-05)		(1.21e-05)	(1.21e-05)		(7.22e-06)	(7.19e-06)		(0.000184)	(0.000184)		(0.000110)	(0.000110)		(1.75e-05)	(1.75e-05)		(1.20e-05)	(1.20e-05)		(0.000228)	(0.000228)		(0.000130)	(0.000130)		(2.94e-05)	(2.91e-05)		(2.08e-05)	(2.08e-05)		(0.000287)	(0.000288)		(0.000169)	(0.000170)		(3.13e-05)	(3.13e-05)		(2.15e-05)	(2.15e-05)		(0.000355)	(0.000355)		(0.000197)	(0.000197)		(4.65e-05)	(4.65e-05)		(3.46e-05)	(3.47e-05)	
height	0.00417***			0.00143***			-8.86e-05*			-4.47e-05*			0.00442***			0.00209***			-9.54e-05*			-3.58e-05			0.00586***			0.00119***			-0.000228***			-0.000149***			0.00442***			0.00123***			-0.000222*			-6.90e-05			0.00537***			0.00179***			1.92e-05			-5.10e-05			0.00392***			0.00114***			-0.000234*			-0.000253***		
	(0.000637)			(0.000393)			(4.61e-05)			(2.46e-05)			(0.000547)			(0.000357)			(5.70e-05)			(3.35e-05)			(0.000570)			(0.000374)			(6.59e-05)			(4.28e-05)			(0.000639)			(0.000375)			(0.000120)			(5.96e-05)			(0.000730)			(0.000400)			(0.000114)			(7.69e-05)			(0.000817)			(0.000420)			(0.000133)			(9.02e-05)		
bmi	0.00839***			0.00313***			-9.43e-05**			-4.62e-05*			0.0122***			0.00440***			2.92e-05			1.23e-05			0.0162***			0.00512***			-0.000101			-2.04e-05			0.0172***			0.00562***			-2.07e-05			5.74e-07			0.0210***			0.00724***			-3.75e-05			-7.60e-05			0.0179***			0.00555***			-0.000120			5.24e-06		
	(0.000851)			(0.000508)			(4.61e-05)			(2.69e-05)			(0.000795)			(0.000441)			(6.06e-05)			(3.88e-05)			(0.000831)			(0.000478)			(7.58e-05)			(5.47e-05)			(0.000930)			(0.000518)			(0.000156)			(7.75e-05)			(0.00107)			(0.000607)			(0.000144)			(1.00e-04)			(0.00121)			(0.000642)			(0.000178)			(0.000128)		
