	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After_region													-0.115	-0.114	-0.112	-0.00893	-0.00750	-0.0119	-0.00664***	-0.00668***	-0.00656***	-0.00482***	-0.00482***	-0.00476***	-0.0175	-0.0150	-0.0205	-0.0357	-0.0356	-0.0380	-0.00210	-0.00227	-0.00219	-0.00311	-0.00327	-0.00324	-0.0597	-0.0493	-0.0329	-0.0265	-0.0224	-0.0139	-0.00655**	-0.00673**	-0.00675**	-0.000535	-0.000564	-0.000516	-0.0814**	-0.0694*	-0.109***	-0.0188	-0.0143	-0.0265	-0.00170	-0.00176	-0.00144	-0.000499	-0.000592	-0.000456	-0.0741**	-0.0657**	-0.104***	-0.00715	-0.00485	-0.0149	-0.00254	-0.00276	-0.00243	-0.00222	-0.00240	-0.00229
													(0.0961)	(0.0980)	(0.106)	(0.0536)	(0.0539)	(0.0540)	(0.000869)	(0.000856)	(0.000837)	(0.000507)	(0.000504)	(0.000495)	(0.0437)	(0.0436)	(0.0452)	(0.0261)	(0.0260)	(0.0264)	(0.00473)	(0.00473)	(0.00474)	(0.00329)	(0.00329)	(0.00329)	(0.0412)	(0.0412)	(0.0441)	(0.0216)	(0.0216)	(0.0227)	(0.00299)	(0.00299)	(0.00299)	(0.00307)	(0.00308)	(0.00308)	(0.0355)	(0.0357)	(0.0371)	(0.0180)	(0.0180)	(0.0182)	(0.00414)	(0.00414)	(0.00414)	(0.00332)	(0.00332)	(0.00332)	(0.0314)	(0.0316)	(0.0327)	(0.0154)	(0.0154)	(0.0156)	(0.00399)	(0.00399)	(0.00400)	(0.00301)	(0.00301)	(0.00301)
malec	-0.0672***	-0.0679***	-0.0730***	-0.0217***	-0.0221***	-0.0263***	0.000337	0.000349	0.000397	5.53e-05	5.75e-05	7.61e-05	-0.0780***	-0.0789***	-0.0907***	-0.0239***	-0.0245***	-0.0309***	0.00129**	0.00127**	0.00131**	0.000858**	0.000851**	0.000869**	-0.0650***	-0.0654***	-0.0797***	-0.0211***	-0.0211***	-0.0294***	0.00328***	0.00327***	0.00332***	0.00253***	0.00252***	0.00252***	-0.0304***	-0.0327***	-0.0469***	-0.0145***	-0.0156***	-0.0222***	0.000674	0.000698	0.000776	0.00114*	0.00113*	0.00116*	-0.0175*	-0.0186**	-0.0333***	-0.0148***	-0.0149***	-0.0202***	0.00305**	0.00305**	0.00313**	0.00284***	0.00285***	0.00286***	0.000925	-0.000202	-0.00472	-0.00318	-0.00424	-0.00690	0.00224	0.00223	0.00228	0.000631	0.000612	0.000626
	(0.00818)	(0.00819)	(0.00835)	(0.00520)	(0.00520)	(0.00533)	(0.000399)	(0.000399)	(0.000398)	(0.000256)	(0.000256)	(0.000256)	(0.00738)	(0.00738)	(0.00757)	(0.00462)	(0.00462)	(0.00472)	(0.000520)	(0.000519)	(0.000519)	(0.000350)	(0.000349)	(0.000350)	(0.00758)	(0.00760)	(0.00792)	(0.00474)	(0.00475)	(0.00490)	(0.000774)	(0.000773)	(0.000774)	(0.000539)	(0.000539)	(0.000539)	(0.00835)	(0.00838)	(0.00870)	(0.00490)	(0.00491)	(0.00503)	(0.00102)	(0.00102)	(0.00102)	(0.000662)	(0.000663)	(0.000664)	(0.00911)	(0.00916)	(0.00961)	(0.00513)	(0.00515)	(0.00530)	(0.00134)	(0.00134)	(0.00133)	(0.000896)	(0.000896)	(0.000895)	(0.0106)	(0.0107)	(0.0111)	(0.00549)	(0.00551)	(0.00563)	(0.00164)	(0.00164)	(0.00164)	(0.00110)	(0.00110)	(0.00110)
agemay	0.00511	0.00894	0.0439***	0.0132	0.0154*	0.0409***	-0.00562***	-0.00570***	-0.00595***	-0.00207***	-0.00211***	-0.00223***	0.0481***	0.0531***	0.0880***	0.00459	0.00739	0.0236***	-0.00832***	-0.00831***	-0.00844***	-0.00366***	-0.00365***	-0.00372***	0.0582***	0.0658***	0.105***	0.0196***	0.0219***	0.0404***	-0.00895***	-0.00905***	-0.00921***	-0.00425***	-0.00430***	-0.00434***	0.0429***	0.0480***	0.0885***	-0.0173***	-0.0149**	0.00146	-0.0128***	-0.0128***	-0.0131***	-0.00604***	-0.00603***	-0.00613***	0.0486***	0.0566***	0.0890***	-0.000887	0.00283	0.0163**	-0.0192***	-0.0192***	-0.0194***	-0.0100***	-0.0101***	-0.0102***	0.0495***	0.0527***	0.0834***	-0.00911	-0.00816	-0.000146	-0.0109***	-0.0110***	-0.0112***	-0.00535***	-0.00538***	-0.00551***
	(0.00917)	(0.00915)	(0.00915)	(0.00869)	(0.00869)	(0.00875)	(0.000880)	(0.000880)	(0.000889)	(0.000332)	(0.000333)	(0.000336)	(0.00807)	(0.00811)	(0.00830)	(0.00701)	(0.00702)	(0.00716)	(0.000839)	(0.000839)	(0.000837)	(0.000410)	(0.000410)	(0.000409)	(0.00823)	(0.00824)	(0.00853)	(0.00666)	(0.00667)	(0.00687)	(0.000947)	(0.000946)	(0.000946)	(0.000620)	(0.000619)	(0.000618)	(0.00943)	(0.00946)	(0.00983)	(0.00659)	(0.00661)	(0.00677)	(0.00149)	(0.00148)	(0.00148)	(0.000818)	(0.000818)	(0.000814)	(0.0111)	(0.0112)	(0.0116)	(0.00680)	(0.00684)	(0.00700)	(0.00210)	(0.00210)	(0.00209)	(0.00139)	(0.00139)	(0.00138)	(0.0154)	(0.0155)	(0.0161)	(0.00795)	(0.00797)	(0.00815)	(0.00258)	(0.00258)	(0.00257)	(0.00171)	(0.00171)	(0.00171)
magesq	7.21e-05	3.49e-05	-0.000444***	-0.000124	-0.000146	-0.000471***	5.96e-05***	6.03e-05***	6.38e-05***	1.75e-05***	1.79e-05***	1.96e-05***	-0.000471***	-0.000510***	-0.000946***	6.82e-07	-2.48e-05	-0.000230**	9.18e-05***	9.19e-05***	9.36e-05***	3.73e-05***	3.73e-05***	3.82e-05***	-0.000443***	-0.000505***	-0.000976***	-0.000176**	-0.000194**	-0.000428***	9.13e-05***	9.24e-05***	9.44e-05***	3.89e-05***	3.95e-05***	4.01e-05***	-0.000191	-0.000218*	-0.000700***	0.000317***	0.000301***	0.000108	0.000137***	0.000137***	0.000140***	6.12e-05***	6.12e-05***	6.25e-05***	-0.000206	-0.000267*	-0.000621***	0.000107	7.62e-05	-7.31e-05	0.000207***	0.000207***	0.000210***	0.000107***	0.000107***	0.000109***	-0.000248	-0.000261	-0.000630***	0.000195*	0.000193*	9.98e-05	0.000103***	0.000103***	0.000107***	4.67e-05**	4.69e-05**	4.84e-05**
	(0.000124)	(0.000124)	(0.000124)	(0.000109)	(0.000109)	(0.000110)	(1.10e-05)	(1.09e-05)	(1.11e-05)	(4.32e-06)	(4.33e-06)	(4.35e-06)	(0.000110)	(0.000110)	(0.000113)	(9.05e-05)	(9.06e-05)	(9.24e-05)	(1.09e-05)	(1.10e-05)	(1.09e-05)	(5.56e-06)	(5.57e-06)	(5.54e-06)	(0.000114)	(0.000114)	(0.000118)	(8.68e-05)	(8.70e-05)	(8.99e-05)	(1.25e-05)	(1.25e-05)	(1.25e-05)	(8.49e-06)	(8.48e-06)	(8.47e-06)	(0.000127)	(0.000127)	(0.000133)	(8.65e-05)	(8.68e-05)	(8.92e-05)	(1.93e-05)	(1.93e-05)	(1.93e-05)	(1.08e-05)	(1.08e-05)	(1.08e-05)	(0.000147)	(0.000148)	(0.000154)	(8.84e-05)	(8.90e-05)	(9.13e-05)	(2.66e-05)	(2.66e-05)	(2.66e-05)	(1.77e-05)	(1.77e-05)	(1.77e-05)	(0.000198)	(0.000198)	(0.000206)	(0.000101)	(0.000101)	(0.000104)	(3.22e-05)	(3.22e-05)	(3.21e-05)	(2.16e-05)	(2.16e-05)	(2.16e-05)
agefirstbirth	-0.00465**	-0.00512**	0.00577***	0.00137	0.00120	0.00640***	0.00136***	0.00137***	0.00132***	0.000827***	0.000834***	0.000805***	-0.000821	-0.00192	0.0113***	0.00158	0.00119	0.00683***	0.00156***	0.00155***	0.00152***	0.000913***	0.000907***	0.000891***	-0.00845***	-0.0107***	-0.000190	-1.67e-06	-0.000700	0.00364***	0.00195***	0.00197***	0.00195***	0.00119***	0.00119***	0.00119***	-0.00843***	-0.0109***	-0.00384**	-0.00216**	-0.00300***	-0.000528	0.00224***	0.00225***	0.00223***	0.00138***	0.00137***	0.00138***	-0.0107***	-0.0134***	-0.00964***	-0.00200*	-0.00312***	-0.00164	0.00276***	0.00277***	0.00276***	0.00162***	0.00164***	0.00164***	-0.0137***	-0.0156***	-0.0116***	-0.00518***	-0.00588***	-0.00401***	0.00250***	0.00252***	0.00248***	0.00186***	0.00186***	0.00184***
	(0.00200)	(0.00200)	(0.00202)	(0.00131)	(0.00131)	(0.00134)	(0.000178)	(0.000179)	(0.000176)	(0.000103)	(0.000103)	(0.000101)	(0.00169)	(0.00170)	(0.00169)	(0.00102)	(0.00102)	(0.00102)	(0.000136)	(0.000135)	(0.000132)	(8.58e-05)	(8.53e-05)	(8.32e-05)	(0.00169)	(0.00169)	(0.00174)	(0.000982)	(0.000983)	(0.00101)	(0.000170)	(0.000169)	(0.000167)	(0.000119)	(0.000119)	(0.000118)	(0.00180)	(0.00180)	(0.00186)	(0.00102)	(0.00102)	(0.00104)	(0.000210)	(0.000210)	(0.000209)	(0.000142)	(0.000141)	(0.000142)	(0.00194)	(0.00195)	(0.00204)	(0.00108)	(0.00109)	(0.00112)	(0.000278)	(0.000278)	(0.000276)	(0.000177)	(0.000178)	(0.000177)	(0.00220)	(0.00220)	(0.00228)	(0.00110)	(0.00110)	(0.00113)	(0.000357)	(0.000357)	(0.000356)	(0.000258)	(0.000257)	(0.000257)
educf	0.0663***	0.0691***		0.0341***	0.0356***		-0.000698***	-0.000747***		-0.000382***	-0.000402***		0.0734***	0.0765***		0.0321***	0.0336***		-0.000470***	-0.000445**		-0.000245**	-0.000234*		0.0977***	0.103***		0.0372***	0.0391***		-0.000483*	-0.000542**		-0.000178	-0.000204		0.105***	0.110***		0.0298***	0.0316***		-0.000849**	-0.000886**		-0.000576**	-0.000565**		0.109***	0.114***		0.0328***	0.0348***		-0.00113**	-0.00114***		-0.000629**	-0.000664**		0.114***	0.120***		0.0259***	0.0280***		-0.000971*	-0.00108*		-0.000289	-0.000357	
	(0.00292)	(0.00290)		(0.00185)	(0.00184)		(0.000171)	(0.000173)		(0.000106)	(0.000105)		(0.00233)	(0.00232)		(0.00152)	(0.00151)		(0.000177)	(0.000178)		(0.000123)	(0.000123)		(0.00259)	(0.00259)		(0.00161)	(0.00160)		(0.000252)	(0.000251)		(0.000182)	(0.000180)		(0.00309)	(0.00308)		(0.00177)	(0.00176)		(0.000347)	(0.000346)		(0.000239)	(0.000237)		(0.00358)	(0.00358)		(0.00203)	(0.00203)		(0.000442)	(0.000440)		(0.000292)	(0.000291)		(0.00436)	(0.00435)		(0.00227)	(0.00226)		(0.000580)	(0.000580)		(0.000413)	(0.000412)	
educfyrs_sq	-0.00211***	-0.00217***		-0.00118***	-0.00123***		3.29e-05***	3.37e-05***		1.81e-05***	1.80e-05***		-0.00191***	-0.00199***		-0.00104***	-0.00107***		2.34e-05**	2.16e-05**		1.18e-05	1.09e-05		-0.00283***	-0.00293***		-0.00117***	-0.00121***		2.54e-05	2.54e-05		1.41e-05	1.36e-05		-0.00280***	-0.00287***		-0.000462***	-0.000514***		4.30e-05*	4.24e-05*		3.77e-05**	3.71e-05**		-0.00276***	-0.00278***		-0.000758***	-0.000785***		5.56e-05*	5.53e-05*		4.29e-05**	4.28e-05**		-0.00312***	-0.00322***		-0.000177	-0.000229		2.03e-05	2.13e-05		-2.14e-06	-1.66e-06	
	(0.000171)	(0.000171)		(0.000103)	(0.000102)		(8.93e-06)	(9.02e-06)		(5.62e-06)	(5.63e-06)		(0.000156)	(0.000156)		(9.85e-05)	(9.85e-05)		(1.09e-05)	(1.09e-05)		(7.62e-06)	(7.60e-06)		(0.000194)	(0.000194)		(0.000114)	(0.000114)		(1.65e-05)	(1.65e-05)		(1.20e-05)	(1.20e-05)		(0.000243)	(0.000243)		(0.000137)	(0.000137)		(2.57e-05)	(2.57e-05)		(1.82e-05)	(1.82e-05)		(0.000301)	(0.000302)		(0.000177)	(0.000177)		(3.09e-05)	(3.09e-05)		(2.11e-05)	(2.11e-05)		(0.000380)	(0.000381)		(0.000208)	(0.000208)		(4.61e-05)	(4.61e-05)		(3.39e-05)	(3.39e-05)	
height	0.00373***			0.00127***			-8.42e-05**			-6.55e-05**			0.00390***			0.00212***			-8.35e-05*			-4.18e-05			0.00607***			0.00128***			-0.000234***			-0.000163***			0.00450***			0.00114***			-0.000161*			-5.53e-05			0.00576***			0.00180***			-6.42e-05			-8.84e-05			0.00393***			0.00108**			-0.000346**			-0.000296***		
	(0.000701)			(0.000448)			(3.76e-05)			(2.57e-05)			(0.000627)			(0.000400)			(4.33e-05)			(2.89e-05)			(0.000627)			(0.000403)			(6.29e-05)			(4.38e-05)			(0.000693)			(0.000409)			(8.47e-05)			(5.69e-05)			(0.000774)			(0.000425)			(0.000110)			(7.48e-05)			(0.000871)			(0.000451)			(0.000139)			(9.29e-05)		
bmi	0.00582***			0.00285***			-0.000107***			-4.69e-05*			0.00883***			0.00389***			9.53e-05*			5.41e-05			0.0148***			0.00483***			-8.83e-05			-4.19e-06			0.0169***			0.00569***			-7.39e-05			7.46e-05			0.0201***			0.00699***			-9.50e-06			-0.000103			0.0174***			0.00538***			-0.000164			-3.51e-05		
	(0.000919)			(0.000576)			(3.81e-05)			(2.56e-05)			(0.000865)			(0.000484)			(5.72e-05)			(3.90e-05)			(0.000886)			(0.000511)			(7.47e-05)			(5.68e-05)			(0.000988)			(0.000552)			(0.000108)			(7.65e-05)			(0.00113)			(0.000644)			(0.000145)			(9.92e-05)			(0.00128)			(0.000684)			(0.000173)			(0.000122)		
