	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_Twin	-0.0691***	-0.0680***	-0.0629***	0.0127	0.0142	0.0199	0.00769***	0.00765***	0.00760***	0.00789***	0.00787***	0.00786***	-0.0546***	-0.0522***	-0.0609***	-0.00886	-0.00810	-0.0113	0.0133***	0.0132***	0.0132***	0.0103***	0.0102***	0.0102***	-0.0490***	-0.0466***	-0.0577***	-0.0183**	-0.0175**	-0.0215***	0.0188***	0.0187***	0.0188***	0.0155***	0.0155***	0.0155***	-0.0532***	-0.0412***	-0.0479***	-0.0152**	-0.0108*	-0.0145**	0.0139***	0.0138***	0.0139***	0.0114***	0.0114***	0.0114***	-0.0364***	-0.0342***	-0.0344***	-0.00736	-0.00682	-0.00645	0.0206***	0.0205***	0.0205***	0.0159***	0.0159***	0.0159***	-0.0373***	-0.0287***	-0.0291***	-0.00778	-0.00483	-0.00483	0.0147***	0.0144***	0.0144***	0.0140***	0.0138***	0.0138***
	(0.0190)	(0.0191)	(0.0195)	(0.0127)	(0.0128)	(0.0130)	(0.00208)	(0.00208)	(0.00208)	(0.00141)	(0.00141)	(0.00141)	(0.0125)	(0.0126)	(0.0131)	(0.00884)	(0.00889)	(0.00910)	(0.00217)	(0.00217)	(0.00217)	(0.00145)	(0.00145)	(0.00145)	(0.0121)	(0.0121)	(0.0126)	(0.00766)	(0.00764)	(0.00783)	(0.00214)	(0.00214)	(0.00214)	(0.00158)	(0.00158)	(0.00158)	(0.0110)	(0.0111)	(0.0116)	(0.00650)	(0.00651)	(0.00670)	(0.00192)	(0.00192)	(0.00193)	(0.00134)	(0.00134)	(0.00134)	(0.0110)	(0.0111)	(0.0117)	(0.00569)	(0.00575)	(0.00599)	(0.00223)	(0.00223)	(0.00223)	(0.00160)	(0.00160)	(0.00160)	(0.0106)	(0.0107)	(0.0112)	(0.00546)	(0.00547)	(0.00564)	(0.00225)	(0.00225)	(0.00225)	(0.00164)	(0.00163)	(0.00164)
malec	-0.0607***	-0.0616***	-0.0669***	-0.0188***	-0.0194***	-0.0231***	0.00104**	0.00104**	0.00109**	0.000597**	0.000598**	0.000611**	-0.0562***	-0.0568***	-0.0683***	-0.0220***	-0.0223***	-0.0294***	0.00146***	0.00145***	0.00150***	0.000636**	0.000633**	0.000649**	-0.0341***	-0.0349***	-0.0492***	-0.0129***	-0.0134***	-0.0215***	0.00258***	0.00259***	0.00264***	0.00186***	0.00186***	0.00187***	-0.00609	-0.00816	-0.0209***	-0.00922***	-0.0102***	-0.0161***	0.00156**	0.00155**	0.00163**	0.00155***	0.00154***	0.00157***	0.0209***	0.0197***	0.00673	0.00209	0.00168	-0.00401	0.00170*	0.00171*	0.00178*	0.00167***	0.00168***	0.00169***	0.0461***	0.0445***	0.0379***	0.00874***	0.00774**	0.00516	0.00311***	0.00314***	0.00321***	0.00174**	0.00175**	0.00178**
	(0.00653)	(0.00654)	(0.00672)	(0.00409)	(0.00410)	(0.00422)	(0.000490)	(0.000490)	(0.000489)	(0.000273)	(0.000273)	(0.000274)	(0.00519)	(0.00520)	(0.00539)	(0.00331)	(0.00332)	(0.00340)	(0.000508)	(0.000508)	(0.000510)	(0.000312)	(0.000312)	(0.000312)	(0.00515)	(0.00516)	(0.00541)	(0.00330)	(0.00331)	(0.00343)	(0.000624)	(0.000623)	(0.000623)	(0.000411)	(0.000411)	(0.000411)	(0.00545)	(0.00547)	(0.00572)	(0.00322)	(0.00323)	(0.00333)	(0.000777)	(0.000778)	(0.000778)	(0.000488)	(0.000488)	(0.000488)	(0.00582)	(0.00585)	(0.00612)	(0.00318)	(0.00319)	(0.00329)	(0.000934)	(0.000935)	(0.000934)	(0.000616)	(0.000616)	(0.000616)	(0.00644)	(0.00647)	(0.00673)	(0.00329)	(0.00331)	(0.00339)	(0.00110)	(0.00110)	(0.00110)	(0.000740)	(0.000740)	(0.000740)
agemay	0.0405***	0.0453***	0.0880***	0.0131**	0.0155**	0.0396***	-0.0199***	-0.0199***	-0.0202***	-0.00518***	-0.00520***	-0.00532***	0.0648***	0.0708***	0.107***	0.000764	0.00354	0.0192***	-0.0162***	-0.0162***	-0.0164***	-0.00600***	-0.00601***	-0.00609***	0.0618***	0.0694***	0.107***	0.0125***	0.0150***	0.0333***	-0.0179***	-0.0180***	-0.0182***	-0.00790***	-0.00796***	-0.00802***	0.0364***	0.0422***	0.0764***	-0.0215***	-0.0192***	-0.00282	-0.0188***	-0.0187***	-0.0190***	-0.00828***	-0.00827***	-0.00837***	0.0534***	0.0617***	0.0946***	-0.00618	-0.00243	0.0112***	-0.0210***	-0.0211***	-0.0213***	-0.0116***	-0.0116***	-0.0117***	0.0218**	0.0221**	0.0554***	-0.0171***	-0.0169***	-0.00575	-0.0215***	-0.0215***	-0.0218***	-0.0115***	-0.0115***	-0.0117***
	(0.00666)	(0.00666)	(0.00676)	(0.00628)	(0.00629)	(0.00638)	(0.000943)	(0.000943)	(0.000943)	(0.000338)	(0.000337)	(0.000339)	(0.00510)	(0.00511)	(0.00528)	(0.00468)	(0.00469)	(0.00479)	(0.000767)	(0.000768)	(0.000765)	(0.000367)	(0.000367)	(0.000365)	(0.00521)	(0.00522)	(0.00542)	(0.00430)	(0.00431)	(0.00443)	(0.000831)	(0.000831)	(0.000830)	(0.000487)	(0.000486)	(0.000486)	(0.00593)	(0.00596)	(0.00619)	(0.00406)	(0.00407)	(0.00418)	(0.00112)	(0.00112)	(0.00112)	(0.000633)	(0.000633)	(0.000631)	(0.00701)	(0.00705)	(0.00732)	(0.00412)	(0.00414)	(0.00423)	(0.00144)	(0.00144)	(0.00144)	(0.000948)	(0.000947)	(0.000944)	(0.00901)	(0.00903)	(0.00937)	(0.00462)	(0.00463)	(0.00474)	(0.00192)	(0.00192)	(0.00192)	(0.00127)	(0.00127)	(0.00127)
magesq	-0.000304***	-0.000347***	-0.000921***	-0.000112	-0.000135*	-0.000442***	0.000220***	0.000220***	0.000224***	4.50e-05***	4.52e-05***	4.69e-05***	-0.000645***	-0.000690***	-0.00112***	4.04e-05	1.58e-05	-0.000178***	0.000182***	0.000182***	0.000185***	6.16e-05***	6.17e-05***	6.28e-05***	-0.000487***	-0.000548***	-0.000984***	-0.000101*	-0.000121**	-0.000345***	0.000197***	0.000198***	0.000200***	8.08e-05***	8.15e-05***	8.23e-05***	-6.02e-05	-9.16e-05	-0.000476***	0.000366***	0.000352***	0.000162***	0.000204***	0.000204***	0.000207***	8.41e-05***	8.41e-05***	8.53e-05***	-0.000264***	-0.000329***	-0.000695***	0.000170***	0.000139**	-1.50e-05	0.000223***	0.000224***	0.000226***	0.000123***	0.000123***	0.000124***	0.000123	0.000149	-0.000234*	0.000292***	0.000302***	0.000174***	0.000223***	0.000223***	0.000227***	0.000118***	0.000118***	0.000120***
	(9.19e-05)	(9.19e-05)	(9.38e-05)	(8.02e-05)	(8.04e-05)	(8.17e-05)	(1.20e-05)	(1.19e-05)	(1.19e-05)	(4.47e-06)	(4.46e-06)	(4.48e-06)	(7.03e-05)	(7.05e-05)	(7.30e-05)	(6.06e-05)	(6.07e-05)	(6.20e-05)	(1.03e-05)	(1.03e-05)	(1.03e-05)	(5.10e-06)	(5.11e-06)	(5.08e-06)	(7.27e-05)	(7.29e-05)	(7.59e-05)	(5.64e-05)	(5.66e-05)	(5.84e-05)	(1.10e-05)	(1.10e-05)	(1.10e-05)	(6.59e-06)	(6.58e-06)	(6.58e-06)	(8.08e-05)	(8.13e-05)	(8.48e-05)	(5.37e-05)	(5.39e-05)	(5.55e-05)	(1.45e-05)	(1.45e-05)	(1.45e-05)	(8.34e-06)	(8.34e-06)	(8.32e-06)	(9.28e-05)	(9.35e-05)	(9.73e-05)	(5.36e-05)	(5.40e-05)	(5.52e-05)	(1.84e-05)	(1.84e-05)	(1.83e-05)	(1.21e-05)	(1.21e-05)	(1.21e-05)	(0.000115)	(0.000116)	(0.000120)	(5.89e-05)	(5.91e-05)	(6.05e-05)	(2.38e-05)	(2.38e-05)	(2.38e-05)	(1.59e-05)	(1.59e-05)	(1.58e-05)
agefirstbirth	-0.00605***	-0.00674***	0.00506***	0.000650	0.000414	0.00556***	0.00402***	0.00403***	0.00400***	0.00191***	0.00192***	0.00190***	-0.00211*	-0.00361***	0.00841***	0.000909	0.000457	0.00570***	0.00271***	0.00271***	0.00267***	0.00144***	0.00144***	0.00142***	-0.00954***	-0.0118***	-0.00333***	-0.000748	-0.00156**	0.00221***	0.00274***	0.00277***	0.00276***	0.00165***	0.00166***	0.00167***	-0.00916***	-0.0116***	-0.00649***	-0.00144**	-0.00232***	-0.000285	0.00278***	0.00276***	0.00276***	0.00172***	0.00170***	0.00171***	-0.0129***	-0.0157***	-0.0135***	-0.00350***	-0.00466***	-0.00372***	0.00295***	0.00296***	0.00296***	0.00174***	0.00175***	0.00176***	-0.0130***	-0.0152***	-0.0127***	-0.00441***	-0.00522***	-0.00412***	0.00290***	0.00294***	0.00292***	0.00192***	0.00193***	0.00193***
	(0.00157)	(0.00158)	(0.00162)	(0.000979)	(0.000981)	(0.00100)	(0.000198)	(0.000198)	(0.000196)	(0.000103)	(0.000103)	(0.000102)	(0.00119)	(0.00119)	(0.00120)	(0.000708)	(0.000709)	(0.000717)	(0.000130)	(0.000130)	(0.000126)	(7.98e-05)	(7.96e-05)	(7.76e-05)	(0.00112)	(0.00112)	(0.00117)	(0.000679)	(0.000680)	(0.000696)	(0.000127)	(0.000127)	(0.000125)	(8.61e-05)	(8.60e-05)	(8.50e-05)	(0.00116)	(0.00116)	(0.00121)	(0.000660)	(0.000661)	(0.000681)	(0.000158)	(0.000158)	(0.000157)	(0.000104)	(0.000103)	(0.000102)	(0.00120)	(0.00120)	(0.00126)	(0.000653)	(0.000655)	(0.000674)	(0.000190)	(0.000189)	(0.000188)	(0.000126)	(0.000126)	(0.000126)	(0.00131)	(0.00132)	(0.00137)	(0.000659)	(0.000661)	(0.000675)	(0.000225)	(0.000224)	(0.000223)	(0.000156)	(0.000156)	(0.000155)
educf	0.0843***	0.0882***		0.0358***	0.0377***		-0.00102***	-0.00106***		-0.000405***	-0.000417***		0.0877***	0.0923***		0.0355***	0.0373***		-0.000830***	-0.000834***		-0.000363***	-0.000366***		0.109***	0.115***		0.0395***	0.0419***		-0.000707***	-0.000792***		-0.000242*	-0.000282**		0.114***	0.120***		0.0350***	0.0373***		-0.00137***	-0.00133***		-0.000677***	-0.000655***		0.118***	0.125***		0.0331***	0.0355***		-0.00106***	-0.00111***		-0.000540***	-0.000571***		0.121***	0.128***		0.0285***	0.0306***		-0.00143***	-0.00159***		-0.000930***	-0.00100***	
	(0.00226)	(0.00225)		(0.00148)	(0.00148)		(0.000165)	(0.000164)		(8.79e-05)	(8.66e-05)		(0.00174)	(0.00174)		(0.00111)	(0.00110)		(0.000158)	(0.000158)		(9.27e-05)	(9.21e-05)		(0.00183)	(0.00182)		(0.00114)	(0.00113)		(0.000196)	(0.000193)		(0.000131)	(0.000129)		(0.00206)	(0.00206)		(0.00119)	(0.00119)		(0.000248)	(0.000244)		(0.000169)	(0.000167)		(0.00239)	(0.00240)		(0.00132)	(0.00132)		(0.000305)	(0.000305)		(0.000207)	(0.000207)		(0.00283)	(0.00282)		(0.00148)	(0.00148)		(0.000381)	(0.000381)		(0.000273)	(0.000272)	
educfyrs_sq	-0.00265***	-0.00275***		-0.00118***	-0.00124***		5.52e-05***	5.50e-05***		1.99e-05***	1.97e-05***		-0.00238***	-0.00251***		-0.00111***	-0.00117***		4.32e-05***	4.21e-05***		1.83e-05***	1.80e-05***		-0.00341***	-0.00357***		-0.00126***	-0.00134***		4.30e-05***	4.40e-05***		1.76e-05*	1.76e-05*		-0.00335***	-0.00344***		-0.000854***	-0.000907***		7.73e-05***	7.50e-05***		4.43e-05***	4.33e-05***		-0.00334***	-0.00338***		-0.000691***	-0.000730***		5.68e-05**	5.67e-05**		3.78e-05**	3.77e-05**		-0.00367***	-0.00374***		-0.000323**	-0.000351**		6.37e-05*	6.37e-05*		4.42e-05*	4.38e-05*	
	(0.000135)	(0.000135)		(8.30e-05)	(8.28e-05)		(8.96e-06)	(8.95e-06)		(5.03e-06)	(5.04e-06)		(0.000122)	(0.000122)		(7.11e-05)	(7.10e-05)		(9.28e-06)	(9.29e-06)		(5.64e-06)	(5.62e-06)		(0.000139)	(0.000138)		(8.16e-05)	(8.13e-05)		(1.34e-05)	(1.33e-05)		(9.18e-06)	(9.14e-06)		(0.000168)	(0.000168)		(9.60e-05)	(9.58e-05)		(1.95e-05)	(1.94e-05)		(1.40e-05)	(1.40e-05)		(0.000212)	(0.000213)		(0.000118)	(0.000118)		(2.39e-05)	(2.39e-05)		(1.70e-05)	(1.70e-05)		(0.000266)	(0.000267)		(0.000144)	(0.000144)		(3.35e-05)	(3.35e-05)		(2.55e-05)	(2.55e-05)	
height	0.00388***			0.00146***			-0.000129***			-4.92e-05**			0.00416***			0.00194***			-0.000117**			-3.69e-05			0.00522***			0.00113***			-0.000210***			-0.000144***			0.00535***			0.00172***			-0.000161**			-8.62e-05**			0.00421***			0.00149***			-0.000119			-7.02e-05			0.00414***			0.00131***			-0.000350***			-0.000233***		
	(0.000559)			(0.000346)			(4.44e-05)			(2.46e-05)			(0.000430)			(0.000281)			(4.56e-05)			(2.71e-05)			(0.000433)			(0.000279)			(5.35e-05)			(3.43e-05)			(0.000451)			(0.000264)			(7.39e-05)			(4.16e-05)			(0.000490)			(0.000263)			(7.94e-05)			(5.31e-05)			(0.000528)			(0.000272)			(9.29e-05)			(6.31e-05)		
bmi	0.00874***			0.00368***			-6.00e-05			-2.38e-05			0.0125***			0.00426***			1.91e-05			3.45e-06			0.0162***			0.00557***			-0.000174***			-6.40e-05			0.0200***			0.00648***			0.000221**			0.000119**			0.0225***			0.00764***			-0.000147			-8.73e-05			0.0216***			0.00657***			-0.000407***			-0.000151*		
	(0.000741)			(0.000441)			(4.37e-05)			(2.58e-05)			(0.000623)			(0.000354)			(4.87e-05)			(3.22e-05)			(0.000615)			(0.000361)			(5.92e-05)			(4.23e-05)			(0.000668)			(0.000376)			(0.000102)			(5.90e-05)			(0.000749)			(0.000410)			(0.000102)			(7.04e-05)			(0.000820)			(0.000429)			(0.000117)			(8.27e-05)		
