	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_Twin	-0.0657	-0.0671	-0.0738*	-0.0134	-0.0143	-0.0111	-0.00951***	-0.00954***	-0.00948***	-0.00490***	-0.00491***	-0.00489***	-0.0240	-0.0231	-0.0222	0.000647	0.00148	0.00394	-0.00905***	-0.00910***	-0.00912***	-0.00582***	-0.00583***	-0.00584***	-0.0189	-0.0166	-0.0276	-0.00569	-0.00559	-0.00940	-0.00822***	-0.00832***	-0.00827***	-0.00296*	-0.00303*	-0.00302*	-0.0358**	-0.0280*	-0.0396**	-0.0124	-0.00984	-0.0157*	-0.00993***	-0.0100***	-0.00996***	-0.00348**	-0.00352**	-0.00350**	-0.0322**	-0.0317**	-0.0326**	0.00266	0.00271	0.00301	-0.00974***	-0.00977***	-0.00976***	-0.00439**	-0.00441**	-0.00441**	-0.0349**	-0.0297**	-0.0358**	-0.00382	-0.00215	-0.00282	-0.0171***	-0.0173***	-0.0172***	-0.00713***	-0.00724***	-0.00722***
	(0.0426)	(0.0427)	(0.0434)	(0.0289)	(0.0292)	(0.0301)	(0.00280)	(0.00280)	(0.00280)	(0.00152)	(0.00152)	(0.00152)	(0.0186)	(0.0187)	(0.0195)	(0.0130)	(0.0131)	(0.0134)	(0.00152)	(0.00152)	(0.00152)	(0.000894)	(0.000894)	(0.000894)	(0.0172)	(0.0172)	(0.0180)	(0.0103)	(0.0103)	(0.0105)	(0.00195)	(0.00195)	(0.00195)	(0.00161)	(0.00161)	(0.00161)	(0.0150)	(0.0151)	(0.0161)	(0.00820)	(0.00823)	(0.00850)	(0.00203)	(0.00204)	(0.00204)	(0.00168)	(0.00168)	(0.00168)	(0.0147)	(0.0149)	(0.0158)	(0.00710)	(0.00719)	(0.00751)	(0.00233)	(0.00233)	(0.00232)	(0.00186)	(0.00186)	(0.00186)	(0.0145)	(0.0145)	(0.0153)	(0.00684)	(0.00685)	(0.00705)	(0.00221)	(0.00221)	(0.00221)	(0.00188)	(0.00188)	(0.00188)
malec	-0.0606***	-0.0616***	-0.0668***	-0.0178***	-0.0185***	-0.0219***	0.000916*	0.000924*	0.000966**	0.000498*	0.000499*	0.000512*	-0.0549***	-0.0556***	-0.0670***	-0.0215***	-0.0219***	-0.0288***	0.00140***	0.00139***	0.00144***	0.000576*	0.000572*	0.000586*	-0.0341***	-0.0349***	-0.0490***	-0.0127***	-0.0132***	-0.0212***	0.00233***	0.00233***	0.00238***	0.00184***	0.00184***	0.00184***	-0.00527	-0.00750	-0.0202***	-0.00960***	-0.0107***	-0.0166***	0.00112	0.00110	0.00118	0.00104**	0.00103**	0.00106**	0.0207***	0.0196***	0.00635	0.00148	0.00104	-0.00467	0.00154*	0.00155*	0.00161*	0.00153**	0.00153**	0.00154**	0.0476***	0.0457***	0.0394***	0.00777**	0.00667**	0.00399	0.00283***	0.00286***	0.00292***	0.00114	0.00115	0.00118
	(0.00661)	(0.00662)	(0.00681)	(0.00414)	(0.00414)	(0.00427)	(0.000489)	(0.000489)	(0.000488)	(0.000270)	(0.000270)	(0.000270)	(0.00526)	(0.00526)	(0.00545)	(0.00335)	(0.00335)	(0.00344)	(0.000499)	(0.000499)	(0.000500)	(0.000304)	(0.000304)	(0.000304)	(0.00521)	(0.00523)	(0.00548)	(0.00334)	(0.00334)	(0.00347)	(0.000611)	(0.000611)	(0.000611)	(0.000398)	(0.000398)	(0.000398)	(0.00553)	(0.00556)	(0.00581)	(0.00326)	(0.00328)	(0.00337)	(0.000776)	(0.000777)	(0.000777)	(0.000485)	(0.000485)	(0.000485)	(0.00592)	(0.00596)	(0.00622)	(0.00323)	(0.00325)	(0.00334)	(0.000926)	(0.000926)	(0.000926)	(0.000606)	(0.000606)	(0.000606)	(0.00661)	(0.00664)	(0.00690)	(0.00336)	(0.00337)	(0.00345)	(0.00110)	(0.00110)	(0.00110)	(0.000733)	(0.000733)	(0.000733)
agemay	0.0407***	0.0455***	0.0881***	0.0128**	0.0152**	0.0393***	-0.0198***	-0.0199***	-0.0201***	-0.00502***	-0.00504***	-0.00516***	0.0653***	0.0711***	0.107***	0.000796	0.00346	0.0193***	-0.0156***	-0.0157***	-0.0158***	-0.00580***	-0.00580***	-0.00588***	0.0599***	0.0676***	0.104***	0.0127***	0.0152***	0.0331***	-0.0170***	-0.0171***	-0.0173***	-0.00743***	-0.00749***	-0.00754***	0.0368***	0.0429***	0.0765***	-0.0211***	-0.0187***	-0.00229	-0.0183***	-0.0183***	-0.0185***	-0.00818***	-0.00816***	-0.00825***	0.0543***	0.0621***	0.0942***	-0.00646	-0.00285	0.0105**	-0.0206***	-0.0207***	-0.0209***	-0.0114***	-0.0114***	-0.0115***	0.0194**	0.0194**	0.0523***	-0.0179***	-0.0180***	-0.00684	-0.0192***	-0.0192***	-0.0195***	-0.0102***	-0.0102***	-0.0104***
	(0.00675)	(0.00674)	(0.00684)	(0.00634)	(0.00636)	(0.00645)	(0.000947)	(0.000947)	(0.000948)	(0.000336)	(0.000335)	(0.000338)	(0.00517)	(0.00519)	(0.00535)	(0.00475)	(0.00475)	(0.00485)	(0.000762)	(0.000763)	(0.000759)	(0.000363)	(0.000364)	(0.000362)	(0.00528)	(0.00529)	(0.00549)	(0.00435)	(0.00436)	(0.00449)	(0.000826)	(0.000824)	(0.000824)	(0.000482)	(0.000481)	(0.000480)	(0.00602)	(0.00605)	(0.00629)	(0.00414)	(0.00415)	(0.00426)	(0.00112)	(0.00113)	(0.00112)	(0.000638)	(0.000638)	(0.000636)	(0.00718)	(0.00722)	(0.00749)	(0.00422)	(0.00425)	(0.00433)	(0.00144)	(0.00144)	(0.00144)	(0.000947)	(0.000946)	(0.000944)	(0.00921)	(0.00923)	(0.00956)	(0.00473)	(0.00474)	(0.00485)	(0.00184)	(0.00184)	(0.00184)	(0.00120)	(0.00120)	(0.00120)
magesq	-0.000306***	-0.000350***	-0.000922***	-0.000107	-0.000130	-0.000437***	0.000219***	0.000220***	0.000224***	4.37e-05***	4.39e-05***	4.56e-05***	-0.000647***	-0.000690***	-0.00113***	4.20e-05	1.85e-05	-0.000177***	0.000175***	0.000176***	0.000178***	5.97e-05***	5.98e-05***	6.08e-05***	-0.000459***	-0.000521***	-0.000953***	-0.000105*	-0.000124**	-0.000344***	0.000187***	0.000188***	0.000190***	7.60e-05***	7.66e-05***	7.74e-05***	-6.72e-05	-0.000102	-0.000479***	0.000361***	0.000345***	0.000156***	0.000200***	0.000200***	0.000203***	8.43e-05***	8.43e-05***	8.53e-05***	-0.000276***	-0.000335***	-0.000689***	0.000175***	0.000145***	-4.54e-06	0.000222***	0.000222***	0.000224***	0.000124***	0.000124***	0.000125***	0.000155	0.000184	-0.000194	0.000306***	0.000317***	0.000191***	0.000197***	0.000197***	0.000200***	0.000104***	0.000104***	0.000106***
	(9.32e-05)	(9.32e-05)	(9.51e-05)	(8.11e-05)	(8.13e-05)	(8.26e-05)	(1.20e-05)	(1.20e-05)	(1.20e-05)	(4.45e-06)	(4.44e-06)	(4.46e-06)	(7.14e-05)	(7.15e-05)	(7.41e-05)	(6.14e-05)	(6.15e-05)	(6.28e-05)	(1.03e-05)	(1.03e-05)	(1.02e-05)	(5.07e-06)	(5.08e-06)	(5.05e-06)	(7.37e-05)	(7.39e-05)	(7.69e-05)	(5.71e-05)	(5.73e-05)	(5.92e-05)	(1.09e-05)	(1.09e-05)	(1.09e-05)	(6.48e-06)	(6.47e-06)	(6.47e-06)	(8.21e-05)	(8.27e-05)	(8.62e-05)	(5.47e-05)	(5.49e-05)	(5.65e-05)	(1.46e-05)	(1.46e-05)	(1.46e-05)	(8.41e-06)	(8.41e-06)	(8.40e-06)	(9.53e-05)	(9.59e-05)	(9.98e-05)	(5.50e-05)	(5.54e-05)	(5.66e-05)	(1.84e-05)	(1.83e-05)	(1.83e-05)	(1.21e-05)	(1.21e-05)	(1.21e-05)	(0.000118)	(0.000119)	(0.000123)	(6.04e-05)	(6.06e-05)	(6.20e-05)	(2.28e-05)	(2.28e-05)	(2.28e-05)	(1.50e-05)	(1.50e-05)	(1.50e-05)
agefirstbirth	-0.00614***	-0.00680***	0.00509***	0.000605	0.000384	0.00560***	0.00399***	0.00399***	0.00397***	0.00188***	0.00188***	0.00187***	-0.00249**	-0.00396***	0.00814***	0.000904	0.000468	0.00571***	0.00269***	0.00268***	0.00265***	0.00141***	0.00141***	0.00139***	-0.00911***	-0.0115***	-0.00287**	-0.000461	-0.00130*	0.00252***	0.00267***	0.00269***	0.00269***	0.00158***	0.00158***	0.00159***	-0.00911***	-0.0115***	-0.00644***	-0.00145**	-0.00235***	-0.000320	0.00271***	0.00268***	0.00267***	0.00165***	0.00164***	0.00164***	-0.0129***	-0.0156***	-0.0135***	-0.00354***	-0.00470***	-0.00383***	0.00289***	0.00291***	0.00291***	0.00163***	0.00164***	0.00164***	-0.0131***	-0.0153***	-0.0128***	-0.00465***	-0.00542***	-0.00437***	0.00278***	0.00282***	0.00280***	0.00180***	0.00182***	0.00181***
	(0.00159)	(0.00159)	(0.00164)	(0.000991)	(0.000993)	(0.00102)	(0.000200)	(0.000200)	(0.000198)	(0.000103)	(0.000104)	(0.000102)	(0.00121)	(0.00121)	(0.00122)	(0.000720)	(0.000720)	(0.000728)	(0.000131)	(0.000131)	(0.000127)	(8.00e-05)	(7.97e-05)	(7.76e-05)	(0.00114)	(0.00114)	(0.00119)	(0.000691)	(0.000692)	(0.000708)	(0.000127)	(0.000126)	(0.000125)	(8.48e-05)	(8.45e-05)	(8.36e-05)	(0.00118)	(0.00119)	(0.00124)	(0.000672)	(0.000673)	(0.000694)	(0.000159)	(0.000159)	(0.000157)	(0.000104)	(0.000103)	(0.000102)	(0.00123)	(0.00124)	(0.00129)	(0.000669)	(0.000671)	(0.000689)	(0.000189)	(0.000189)	(0.000188)	(0.000123)	(0.000123)	(0.000123)	(0.00135)	(0.00136)	(0.00141)	(0.000674)	(0.000676)	(0.000691)	(0.000224)	(0.000224)	(0.000223)	(0.000154)	(0.000154)	(0.000154)
educf	0.0845***	0.0884***		0.0361***	0.0379***		-0.000993***	-0.00104***		-0.000413***	-0.000427***		0.0878***	0.0924***		0.0361***	0.0379***		-0.000742***	-0.000738***		-0.000323***	-0.000319***		0.110***	0.116***		0.0397***	0.0421***		-0.000787***	-0.000852***		-0.000292**	-0.000319***		0.114***	0.121***		0.0349***	0.0372***		-0.00115***	-0.00111***		-0.000534***	-0.000510***		0.119***	0.126***		0.0332***	0.0356***		-0.000888***	-0.000929***		-0.000462**	-0.000490**		0.122***	0.128***		0.0289***	0.0310***		-0.00108***	-0.00124***		-0.000577**	-0.000646**	
	(0.00229)	(0.00228)		(0.00150)	(0.00149)		(0.000165)	(0.000164)		(8.67e-05)	(8.54e-05)		(0.00176)	(0.00176)		(0.00112)	(0.00111)		(0.000156)	(0.000155)		(9.01e-05)	(8.95e-05)		(0.00185)	(0.00184)		(0.00115)	(0.00114)		(0.000191)	(0.000189)		(0.000126)	(0.000124)		(0.00210)	(0.00210)		(0.00121)	(0.00120)		(0.000240)	(0.000237)		(0.000162)	(0.000161)		(0.00244)	(0.00244)		(0.00135)	(0.00135)		(0.000301)	(0.000301)		(0.000202)	(0.000202)		(0.00292)	(0.00291)		(0.00152)	(0.00152)		(0.000361)	(0.000361)		(0.000251)	(0.000251)	
educfyrs_sq	-0.00265***	-0.00276***		-0.00119***	-0.00125***		5.48e-05***	5.49e-05***		2.09e-05***	2.08e-05***		-0.00238***	-0.00251***		-0.00116***	-0.00121***		3.79e-05***	3.64e-05***		1.55e-05***	1.50e-05***		-0.00346***	-0.00362***		-0.00128***	-0.00136***		4.91e-05***	4.94e-05***		2.21e-05**	2.18e-05**		-0.00335***	-0.00344***		-0.000832***	-0.000887***		5.76e-05***	5.52e-05***		3.01e-05**	2.91e-05**		-0.00340***	-0.00346***		-0.000711***	-0.000754***		4.69e-05**	4.69e-05**		3.38e-05**	3.38e-05**		-0.00371***	-0.00376***		-0.000372**	-0.000396***		3.46e-05	3.47e-05		1.50e-05	1.49e-05	
	(0.000137)	(0.000137)		(8.39e-05)	(8.37e-05)		(8.94e-06)	(8.93e-06)		(4.96e-06)	(4.98e-06)		(0.000123)	(0.000123)		(7.16e-05)	(7.16e-05)		(9.08e-06)	(9.08e-06)		(5.48e-06)	(5.45e-06)		(0.000140)	(0.000140)		(8.25e-05)	(8.23e-05)		(1.32e-05)	(1.31e-05)		(8.89e-06)	(8.86e-06)		(0.000171)	(0.000171)		(9.72e-05)	(9.71e-05)		(1.83e-05)	(1.82e-05)		(1.30e-05)	(1.30e-05)		(0.000217)	(0.000218)		(0.000121)	(0.000121)		(2.37e-05)	(2.37e-05)		(1.68e-05)	(1.68e-05)		(0.000276)	(0.000277)		(0.000149)	(0.000149)		(2.94e-05)	(2.94e-05)		(2.15e-05)	(2.16e-05)	
height	0.00397***			0.00141***			-0.000127***			-4.87e-05**			0.00411***			0.00200***			-0.000122***			-3.83e-05			0.00518***			0.00109***			-0.000215***			-0.000140***			0.00532***			0.00166***			-0.000173**			-7.44e-05*			0.00415***			0.00150***			-7.76e-05			-5.53e-05			0.00428***			0.00133***			-0.000307***			-0.000182***		
	(0.000566)			(0.000350)			(4.46e-05)			(2.48e-05)			(0.000435)			(0.000284)			(4.48e-05)			(2.66e-05)			(0.000438)			(0.000281)			(5.18e-05)			(3.34e-05)			(0.000457)			(0.000267)			(7.39e-05)			(4.12e-05)			(0.000501)			(0.000268)			(7.84e-05)			(5.19e-05)			(0.000542)			(0.000278)			(9.29e-05)			(6.26e-05)		
bmi	0.00863***			0.00364***			-7.15e-05*			-2.86e-05			0.0124***			0.00412***			4.59e-05			2.62e-05			0.0165***			0.00572***			-0.000109*			-2.26e-05			0.0203***			0.00660***			0.000221**			0.000127**			0.0223***			0.00769***			-0.000115			-8.06e-05			0.0213***			0.00649***			-0.000421***			-0.000160**		
	(0.000750)			(0.000448)			(4.30e-05)			(2.49e-05)			(0.000630)			(0.000358)			(4.82e-05)			(3.16e-05)			(0.000623)			(0.000366)			(5.83e-05)			(4.10e-05)			(0.000682)			(0.000382)			(0.000103)			(5.83e-05)			(0.000762)			(0.000419)			(0.000102)			(7.04e-05)			(0.000843)			(0.000439)			(0.000115)			(8.14e-05)		
