	(1)	(2)	(3)	(4)	(5)
VARIABLES	twind100	twind100	twind100	twind100	twind100
					
agemay	-0.0874***	-0.0307	-0.128***	-0.0262	-0.0681
	(0.0244)	(0.0348)	(0.0283)	(0.0382)	(0.0416)
magesq	-0.00163***	-0.00309***	-0.000602	-0.00333***	-0.000707
	(0.000435)	(0.000563)	(0.000452)	(0.000718)	(0.000613)
agefirstbirth	0.342***	0.359***	0.327***	0.388***	0.260***
	(0.0257)	(0.0377)	(0.0331)	(0.0320)	(0.0228)
educf	0.133***	0.191***	0.118**	0.153***	0.0711**
	(0.0336)	(0.0440)	(0.0477)	(0.0387)	(0.0285)
educfyrs_sq	-0.00266	-0.00958**	-0.00192	-0.00399	0.000709
	(0.00214)	(0.00430)	(0.00289)	(0.00262)	(0.00201)
height	0.0608***	0.0600***	0.0603***	0.0660***	0.0458***
	(0.00715)	(0.00731)	(0.0111)	(0.00688)	(0.0106)
bmi	0.0651***	0.0826***	0.0580***	0.0637***	0.0642***
	(0.00859)	(0.0126)	(0.0104)	(0.0108)	(0.00900)
Constant	-10.75***	-10.82***	-10.87***	-16.20***	-9.101***
	(1.479)	(1.148)	(2.439)	(1.996)	(2.210)
					
Observations	2,125,896	846,450	1,279,446	1,518,922	606,974
R-squared	0.013	0.014	0.011	0.014	0.011
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
