	(1)	(2)	(3)	(4)	(5)
VARIABLES	idealnumkids	idealnumkids	idealnumkids	idealnumkids	idealnumkids
					
agemay	0.0584***	0.0794***	0.0441**	0.0476***	0.0841***
	(0.0166)	(0.0217)	(0.0209)	(0.0177)	(0.0173)
magesq	-0.000789***	-0.00111***	-0.000558**	-0.000623**	-0.00111***
	(0.000204)	(0.000284)	(0.000249)	(0.000238)	(0.000244)
agefirstbirth	-0.00964	-0.00870	-0.0116	-0.0127*	-0.00168
	(0.00708)	(0.00896)	(0.00994)	(0.00649)	(0.00835)
educf	-0.148***	-0.139***	-0.134***	-0.147***	-0.148***
	(0.0215)	(0.0295)	(0.0283)	(0.0243)	(0.0189)
educfyrs_sq	0.00616***	0.00226	0.00573***	0.00607***	0.00596***
	(0.00102)	(0.00161)	(0.00121)	(0.00114)	(0.000948)
height	0.000761	0.00167	-0.000254	0.00150	-0.00201
	(0.00209)	(0.00355)	(0.00233)	(0.00220)	(0.00211)
bmi	-0.0146***	-0.0157**	-0.0126***	-0.0129***	-0.0164***
	(0.00329)	(0.00645)	(0.00404)	(0.00385)	(0.00278)
Constant	3.978***	2.498***	6.595***	2.914***	3.489***
	(0.531)	(0.604)	(1.123)	(0.565)	(0.493)
					
Observations	1,945,317	769,700	1,175,617	1,402,646	542,671
R-squared	0.465	0.398	0.417	0.477	0.443
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
