	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																				
fert	-0.117***	-0.0776***	-0.0750***	-0.0422***	-0.0288***	-0.0279***	0.00739***	0.00718***	0.00714***	0.00516***	0.00510***	0.00508***	-0.0932***	-0.0605***	-0.0587***	-0.0327***	-0.0228***	-0.0222***	0.00861***	0.00847***	0.00846***	0.00610***	0.00607***	0.00606***	-0.131***	-0.0882***	-0.0860***	-0.0461***	-0.0309***	-0.0299***	0.00668***	0.00642***	0.00638***	0.00453***	0.00441***	0.00439***
	(0.00881)	(0.00701)	(0.00698)	(0.00389)	(0.00280)	(0.00275)	(0.00103)	(0.000980)	(0.000976)	(0.000692)	(0.000673)	(0.000671)	(0.00838)	(0.00724)	(0.00648)	(0.00425)	(0.00348)	(0.00318)	(0.00157)	(0.00152)	(0.00152)	(0.00106)	(0.00105)	(0.00105)	(0.0104)	(0.00815)	(0.00815)	(0.00461)	(0.00349)	(0.00344)	(0.00145)	(0.00141)	(0.00141)	(0.000952)	(0.000925)	(0.000922)
malec	-0.0174	-0.00748	-0.00559	-0.00822	-0.00246	-0.00141	0.00211***	0.00205***	0.00204***	0.00144***	0.00143***	0.00142***	-0.00183	0.00606	0.00829	-0.0101	-0.00576	-0.00436	0.00263***	0.00259***	0.00257***	0.00182***	0.00181***	0.00181***	-0.0285	-0.0171	-0.0155	-0.00655	0.000132	0.00101	0.00172***	0.00164***	0.00162***	0.00111***	0.00109***	0.00108***
	(0.0244)	(0.0257)	(0.0259)	(0.0123)	(0.0132)	(0.0133)	(0.000363)	(0.000364)	(0.000364)	(0.000226)	(0.000227)	(0.000227)	(0.0292)	(0.0288)	(0.0290)	(0.0115)	(0.0105)	(0.0106)	(0.000743)	(0.000735)	(0.000734)	(0.000447)	(0.000445)	(0.000445)	(0.0362)	(0.0385)	(0.0388)	(0.0170)	(0.0186)	(0.0188)	(0.000233)	(0.000226)	(0.000225)	(0.000130)	(0.000126)	(0.000125)
agemay	0.0868***	0.0520***	0.0456***	0.0218***	0.00713	0.00495	-0.0153***	-0.0151***	-0.0150***	-0.00536***	-0.00533***	-0.00528***	0.114***	0.0770***	0.0671***	0.0213***	0.00618	0.00290	-0.0234***	-0.0233***	-0.0231***	-0.00735***	-0.00734***	-0.00726***	0.0541***	0.0201*	0.0153	0.0158*	0.00154	-0.000370	-0.00839***	-0.00822***	-0.00814***	-0.00343***	-0.00338***	-0.00333***
	(0.0130)	(0.0121)	(0.0116)	(0.00508)	(0.00516)	(0.00503)	(0.00421)	(0.00418)	(0.00417)	(0.00131)	(0.00131)	(0.00130)	(0.0145)	(0.0144)	(0.0143)	(0.00466)	(0.00438)	(0.00408)	(0.00835)	(0.00829)	(0.00824)	(0.00255)	(0.00254)	(0.00252)	(0.0123)	(0.0104)	(0.01000)	(0.00794)	(0.00788)	(0.00782)	(0.00202)	(0.00198)	(0.00197)	(0.000843)	(0.000829)	(0.000824)
magesq	-0.000636***	-0.000238	-0.000193	-0.000150***	1.66e-05	3.04e-05	0.000143***	0.000141***	0.000140***	3.67e-05***	3.64e-05***	3.60e-05***	-0.000860***	-0.000461**	-0.000360**	-0.000107**	5.78e-05	8.97e-05*	0.000225**	0.000223**	0.000221**	5.02e-05**	5.00e-05**	4.92e-05**	-0.000337*	6.75e-05	9.30e-05	-0.000114	5.57e-05	6.51e-05	7.38e-05***	7.16e-05***	7.11e-05***	2.17e-05***	2.11e-05***	2.08e-05***
	(0.000147)	(0.000147)	(0.000143)	(5.55e-05)	(6.21e-05)	(6.12e-05)	(4.45e-05)	(4.42e-05)	(4.41e-05)	(1.18e-05)	(1.18e-05)	(1.18e-05)	(0.000174)	(0.000178)	(0.000175)	(4.76e-05)	(4.81e-05)	(4.54e-05)	(8.81e-05)	(8.74e-05)	(8.69e-05)	(2.33e-05)	(2.32e-05)	(2.30e-05)	(0.000167)	(0.000154)	(0.000151)	(9.16e-05)	(9.88e-05)	(9.75e-05)	(1.91e-05)	(1.84e-05)	(1.84e-05)	(5.66e-06)	(5.45e-06)	(5.44e-06)
