	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																																																								
T_After_region													-0.0201	-0.0130	-0.00739	-0.0218	-0.0171	-0.0209	0.0116	0.0115	0.0115	0.0139	0.0139	0.0139	-0.115***	-0.106***	-0.132***	-0.0232	-0.0199	-0.0282	0.00471	0.00452	0.00479	0.00470	0.00457	0.00469	-0.125***	-0.110***	-0.136***	-0.0460**	-0.0414**	-0.0464**	0.0158***	0.0155***	0.0158***	0.0164***	0.0163***	0.0165***	-0.141***	-0.137***	-0.185***	-0.00725	-0.00587	-0.0233	0.0172***	0.0172***	0.0176***	0.0150***	0.0150***	0.0151***	-0.121***	-0.110***	-0.159***	-0.0400***	-0.0360***	-0.0502***	0.0149***	0.0146***	0.0151***	0.0138***	0.0137***	0.0139***
													(0.0593)	(0.0599)	(0.0622)	(0.0392)	(0.0389)	(0.0415)	(0.0113)	(0.0113)	(0.0113)	(0.0102)	(0.0102)	(0.0102)	(0.0391)	(0.0387)	(0.0400)	(0.0239)	(0.0237)	(0.0240)	(0.00410)	(0.00410)	(0.00410)	(0.00322)	(0.00322)	(0.00322)	(0.0347)	(0.0345)	(0.0359)	(0.0196)	(0.0195)	(0.0199)	(0.00513)	(0.00514)	(0.00515)	(0.00417)	(0.00418)	(0.00419)	(0.0344)	(0.0348)	(0.0366)	(0.0163)	(0.0165)	(0.0171)	(0.00470)	(0.00470)	(0.00470)	(0.00364)	(0.00364)	(0.00364)	(0.0225)	(0.0226)	(0.0239)	(0.0118)	(0.0119)	(0.0122)	(0.00428)	(0.00428)	(0.00428)	(0.00329)	(0.00329)	(0.00329)
malec	-0.0658***	-0.0668***	-0.0725***	-0.0202***	-0.0208***	-0.0252***	0.000812*	0.000822*	0.000876*	9.90e-05	0.000103	0.000121	-0.0615***	-0.0624***	-0.0751***	-0.0196***	-0.0202***	-0.0273***	0.00122**	0.00121**	0.00128**	0.000633*	0.000628*	0.000644*	-0.0469***	-0.0476***	-0.0628***	-0.0161***	-0.0164***	-0.0253***	0.00280***	0.00279***	0.00288***	0.00239***	0.00238***	0.00240***	-0.0171**	-0.0192***	-0.0328***	-0.0121***	-0.0131***	-0.0192***	0.00136	0.00137	0.00147	0.00132**	0.00132**	0.00135**	0.000133	-0.00111	-0.0166**	-0.00373	-0.00424	-0.00970**	0.00324***	0.00325***	0.00332***	0.00279***	0.00279***	0.00279***	0.0269***	0.0256***	0.0203**	0.00614	0.00513	0.00273	0.00273*	0.00275*	0.00280*	0.000975	0.000978	0.000995
	(0.00723)	(0.00724)	(0.00743)	(0.00454)	(0.00454)	(0.00467)	(0.000481)	(0.000480)	(0.000480)	(0.000253)	(0.000253)	(0.000253)	(0.00611)	(0.00612)	(0.00632)	(0.00391)	(0.00391)	(0.00401)	(0.000564)	(0.000564)	(0.000567)	(0.000344)	(0.000344)	(0.000345)	(0.00649)	(0.00651)	(0.00681)	(0.00415)	(0.00416)	(0.00431)	(0.000746)	(0.000745)	(0.000746)	(0.000492)	(0.000492)	(0.000492)	(0.00717)	(0.00720)	(0.00749)	(0.00425)	(0.00426)	(0.00436)	(0.00104)	(0.00104)	(0.00104)	(0.000642)	(0.000643)	(0.000643)	(0.00801)	(0.00806)	(0.00845)	(0.00455)	(0.00457)	(0.00471)	(0.00125)	(0.00125)	(0.00125)	(0.000839)	(0.000839)	(0.000838)	(0.00924)	(0.00928)	(0.00966)	(0.00488)	(0.00489)	(0.00501)	(0.00154)	(0.00154)	(0.00154)	(0.00105)	(0.00105)	(0.00105)
agemay	0.0434***	0.0479***	0.0895***	0.0179**	0.0203***	0.0455***	-0.0147***	-0.0147***	-0.0150***	-0.00368***	-0.00371***	-0.00385***	0.0665***	0.0728***	0.108***	0.00391	0.00701	0.0237***	-0.0135***	-0.0135***	-0.0138***	-0.00521***	-0.00521***	-0.00528***	0.0633***	0.0718***	0.110***	0.0104*	0.0132**	0.0332***	-0.0145***	-0.0146***	-0.0149***	-0.00678***	-0.00683***	-0.00691***	0.0377***	0.0434***	0.0806***	-0.0213***	-0.0190***	-0.00232	-0.0187***	-0.0187***	-0.0190***	-0.00937***	-0.00938***	-0.00949***	0.0481***	0.0554***	0.0882***	-0.000827	0.00287	0.0174***	-0.0206***	-0.0206***	-0.0209***	-0.0116***	-0.0116***	-0.0117***	0.0310**	0.0340***	0.0645***	-0.00969	-0.00896	0.000447	-0.0144***	-0.0144***	-0.0147***	-0.00829***	-0.00829***	-0.00842***
	(0.00763)	(0.00763)	(0.00772)	(0.00711)	(0.00712)	(0.00719)	(0.000952)	(0.000952)	(0.000956)	(0.000298)	(0.000299)	(0.000300)	(0.00624)	(0.00626)	(0.00645)	(0.00570)	(0.00570)	(0.00581)	(0.000862)	(0.000864)	(0.000858)	(0.000413)	(0.000414)	(0.000410)	(0.00675)	(0.00676)	(0.00700)	(0.00554)	(0.00555)	(0.00573)	(0.000972)	(0.000970)	(0.000969)	(0.000594)	(0.000592)	(0.000590)	(0.00795)	(0.00797)	(0.00831)	(0.00555)	(0.00557)	(0.00572)	(0.00146)	(0.00146)	(0.00146)	(0.000819)	(0.000820)	(0.000818)	(0.00966)	(0.00973)	(0.0101)	(0.00595)	(0.00599)	(0.00611)	(0.00193)	(0.00192)	(0.00192)	(0.00127)	(0.00127)	(0.00127)	(0.0131)	(0.0131)	(0.0137)	(0.00693)	(0.00696)	(0.00713)	(0.00249)	(0.00249)	(0.00248)	(0.00169)	(0.00169)	(0.00168)
magesq	-0.000357***	-0.000399***	-0.000967***	-0.000177*	-0.000200**	-0.000523***	0.000158***	0.000159***	0.000163***	2.84e-05***	2.86e-05***	3.05e-05***	-0.000654***	-0.000702***	-0.00114***	7.40e-06	-2.06e-05	-0.000230***	0.000149***	0.000150***	0.000153***	5.28e-05***	5.29e-05***	5.38e-05***	-0.000506***	-0.000579***	-0.00104***	-6.77e-05	-9.12e-05	-0.000346***	0.000156***	0.000157***	0.000161***	6.84e-05***	6.90e-05***	7.01e-05***	-0.000104	-0.000136	-0.000579***	0.000370***	0.000354***	0.000156**	0.000207***	0.000207***	0.000211***	0.000100***	0.000100***	0.000102***	-0.000208	-0.000260**	-0.000628***	0.000103	7.24e-05	-9.25e-05	0.000219***	0.000219***	0.000223***	0.000124***	0.000124***	0.000125***	-2.89e-05	-3.73e-05	-0.000408**	0.000203**	0.000205**	9.35e-05	0.000142***	0.000142***	0.000145***	8.06e-05***	8.04e-05***	8.21e-05***
	(0.000106)	(0.000106)	(0.000108)	(9.07e-05)	(9.09e-05)	(9.20e-05)	(1.21e-05)	(1.21e-05)	(1.21e-05)	(4.07e-06)	(4.07e-06)	(4.06e-06)	(8.60e-05)	(8.63e-05)	(8.91e-05)	(7.38e-05)	(7.39e-05)	(7.54e-05)	(1.17e-05)	(1.18e-05)	(1.17e-05)	(5.87e-06)	(5.89e-06)	(5.82e-06)	(9.40e-05)	(9.42e-05)	(9.79e-05)	(7.27e-05)	(7.29e-05)	(7.55e-05)	(1.29e-05)	(1.29e-05)	(1.28e-05)	(8.05e-06)	(8.04e-06)	(8.02e-06)	(0.000108)	(0.000108)	(0.000113)	(7.34e-05)	(7.36e-05)	(7.58e-05)	(1.89e-05)	(1.89e-05)	(1.88e-05)	(1.08e-05)	(1.08e-05)	(1.08e-05)	(0.000128)	(0.000129)	(0.000134)	(7.74e-05)	(7.81e-05)	(7.98e-05)	(2.45e-05)	(2.45e-05)	(2.44e-05)	(1.63e-05)	(1.63e-05)	(1.62e-05)	(0.000168)	(0.000168)	(0.000175)	(8.82e-05)	(8.86e-05)	(9.09e-05)	(3.10e-05)	(3.10e-05)	(3.09e-05)	(2.12e-05)	(2.12e-05)	(2.11e-05)
agefirstbirth	-0.00633***	-0.00696***	0.00488***	0.000913	0.000709	0.00592***	0.00333***	0.00334***	0.00330***	0.00163***	0.00163***	0.00161***	-0.00262*	-0.00412***	0.00890***	0.000560	0.000124	0.00576***	0.00259***	0.00259***	0.00254***	0.00136***	0.00136***	0.00134***	-0.00890***	-0.0112***	-0.000781	0.000504	-0.000277	0.00419***	0.00251***	0.00253***	0.00251***	0.00152***	0.00152***	0.00152***	-0.00880***	-0.0112***	-0.00379**	-0.00185**	-0.00267***	-3.26e-05	0.00289***	0.00290***	0.00287***	0.00183***	0.00182***	0.00183***	-0.0117***	-0.0144***	-0.0109***	-0.00270***	-0.00383***	-0.00259***	0.00279***	0.00279***	0.00280***	0.00162***	0.00163***	0.00166***	-0.0131***	-0.0150***	-0.0106***	-0.00482***	-0.00555***	-0.00352***	0.00283***	0.00285***	0.00281***	0.00194***	0.00194***	0.00192***
	(0.00178)	(0.00178)	(0.00183)	(0.00111)	(0.00111)	(0.00114)	(0.000219)	(0.000219)	(0.000216)	(0.000111)	(0.000111)	(0.000110)	(0.00142)	(0.00142)	(0.00143)	(0.000859)	(0.000859)	(0.000864)	(0.000158)	(0.000158)	(0.000152)	(9.50e-05)	(9.46e-05)	(9.14e-05)	(0.00144)	(0.00144)	(0.00149)	(0.000859)	(0.000861)	(0.000886)	(0.000158)	(0.000157)	(0.000154)	(0.000106)	(0.000105)	(0.000104)	(0.00152)	(0.00153)	(0.00159)	(0.000885)	(0.000885)	(0.000907)	(0.000209)	(0.000212)	(0.000210)	(0.000138)	(0.000138)	(0.000137)	(0.00167)	(0.00168)	(0.00176)	(0.000943)	(0.000945)	(0.000974)	(0.000258)	(0.000257)	(0.000256)	(0.000167)	(0.000168)	(0.000167)	(0.00188)	(0.00189)	(0.00196)	(0.000964)	(0.000967)	(0.000992)	(0.000330)	(0.000328)	(0.000326)	(0.000236)	(0.000235)	(0.000234)
educf	0.0795***	0.0832***		0.0352***	0.0369***		-0.000944***	-0.000991***		-0.000404***	-0.000423***		0.0838***	0.0884***		0.0343***	0.0362***		-0.000801***	-0.000797***		-0.000249**	-0.000244**		0.0998***	0.106***		0.0364***	0.0386***		-0.00102***	-0.00109***		-0.000374**	-0.000401***		0.108***	0.113***		0.0318***	0.0338***		-0.00124***	-0.00127***		-0.000662***	-0.000668***		0.112***	0.118***		0.0351***	0.0375***		-0.00164***	-0.00164***		-0.000902***	-0.000922***		0.116***	0.122***		0.0269***	0.0291***		-0.00107**	-0.00116**		-0.000574	-0.000614	
	(0.00251)	(0.00249)		(0.00164)	(0.00163)		(0.000173)	(0.000171)		(8.43e-05)	(8.32e-05)		(0.00199)	(0.00198)		(0.00127)	(0.00126)		(0.000184)	(0.000184)		(0.000106)	(0.000105)		(0.00227)	(0.00225)		(0.00143)	(0.00141)		(0.000232)	(0.000230)		(0.000157)	(0.000156)		(0.00265)	(0.00265)		(0.00154)	(0.00153)		(0.000338)	(0.000332)		(0.000231)	(0.000228)		(0.00316)	(0.00317)		(0.00182)	(0.00181)		(0.000405)	(0.000402)		(0.000274)	(0.000273)		(0.00379)	(0.00377)		(0.00204)	(0.00203)		(0.000530)	(0.000529)		(0.000380)	(0.000380)	
educfyrs_sq	-0.00252***	-0.00262***		-0.00118***	-0.00124***		4.74e-05***	4.82e-05***		1.87e-05***	1.88e-05***		-0.00229***	-0.00241***		-0.00110***	-0.00115***		3.85e-05***	3.73e-05***		1.03e-05	9.68e-06		-0.00285***	-0.00296***		-0.00106***	-0.00113***		6.12e-05***	6.13e-05***		2.64e-05**	2.60e-05**		-0.00305***	-0.00311***		-0.000646***	-0.000690***		6.76e-05**	6.64e-05**		4.30e-05**	4.26e-05**		-0.00303***	-0.00306***		-0.000917***	-0.000957***		0.000106***	0.000106***		7.53e-05***	7.53e-05***		-0.00317***	-0.00330***		-0.000156	-0.000223		2.99e-05	3.14e-05		2.07e-05	2.08e-05	
	(0.000150)	(0.000150)		(9.22e-05)	(9.19e-05)		(9.26e-06)	(9.24e-06)		(4.69e-06)	(4.68e-06)		(0.000137)	(0.000137)		(8.28e-05)	(8.29e-05)		(1.07e-05)	(1.07e-05)		(6.45e-06)	(6.41e-06)		(0.000173)	(0.000172)		(0.000103)	(0.000103)		(1.58e-05)	(1.57e-05)		(1.09e-05)	(1.09e-05)		(0.000215)	(0.000215)		(0.000123)	(0.000123)		(2.65e-05)	(2.63e-05)		(1.90e-05)	(1.90e-05)		(0.000270)	(0.000271)		(0.000160)	(0.000160)		(3.09e-05)	(3.08e-05)		(2.19e-05)	(2.19e-05)		(0.000334)	(0.000334)		(0.000186)	(0.000185)		(4.35e-05)	(4.35e-05)		(3.27e-05)	(3.28e-05)	
height	0.00395***			0.00142***			-7.75e-05*			-4.05e-05*			0.00444***			0.00217***			-0.000101**			-4.60e-05			0.00576***			0.00111***			-0.000226***			-0.000143***			0.00496***			0.00172***			-0.000225**			-7.00e-05			0.00559***			0.00174***			-1.44e-05			-2.56e-05			0.00427***			0.00133***			-0.000175			-0.000183**		
	(0.000617)			(0.000384)			(4.38e-05)			(2.34e-05)			(0.000512)			(0.000333)			(5.10e-05)			(3.01e-05)			(0.000543)			(0.000352)			(6.04e-05)			(3.93e-05)			(0.000596)			(0.000352)			(0.000107)			(5.40e-05)			(0.000684)			(0.000378)			(0.000107)			(7.20e-05)			(0.000770)			(0.000404)			(0.000124)			(8.46e-05)		
bmi	0.00811***			0.00324***			-0.000100**			-5.29e-05**			0.0126***			0.00459***			3.40e-05			3.05e-05			0.0165***			0.00546***			-0.000133*			-2.71e-05			0.0186***			0.00588***			-8.46e-06			1.36e-05			0.0212***			0.00725***			-1.63e-05			-7.25e-05			0.0177***			0.00582***			-0.000209			-1.12e-05		
	(0.000827)			(0.000496)			(4.41e-05)			(2.59e-05)			(0.000738)			(0.000412)			(5.34e-05)			(3.50e-05)			(0.000783)			(0.000455)			(7.04e-05)			(5.05e-05)			(0.000874)			(0.000486)			(0.000139)			(7.14e-05)			(0.00100)			(0.000566)			(0.000133)			(9.28e-05)			(0.00112)			(0.000607)			(0.000166)			(0.000119)		
