	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality
																																													
T_Twin	-0.0659***	-0.0646***	-0.0595***	0.0144	0.0160	0.0216*	0.00764***	0.00760***	0.00755***	0.00761***	0.00759***	0.00758***	-0.0538***	-0.0513***	-0.0601***	-0.00853	-0.00777	-0.0111	0.0133***	0.0133***	0.0133***	0.0103***	0.0103***	0.0103***	-0.0491***	-0.0468***	-0.0579***	-0.0167**	-0.0159**	-0.0199**	0.0190***	0.0189***	0.0189***	0.0156***	0.0155***	0.0155***	-0.0546***	-0.0425***	-0.0492***	-0.0157**	-0.0113*	-0.0149**	0.0139***	0.0138***	0.0139***
	(0.0191)	(0.0191)	(0.0195)	(0.0126)	(0.0127)	(0.0129)	(0.00208)	(0.00208)	(0.00208)	(0.00140)	(0.00140)	(0.00140)	(0.0126)	(0.0126)	(0.0131)	(0.00887)	(0.00891)	(0.00912)	(0.00217)	(0.00217)	(0.00217)	(0.00145)	(0.00145)	(0.00145)	(0.0120)	(0.0120)	(0.0126)	(0.00767)	(0.00765)	(0.00785)	(0.00214)	(0.00214)	(0.00214)	(0.00158)	(0.00158)	(0.00158)	(0.0110)	(0.0110)	(0.0116)	(0.00649)	(0.00649)	(0.00669)	(0.00192)	(0.00192)	(0.00192)
malec	-0.0616***	-0.0625***	-0.0679***	-0.0186***	-0.0193***	-0.0230***	0.000970**	0.000978**	0.00102**	0.000594**	0.000595**	0.000609**	-0.0574***	-0.0580***	-0.0695***	-0.0221***	-0.0224***	-0.0295***	0.00144***	0.00143***	0.00149***	0.000616**	0.000612**	0.000629**	-0.0337***	-0.0345***	-0.0488***	-0.0128***	-0.0133***	-0.0215***	0.00251***	0.00251***	0.00257***	0.00185***	0.00185***	0.00186***	-0.00584	-0.00791	-0.0206***	-0.00935***	-0.0104***	-0.0161***	0.00152**	0.00151*	0.00159**
	(0.00652)	(0.00653)	(0.00672)	(0.00409)	(0.00409)	(0.00421)	(0.000490)	(0.000490)	(0.000490)	(0.000273)	(0.000274)	(0.000274)	(0.00520)	(0.00521)	(0.00539)	(0.00331)	(0.00332)	(0.00340)	(0.000508)	(0.000508)	(0.000510)	(0.000312)	(0.000312)	(0.000312)	(0.00515)	(0.00517)	(0.00542)	(0.00330)	(0.00331)	(0.00343)	(0.000623)	(0.000623)	(0.000623)	(0.000411)	(0.000411)	(0.000411)	(0.00544)	(0.00547)	(0.00571)	(0.00322)	(0.00323)	(0.00333)	(0.000775)	(0.000777)	(0.000776)
agemay	0.0426***	0.0474***	0.0901***	0.0143**	0.0168***	0.0407***	-0.0199***	-0.0200***	-0.0203***	-0.00521***	-0.00523***	-0.00535***	0.0652***	0.0713***	0.107***	-0.000184	0.00261	0.0183***	-0.0162***	-0.0163***	-0.0165***	-0.00599***	-0.00599***	-0.00609***	0.0621***	0.0697***	0.107***	0.0118***	0.0142***	0.0326***	-0.0179***	-0.0180***	-0.0182***	-0.00797***	-0.00804***	-0.00809***	0.0356***	0.0413***	0.0755***	-0.0220***	-0.0197***	-0.00331	-0.0186***	-0.0186***	-0.0188***
	(0.00665)	(0.00664)	(0.00674)	(0.00625)	(0.00627)	(0.00635)	(0.000942)	(0.000942)	(0.000943)	(0.000338)	(0.000338)	(0.000339)	(0.00511)	(0.00512)	(0.00528)	(0.00469)	(0.00470)	(0.00479)	(0.000769)	(0.000770)	(0.000767)	(0.000366)	(0.000367)	(0.000365)	(0.00522)	(0.00523)	(0.00543)	(0.00429)	(0.00430)	(0.00443)	(0.000832)	(0.000831)	(0.000830)	(0.000488)	(0.000487)	(0.000487)	(0.00592)	(0.00595)	(0.00617)	(0.00406)	(0.00407)	(0.00418)	(0.00110)	(0.00111)	(0.00110)
magesq	-0.000333***	-0.000376***	-0.000951***	-0.000129	-0.000152*	-0.000457***	0.000220***	0.000220***	0.000224***	4.53e-05***	4.55e-05***	4.72e-05***	-0.000651***	-0.000696***	-0.00113***	5.26e-05	2.78e-05	-0.000167***	0.000183***	0.000183***	0.000186***	6.14e-05***	6.16e-05***	6.27e-05***	-0.000491***	-0.000552***	-0.000986***	-9.20e-05	-0.000112**	-0.000336***	0.000197***	0.000198***	0.000201***	8.19e-05***	8.26e-05***	8.33e-05***	-5.05e-05	-8.23e-05	-0.000467***	0.000372***	0.000358***	0.000169***	0.000203***	0.000203***	0.000206***
	(9.17e-05)	(9.17e-05)	(9.36e-05)	(7.99e-05)	(8.01e-05)	(8.13e-05)	(1.19e-05)	(1.19e-05)	(1.19e-05)	(4.48e-06)	(4.46e-06)	(4.48e-06)	(7.04e-05)	(7.06e-05)	(7.31e-05)	(6.06e-05)	(6.07e-05)	(6.20e-05)	(1.03e-05)	(1.03e-05)	(1.03e-05)	(5.09e-06)	(5.11e-06)	(5.08e-06)	(7.28e-05)	(7.30e-05)	(7.61e-05)	(5.64e-05)	(5.66e-05)	(5.84e-05)	(1.10e-05)	(1.10e-05)	(1.10e-05)	(6.59e-06)	(6.58e-06)	(6.58e-06)	(8.06e-05)	(8.11e-05)	(8.46e-05)	(5.36e-05)	(5.39e-05)	(5.54e-05)	(1.43e-05)	(1.43e-05)	(1.43e-05)
agefirstbirth	-0.00610***	-0.00678***	0.00501***	0.000711	0.000472	0.00561***	0.00404***	0.00405***	0.00402***	0.00193***	0.00193***	0.00191***	-0.00200*	-0.00350***	0.00852***	0.000866	0.000413	0.00566***	0.00270***	0.00270***	0.00267***	0.00144***	0.00144***	0.00142***	-0.00955***	-0.0118***	-0.00333***	-0.000744	-0.00156**	0.00223***	0.00273***	0.00275***	0.00274***	0.00165***	0.00166***	0.00166***	-0.00878***	-0.0112***	-0.00609***	-0.00146**	-0.00234***	-0.000305	0.00278***	0.00275***	0.00275***
	(0.00158)	(0.00158)	(0.00162)	(0.000979)	(0.000981)	(0.00100)	(0.000198)	(0.000199)	(0.000196)	(0.000103)	(0.000103)	(0.000102)	(0.00119)	(0.00119)	(0.00120)	(0.000708)	(0.000709)	(0.000716)	(0.000130)	(0.000130)	(0.000126)	(7.98e-05)	(7.96e-05)	(7.76e-05)	(0.00112)	(0.00112)	(0.00117)	(0.000679)	(0.000680)	(0.000696)	(0.000127)	(0.000126)	(0.000124)	(8.56e-05)	(8.54e-05)	(8.44e-05)	(0.00116)	(0.00116)	(0.00121)	(0.000660)	(0.000661)	(0.000681)	(0.000158)	(0.000158)	(0.000157)
educf	0.0841***	0.0880***		0.0356***	0.0375***		-0.00102***	-0.00106***		-0.000406***	-0.000419***		0.0879***	0.0926***		0.0356***	0.0374***		-0.000832***	-0.000837***		-0.000373***	-0.000377***		0.109***	0.115***		0.0395***	0.0419***		-0.000708***	-0.000788***		-0.000230*	-0.000268**		0.114***	0.120***		0.0349***	0.0372***		-0.00136***	-0.00132***	
	(0.00226)	(0.00225)		(0.00148)	(0.00147)		(0.000166)	(0.000164)		(8.81e-05)	(8.67e-05)		(0.00174)	(0.00174)		(0.00111)	(0.00110)		(0.000158)	(0.000158)		(9.25e-05)	(9.18e-05)		(0.00183)	(0.00182)		(0.00114)	(0.00113)		(0.000195)	(0.000193)		(0.000131)	(0.000129)		(0.00206)	(0.00206)		(0.00119)	(0.00119)		(0.000248)	(0.000243)	
educfyrs_sq	-0.00264***	-0.00274***		-0.00118***	-0.00123***		5.51e-05***	5.50e-05***		2.00e-05***	1.99e-05***		-0.00239***	-0.00253***		-0.00112***	-0.00117***		4.31e-05***	4.21e-05***		1.88e-05***	1.85e-05***		-0.00340***	-0.00356***		-0.00126***	-0.00134***		4.33e-05***	4.42e-05***		1.69e-05*	1.69e-05*		-0.00334***	-0.00343***		-0.000850***	-0.000903***		7.66e-05***	7.42e-05***	
	(0.000135)	(0.000135)		(8.30e-05)	(8.28e-05)		(8.98e-06)	(8.96e-06)		(5.03e-06)	(5.05e-06)		(0.000122)	(0.000122)		(7.10e-05)	(7.09e-05)		(9.27e-06)	(9.28e-06)		(5.63e-06)	(5.61e-06)		(0.000139)	(0.000138)		(8.15e-05)	(8.13e-05)		(1.34e-05)	(1.33e-05)		(9.18e-06)	(9.14e-06)		(0.000168)	(0.000168)		(9.59e-05)	(9.58e-05)		(1.95e-05)	(1.94e-05)	
height	0.00391***			0.00154***			-0.000122***			-4.73e-05*			0.00426***			0.00199***			-0.000116**			-3.77e-05			0.00519***			0.00115***			-0.000202***			-0.000143***			0.00529***			0.00174***			-0.000167**		
	(0.000559)			(0.000345)			(4.46e-05)			(2.48e-05)			(0.000430)			(0.000281)			(4.56e-05)			(2.71e-05)			(0.000434)			(0.000279)			(5.35e-05)			(3.43e-05)			(0.000450)			(0.000264)			(7.39e-05)		
bmi	0.00871***			0.00370***			-6.37e-05			-2.52e-05			0.0126***			0.00427***			1.50e-05			2.27e-06			0.0162***			0.00557***			-0.000165***			-5.82e-05			0.0200***			0.00649***			0.000219**		
	(0.000741)			(0.000441)			(4.37e-05)			(2.59e-05)			(0.000623)			(0.000354)			(4.87e-05)			(3.21e-05)			(0.000617)			(0.000362)			(5.91e-05)			(4.23e-05)			(0.000668)			(0.000376)			(0.000102)		
