	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																													
twin_two_fam	-0.0399	-0.0300	-0.0768	-0.00113	-0.00315	0.00513	-0.00406	-0.00413	-0.00416	-0.00225	-0.00230	-0.00232	1.442***	1.431***	1.470***																														
	(0.0868)	(0.0858)	(0.0882)	(0.0195)	(0.0196)	(0.0199)	(0.00294)	(0.00294)	(0.00294)	(0.00181)	(0.00181)	(0.00182)	(0.149)	(0.148)	(0.155)																														
malec	-0.0206***	-0.0219***	-0.0277***	-0.0267***	-0.0265***	-0.0250***	0.00121***	0.00121***	0.00122***	0.000936***	0.000936***	0.000939***	-0.0795***	-0.0784***	-0.0758***	0.0126***	0.0104***	-0.00586	-0.0396***	-0.0391***	-0.0355***	0.00209***	0.00210***	0.00215***	0.00171***	0.00172***	0.00174***	-0.0333***	-0.0320***	-0.0223***	0.0424***	0.0395***	0.0276***	-0.0516***	-0.0507***	-0.0479***	0.00229***	0.00231***	0.00236***	0.00161***	0.00163***	0.00165***	0.00429	0.00458	0.00949**
	(0.00422)	(0.00424)	(0.00449)	(0.00145)	(0.00145)	(0.00149)	(0.000305)	(0.000305)	(0.000305)	(0.000225)	(0.000225)	(0.000225)	(0.00438)	(0.00439)	(0.00452)	(0.00353)	(0.00355)	(0.00377)	(0.00135)	(0.00135)	(0.00138)	(0.000420)	(0.000420)	(0.000420)	(0.000320)	(0.000320)	(0.000319)	(0.00409)	(0.00409)	(0.00417)	(0.00417)	(0.00419)	(0.00439)	(0.00173)	(0.00173)	(0.00176)	(0.000626)	(0.000626)	(0.000626)	(0.000472)	(0.000472)	(0.000472)	(0.00478)	(0.00478)	(0.00481)
agemay	0.0761***	0.0812***	0.134***	-0.0281***	-0.0292***	-0.0409***	-0.0718***	-0.0719***	-0.0719***	-0.0434***	-0.0435***	-0.0434***	0.346***	0.342***	0.305***	0.0303***	0.0369***	0.0660***	-0.0219***	-0.0234***	-0.0310***	-0.0185***	-0.0186***	-0.0187***	-0.0103***	-0.0104***	-0.0104***	0.345***	0.340***	0.323***	0.0216***	0.0269***	0.0542***	-0.0209***	-0.0224***	-0.0292***	-0.0184***	-0.0185***	-0.0186***	-0.0116***	-0.0116***	-0.0117***	0.342***	0.342***	0.330***
	(0.00561)	(0.00562)	(0.00593)	(0.00219)	(0.00219)	(0.00223)	(0.00135)	(0.00135)	(0.00135)	(0.00123)	(0.00123)	(0.00123)	(0.00504)	(0.00504)	(0.00517)	(0.00410)	(0.00412)	(0.00435)	(0.00175)	(0.00175)	(0.00179)	(0.000691)	(0.000691)	(0.000691)	(0.000491)	(0.000490)	(0.000490)	(0.00422)	(0.00422)	(0.00431)	(0.00559)	(0.00561)	(0.00586)	(0.00248)	(0.00248)	(0.00253)	(0.00108)	(0.00108)	(0.00108)	(0.000826)	(0.000826)	(0.000824)	(0.00586)	(0.00587)	(0.00590)
magesq	0.000296***	0.000260***	-0.000322***	0.000280***	0.000287***	0.000429***	0.000124***	0.000125***	0.000125***	4.36e-05***	4.40e-05***	4.40e-05***	-0.00492***	-0.00490***	-0.00455***	-4.27e-05	-9.12e-05	-0.000429***	0.000219***	0.000230***	0.000325***	0.000178***	0.000178***	0.000180***	9.44e-05***	9.48e-05***	9.56e-05***	-0.00454***	-0.00451***	-0.00432***	7.11e-05	2.79e-05	-0.000306***	0.000170***	0.000183***	0.000269***	0.000181***	0.000182***	0.000183***	0.000116***	0.000116***	0.000117***	-0.00394***	-0.00394***	-0.00380***
	(7.08e-05)	(7.11e-05)	(7.54e-05)	(2.66e-05)	(2.66e-05)	(2.71e-05)	(7.27e-06)	(7.28e-06)	(7.25e-06)	(4.49e-06)	(4.50e-06)	(4.49e-06)	(6.17e-05)	(6.19e-05)	(6.38e-05)	(5.76e-05)	(5.80e-05)	(6.15e-05)	(2.38e-05)	(2.38e-05)	(2.43e-05)	(9.03e-06)	(9.04e-06)	(9.04e-06)	(6.43e-06)	(6.43e-06)	(6.42e-06)	(6.34e-05)	(6.34e-05)	(6.49e-05)	(7.38e-05)	(7.42e-05)	(7.75e-05)	(3.20e-05)	(3.21e-05)	(3.27e-05)	(1.37e-05)	(1.37e-05)	(1.37e-05)	(1.05e-05)	(1.05e-05)	(1.04e-05)	(8.05e-05)	(8.05e-05)	(8.11e-05)
