	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	0.00884	0.0162	0.0412	0.00706	0.00997	0.0218	0.00224	0.00218	0.00225	0.00260	0.00255	0.00259	0.498***	0.490***	0.455***																																																																											
	(0.0311)	(0.0311)	(0.0327)	(0.0170)	(0.0170)	(0.0178)	(0.00258)	(0.00257)	(0.00257)	(0.00238)	(0.00238)	(0.00238)	(0.0376)	(0.0374)	(0.0390)																																																																											
malec	-0.00945	-0.0116	-0.0290***	-0.00757*	-0.00888**	-0.0171***	0.00167***	0.00168***	0.00169***	0.00112***	0.00113***	0.00113***	-0.101***	-0.0990***	-0.0832***	-0.00203	-0.00375	-0.0224***	-0.00341	-0.00426	-0.0120***	0.00222***	0.00223***	0.00228***	0.00213***	0.00214***	0.00218***	-0.0876***	-0.0859***	-0.0678***	0.0114**	0.00911*	-0.0112**	-0.000252	-0.00130	-0.00937***	0.00252***	0.00254***	0.00261***	0.00237***	0.00238***	0.00240***	-0.0556***	-0.0536***	-0.0372***	0.0227***	0.0199***	0.00382	0.000712	-0.000481	-0.00609**	0.00246***	0.00249***	0.00254***	0.00222***	0.00223***	0.00225***	-0.0240***	-0.0225***	-0.0115**	0.0363***	0.0332***	0.0195***	0.00633**	0.00489**	0.000396	0.00268***	0.00269***	0.00275***	0.00236***	0.00237***	0.00239***	-0.000640	2.83e-05	0.00725	0.0483***	0.0448***	0.0372***	0.0106***	0.00903***	0.00626**	0.00261***	0.00264***	0.00268***	0.00231***	0.00233***	0.00235***	0.00471	0.00455	0.00820
	(0.00731)	(0.00733)	(0.00778)	(0.00394)	(0.00395)	(0.00413)	(0.000456)	(0.000457)	(0.000457)	(0.000395)	(0.000395)	(0.000396)	(0.00925)	(0.00928)	(0.00969)	(0.00517)	(0.00519)	(0.00552)	(0.00279)	(0.00280)	(0.00293)	(0.000468)	(0.000468)	(0.000468)	(0.000393)	(0.000393)	(0.000394)	(0.00641)	(0.00643)	(0.00667)	(0.00474)	(0.00476)	(0.00504)	(0.00251)	(0.00252)	(0.00262)	(0.000513)	(0.000513)	(0.000513)	(0.000428)	(0.000428)	(0.000428)	(0.00587)	(0.00588)	(0.00603)	(0.00469)	(0.00472)	(0.00496)	(0.00239)	(0.00240)	(0.00248)	(0.000580)	(0.000580)	(0.000579)	(0.000466)	(0.000466)	(0.000466)	(0.00571)	(0.00571)	(0.00581)	(0.00499)	(0.00501)	(0.00524)	(0.00246)	(0.00247)	(0.00253)	(0.000704)	(0.000704)	(0.000704)	(0.000558)	(0.000558)	(0.000557)	(0.00591)	(0.00591)	(0.00597)	(0.00550)	(0.00552)	(0.00573)	(0.00261)	(0.00262)	(0.00267)	(0.000840)	(0.000840)	(0.000839)	(0.000671)	(0.000671)	(0.000671)	(0.00626)	(0.00626)	(0.00631)
agemay	0.0610***	0.0661***	0.126***	-0.00399	-0.00144	0.0276***	-0.0432***	-0.0432***	-0.0432***	-0.0338***	-0.0339***	-0.0339***	0.239***	0.233***	0.177***	0.00803	0.0135**	0.0553***	-0.0134***	-0.0114**	0.0100**	-0.0116***	-0.0117***	-0.0118***	-0.00750***	-0.00752***	-0.00759***	0.253***	0.247***	0.210***	0.0112*	0.0166***	0.0487***	-0.0108***	-0.00881**	0.00593	-0.0110***	-0.0111***	-0.0112***	-0.00752***	-0.00755***	-0.00759***	0.266***	0.262***	0.236***	0.00724	0.0125**	0.0412***	-0.0155***	-0.0132***	-0.00207	-0.0125***	-0.0125***	-0.0126***	-0.00842***	-0.00843***	-0.00848***	0.297***	0.295***	0.275***	0.00732	0.0130*	0.0404***	-0.0107***	-0.00804**	0.00136	-0.0147***	-0.0147***	-0.0149***	-0.00998***	-0.0100***	-0.0101***	0.310***	0.309***	0.294***	-0.0106	-0.00582	0.0192**	-0.0179***	-0.0157***	-0.00906**	-0.0136***	-0.0137***	-0.0138***	-0.00950***	-0.00953***	-0.00959***	0.312***	0.313***	0.300***
	(0.0120)	(0.0120)	(0.0126)	(0.00701)	(0.00704)	(0.00735)	(0.00251)	(0.00251)	(0.00251)	(0.00235)	(0.00235)	(0.00235)	(0.0126)	(0.0126)	(0.0131)	(0.00669)	(0.00671)	(0.00703)	(0.00454)	(0.00455)	(0.00473)	(0.000834)	(0.000834)	(0.000832)	(0.000614)	(0.000614)	(0.000613)	(0.00667)	(0.00665)	(0.00689)	(0.00593)	(0.00596)	(0.00625)	(0.00392)	(0.00394)	(0.00407)	(0.000791)	(0.000791)	(0.000790)	(0.000645)	(0.000644)	(0.000643)	(0.00628)	(0.00629)	(0.00645)	(0.00600)	(0.00603)	(0.00632)	(0.00361)	(0.00363)	(0.00374)	(0.000907)	(0.000907)	(0.000906)	(0.000721)	(0.000720)	(0.000719)	(0.00649)	(0.00650)	(0.00662)	(0.00682)	(0.00685)	(0.00712)	(0.00374)	(0.00375)	(0.00384)	(0.00121)	(0.00121)	(0.00121)	(0.000957)	(0.000957)	(0.000954)	(0.00721)	(0.00722)	(0.00729)	(0.00851)	(0.00854)	(0.00884)	(0.00425)	(0.00427)	(0.00435)	(0.00151)	(0.00151)	(0.00151)	(0.00121)	(0.00121)	(0.00121)	(0.00858)	(0.00859)	(0.00863)
magesq	0.000440***	0.000393***	-0.000230	0.000303***	0.000276***	-4.59e-05	5.40e-05***	5.44e-05***	5.46e-05***	4.09e-05***	4.13e-05***	4.12e-05***	-0.00347***	-0.00342***	-0.00290***	0.000185**	0.000149	-0.000369***	0.000262***	0.000249***	-1.67e-05	8.15e-05***	8.18e-05***	8.34e-05***	4.66e-05***	4.67e-05***	4.77e-05***	-0.00381***	-0.00377***	-0.00335***	0.000120	8.53e-05	-0.000309***	0.000213***	0.000200***	1.84e-05	9.18e-05***	9.21e-05***	9.36e-05***	6.11e-05***	6.13e-05***	6.19e-05***	-0.00360***	-0.00357***	-0.00326***	0.000217***	0.000181**	-0.000172**	0.000277***	0.000259***	0.000124**	0.000115***	0.000115***	0.000116***	7.70e-05***	7.70e-05***	7.77e-05***	-0.00372***	-0.00370***	-0.00347***	0.000242***	0.000194**	-0.000150	0.000213***	0.000188***	7.19e-05	0.000140***	0.000140***	0.000142***	9.52e-05***	9.54e-05***	9.61e-05***	-0.00366***	-0.00365***	-0.00345***	0.000458***	0.000418***	9.66e-05	0.000295***	0.000275***	0.000191***	0.000124***	0.000124***	0.000126***	8.67e-05***	8.69e-05***	8.78e-05***	-0.00355***	-0.00355***	-0.00339***
	(0.000144)	(0.000145)	(0.000153)	(9.07e-05)	(9.11e-05)	(9.58e-05)	(1.13e-05)	(1.13e-05)	(1.13e-05)	(9.54e-06)	(9.53e-06)	(9.50e-06)	(0.000153)	(0.000153)	(0.000159)	(9.44e-05)	(9.47e-05)	(9.99e-05)	(6.19e-05)	(6.21e-05)	(6.47e-05)	(1.05e-05)	(1.05e-05)	(1.04e-05)	(7.66e-06)	(7.66e-06)	(7.64e-06)	(0.000101)	(0.000101)	(0.000106)	(8.22e-05)	(8.27e-05)	(8.71e-05)	(5.28e-05)	(5.31e-05)	(5.49e-05)	(1.03e-05)	(1.03e-05)	(1.03e-05)	(8.46e-06)	(8.46e-06)	(8.45e-06)	(9.25e-05)	(9.26e-05)	(9.53e-05)	(8.09e-05)	(8.14e-05)	(8.57e-05)	(4.76e-05)	(4.80e-05)	(4.96e-05)	(1.17e-05)	(1.17e-05)	(1.17e-05)	(9.35e-06)	(9.35e-06)	(9.33e-06)	(9.21e-05)	(9.23e-05)	(9.43e-05)	(8.95e-05)	(8.99e-05)	(9.36e-05)	(4.83e-05)	(4.85e-05)	(4.97e-05)	(1.53e-05)	(1.53e-05)	(1.53e-05)	(1.21e-05)	(1.21e-05)	(1.21e-05)	(9.83e-05)	(9.84e-05)	(9.96e-05)	(0.000108)	(0.000109)	(0.000113)	(5.37e-05)	(5.40e-05)	(5.51e-05)	(1.88e-05)	(1.88e-05)	(1.87e-05)	(1.50e-05)	(1.50e-05)	(1.50e-05)	(0.000113)	(0.000113)	(0.000114)
