	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_two_fam	-0.0109	-0.00854	-0.00713	0.00386	0.00467	0.00890	0.000983	0.000935	0.000942	0.00111	0.00107	0.00107	0.873***	0.869***	0.871***																																																																											
	(0.0208)	(0.0209)	(0.0219)	(0.0116)	(0.0116)	(0.0122)	(0.00178)	(0.00179)	(0.00178)	(0.00143)	(0.00143)	(0.00143)	(0.0220)	(0.0220)	(0.0227)																																																																											
malec	-0.0127***	-0.0140***	-0.0199***	-0.00619***	-0.00704***	-0.0113***	0.00137***	0.00137***	0.00138***	0.00105***	0.00105***	0.00106***	-0.0791***	-0.0780***	-0.0752***	0.00434	0.00277	-0.0107***	-0.00466**	-0.00548***	-0.0120***	0.00185***	0.00185***	0.00189***	0.00156***	0.00156***	0.00158***	-0.0578***	-0.0567***	-0.0476***	0.0225***	0.0202***	0.00401	-0.000532	-0.00164	-0.00849***	0.00234***	0.00235***	0.00241***	0.00196***	0.00196***	0.00199***	-0.0312***	-0.0299***	-0.0201***	0.0390***	0.0362***	0.0228***	0.00200	0.000792	-0.00411**	0.00220***	0.00221***	0.00228***	0.00197***	0.00198***	0.00200***	-0.0121***	-0.0111***	-0.00413	0.0533***	0.0505***	0.0380***	0.00768***	0.00640***	0.00209	0.00273***	0.00275***	0.00283***	0.00240***	0.00242***	0.00245***	0.000222	0.000509	0.00577	0.0648***	0.0617***	0.0542***	0.0112***	0.00984***	0.00699***	0.00286***	0.00289***	0.00295***	0.00226***	0.00228***	0.00231***	0.00555	0.00505	0.00781
	(0.00404)	(0.00406)	(0.00430)	(0.00231)	(0.00232)	(0.00243)	(0.000307)	(0.000307)	(0.000307)	(0.000230)	(0.000230)	(0.000230)	(0.00428)	(0.00429)	(0.00441)	(0.00334)	(0.00336)	(0.00356)	(0.00185)	(0.00186)	(0.00194)	(0.000351)	(0.000351)	(0.000352)	(0.000267)	(0.000267)	(0.000268)	(0.00378)	(0.00379)	(0.00388)	(0.00328)	(0.00330)	(0.00350)	(0.00174)	(0.00175)	(0.00182)	(0.000409)	(0.000410)	(0.000409)	(0.000315)	(0.000315)	(0.000315)	(0.00387)	(0.00388)	(0.00395)	(0.00345)	(0.00347)	(0.00365)	(0.00172)	(0.00173)	(0.00179)	(0.000494)	(0.000495)	(0.000495)	(0.000372)	(0.000372)	(0.000372)	(0.00409)	(0.00409)	(0.00413)	(0.00377)	(0.00379)	(0.00397)	(0.00180)	(0.00181)	(0.00185)	(0.000591)	(0.000591)	(0.000591)	(0.000453)	(0.000453)	(0.000452)	(0.00439)	(0.00439)	(0.00441)	(0.00430)	(0.00432)	(0.00449)	(0.00197)	(0.00198)	(0.00202)	(0.000725)	(0.000725)	(0.000724)	(0.000562)	(0.000563)	(0.000562)	(0.00482)	(0.00482)	(0.00484)
agemay	0.0713***	0.0765***	0.129***	-0.00636*	-0.00402	0.0197***	-0.0782***	-0.0782***	-0.0782***	-0.0480***	-0.0480***	-0.0480***	0.366***	0.362***	0.325***	0.0342***	0.0403***	0.0766***	-0.0165***	-0.0143***	0.000870	-0.0228***	-0.0228***	-0.0229***	-0.0123***	-0.0123***	-0.0124***	0.340***	0.335***	0.312***	0.0287***	0.0351***	0.0649***	-0.0151***	-0.0131***	-0.000984	-0.0210***	-0.0211***	-0.0212***	-0.0119***	-0.0119***	-0.0120***	0.357***	0.353***	0.335***	0.0218***	0.0277***	0.0565***	-0.0165***	-0.0143***	-0.00352	-0.0210***	-0.0210***	-0.0212***	-0.0125***	-0.0126***	-0.0126***	0.358***	0.356***	0.342***	0.0211***	0.0265***	0.0556***	-0.0118***	-0.00959***	8.83e-05	-0.0211***	-0.0212***	-0.0214***	-0.0135***	-0.0136***	-0.0137***	0.345***	0.344***	0.332***	-0.00184	0.000892	0.0283***	-0.0170***	-0.0157***	-0.00801***	-0.0216***	-0.0216***	-0.0218***	-0.0147***	-0.0147***	-0.0148***	0.324***	0.324***	0.314***
	(0.00530)	(0.00531)	(0.00560)	(0.00342)	(0.00344)	(0.00357)	(0.00127)	(0.00127)	(0.00127)	(0.00118)	(0.00118)	(0.00118)	(0.00490)	(0.00491)	(0.00504)	(0.00384)	(0.00385)	(0.00406)	(0.00270)	(0.00271)	(0.00281)	(0.000665)	(0.000666)	(0.000665)	(0.000455)	(0.000455)	(0.000454)	(0.00358)	(0.00358)	(0.00368)	(0.00380)	(0.00382)	(0.00402)	(0.00247)	(0.00248)	(0.00258)	(0.000680)	(0.000680)	(0.000680)	(0.000488)	(0.000488)	(0.000488)	(0.00398)	(0.00399)	(0.00407)	(0.00419)	(0.00422)	(0.00443)	(0.00241)	(0.00242)	(0.00250)	(0.000824)	(0.000824)	(0.000824)	(0.000595)	(0.000595)	(0.000594)	(0.00457)	(0.00457)	(0.00463)	(0.00499)	(0.00501)	(0.00522)	(0.00256)	(0.00257)	(0.00263)	(0.00102)	(0.00102)	(0.00102)	(0.000783)	(0.000783)	(0.000782)	(0.00531)	(0.00531)	(0.00534)	(0.00639)	(0.00641)	(0.00667)	(0.00303)	(0.00304)	(0.00310)	(0.00137)	(0.00137)	(0.00137)	(0.00106)	(0.00106)	(0.00106)	(0.00652)	(0.00652)	(0.00654)
magesq	0.000307***	0.000272***	-0.000302***	0.000384***	0.000363***	0.000103**	0.000138***	0.000139***	0.000139***	5.09e-05***	5.12e-05***	5.11e-05***	-0.00516***	-0.00515***	-0.00480***	-3.22e-05	-7.24e-05	-0.000487***	0.000317***	0.000303***	0.000130***	0.000191***	0.000192***	0.000193***	9.14e-05***	9.17e-05***	9.26e-05***	-0.00489***	-0.00486***	-0.00462***	-2.32e-05	-6.99e-05	-0.000410***	0.000283***	0.000271***	0.000133***	0.000203***	0.000204***	0.000206***	0.000109***	0.000109***	0.000110***	-0.00471***	-0.00468***	-0.00449***	6.33e-05	1.74e-05	-0.000323***	0.000295***	0.000278***	0.000152***	0.000210***	0.000210***	0.000212***	0.000123***	0.000123***	0.000124***	-0.00437***	-0.00436***	-0.00420***	7.93e-05	3.65e-05	-0.000320***	0.000226***	0.000207***	9.10e-05***	0.000209***	0.000209***	0.000212***	0.000135***	0.000135***	0.000137***	-0.00398***	-0.00397***	-0.00383***	0.000370***	0.000357***	1.62e-05	0.000286***	0.000278***	0.000184***	0.000210***	0.000210***	0.000213***	0.000145***	0.000145***	0.000147***	-0.00361***	-0.00361***	-0.00349***
	(6.78e-05)	(6.80e-05)	(7.21e-05)	(4.71e-05)	(4.72e-05)	(4.92e-05)	(7.32e-06)	(7.33e-06)	(7.31e-06)	(4.69e-06)	(4.69e-06)	(4.68e-06)	(6.02e-05)	(6.04e-05)	(6.24e-05)	(5.50e-05)	(5.53e-05)	(5.87e-05)	(3.73e-05)	(3.74e-05)	(3.90e-05)	(8.49e-06)	(8.49e-06)	(8.48e-06)	(5.73e-06)	(5.73e-06)	(5.72e-06)	(5.60e-05)	(5.60e-05)	(5.79e-05)	(5.35e-05)	(5.38e-05)	(5.70e-05)	(3.37e-05)	(3.39e-05)	(3.53e-05)	(8.89e-06)	(8.89e-06)	(8.89e-06)	(6.38e-06)	(6.38e-06)	(6.38e-06)	(5.99e-05)	(6.00e-05)	(6.13e-05)	(5.73e-05)	(5.77e-05)	(6.08e-05)	(3.23e-05)	(3.25e-05)	(3.37e-05)	(1.07e-05)	(1.07e-05)	(1.07e-05)	(7.72e-06)	(7.72e-06)	(7.71e-06)	(6.58e-05)	(6.59e-05)	(6.68e-05)	(6.60e-05)	(6.63e-05)	(6.92e-05)	(3.35e-05)	(3.37e-05)	(3.45e-05)	(1.30e-05)	(1.30e-05)	(1.30e-05)	(9.93e-06)	(9.92e-06)	(9.91e-06)	(7.31e-05)	(7.32e-05)	(7.37e-05)	(8.21e-05)	(8.24e-05)	(8.58e-05)	(3.86e-05)	(3.88e-05)	(3.97e-05)	(1.70e-05)	(1.70e-05)	(1.70e-05)	(1.31e-05)	(1.31e-05)	(1.31e-05)	(8.66e-05)	(8.66e-05)	(8.70e-05)
