	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality
																																				
fert	-0.119***	-0.0787***	-0.0758***	-0.0435***	-0.0296***	-0.0286***	0.00711***	0.00690***	0.00687***	0.00497***	0.00490***	0.00488***	-0.0972***	-0.0631***	-0.0605***	-0.0351***	-0.0243***	-0.0235***	0.00813***	0.00800***	0.00798***	0.00579***	0.00576***	0.00575***	-0.133***	-0.0892***	-0.0867***	-0.0471***	-0.0316***	-0.0306***	0.00651***	0.00623***	0.00620***	0.00440***	0.00429***	0.00427***
	(0.00830)	(0.00666)	(0.00665)	(0.00372)	(0.00270)	(0.00265)	(0.00100)	(0.000954)	(0.000950)	(0.000669)	(0.000650)	(0.000648)	(0.00833)	(0.00700)	(0.00623)	(0.00448)	(0.00351)	(0.00314)	(0.00152)	(0.00148)	(0.00148)	(0.00101)	(0.00100)	(0.00100)	(0.00994)	(0.00790)	(0.00791)	(0.00452)	(0.00345)	(0.00340)	(0.00143)	(0.00139)	(0.00138)	(0.000934)	(0.000908)	(0.000904)
malec	-0.0244	-0.0145	-0.0124	-0.0127	-0.00683	-0.00570	0.00211***	0.00205***	0.00204***	0.00142***	0.00141***	0.00140***	-0.0134	-0.00528	-0.00296	-0.0167	-0.0122	-0.0106	0.00261***	0.00258***	0.00256***	0.00174***	0.00173***	0.00173***	-0.0333	-0.0221	-0.0204	-0.00975	-0.00310	-0.00217	0.00173***	0.00166***	0.00164***	0.00114***	0.00112***	0.00111***
	(0.0246)	(0.0258)	(0.0259)	(0.0129)	(0.0137)	(0.0137)	(0.000336)	(0.000336)	(0.000336)	(0.000210)	(0.000211)	(0.000211)	(0.0314)	(0.0306)	(0.0309)	(0.0149)	(0.0136)	(0.0137)	(0.000648)	(0.000641)	(0.000638)	(0.000386)	(0.000384)	(0.000383)	(0.0360)	(0.0384)	(0.0386)	(0.0172)	(0.0188)	(0.0190)	(0.000255)	(0.000244)	(0.000243)	(0.000163)	(0.000160)	(0.000159)
agemay	0.0839***	0.0491***	0.0419***	0.0243***	0.0100**	0.00741	-0.0141***	-0.0140***	-0.0139***	-0.00493***	-0.00490***	-0.00485***	0.0934***	0.0545**	0.0436*	0.0213***	0.00629	0.00243	-0.0208**	-0.0206**	-0.0205**	-0.00650***	-0.00648***	-0.00642***	0.0634***	0.0315**	0.0261**	0.0193**	0.00577	0.00358	-0.00829***	-0.00812***	-0.00804***	-0.00332***	-0.00327***	-0.00322***
	(0.0133)	(0.0125)	(0.0123)	(0.00433)	(0.00462)	(0.00457)	(0.00379)	(0.00377)	(0.00375)	(0.00116)	(0.00116)	(0.00115)	(0.0227)	(0.0223)	(0.0228)	(0.00342)	(0.00370)	(0.00352)	(0.00765)	(0.00759)	(0.00755)	(0.00227)	(0.00226)	(0.00224)	(0.0148)	(0.0132)	(0.0125)	(0.00804)	(0.00826)	(0.00818)	(0.00208)	(0.00203)	(0.00202)	(0.000819)	(0.000806)	(0.000800)
magesq	-0.000596***	-0.000199	-0.000143	-0.000174***	-1.17e-05	7.17e-06	0.000130***	0.000128***	0.000127***	3.20e-05***	3.17e-05***	3.13e-05***	-0.000627**	-0.000196	-8.66e-05	-0.000107**	5.89e-05	9.63e-05**	0.000196**	0.000194**	0.000192**	4.17e-05*	4.15e-05*	4.07e-05*	-0.000437**	-5.98e-05	-2.65e-05	-0.000148	1.29e-05	2.57e-05	7.22e-05***	7.01e-05***	6.96e-05***	2.05e-05***	1.99e-05***	1.96e-05***
	(0.000155)	(0.000154)	(0.000154)	(5.18e-05)	(6.05e-05)	(6.08e-05)	(4.03e-05)	(4.00e-05)	(3.99e-05)	(1.05e-05)	(1.05e-05)	(1.05e-05)	(0.000258)	(0.000260)	(0.000264)	(4.03e-05)	(4.69e-05)	(4.50e-05)	(8.19e-05)	(8.12e-05)	(8.07e-05)	(2.10e-05)	(2.09e-05)	(2.07e-05)	(0.000194)	(0.000185)	(0.000180)	(0.000100)	(0.000110)	(0.000109)	(1.96e-05)	(1.89e-05)	(1.89e-05)	(5.66e-06)	(5.49e-06)	(5.48e-06)
