	(1)	(2)	(3)	(4)	(5)
VARIABLES	twind100	twind100	twind100	twind100	twind100
					
agemay	-0.0501*	0.00421	-0.0927***	0.0151	-0.0696*
	(0.0257)	(0.0354)	(0.0288)	(0.0376)	(0.0402)
magesq	-0.00193***	-0.00324***	-0.000934*	-0.00355***	-0.000600
	(0.000444)	(0.000585)	(0.000459)	(0.000687)	(0.000571)
agefirstbirth	0.320***	0.331***	0.307***	0.356***	0.251***
	(0.0228)	(0.0357)	(0.0284)	(0.0278)	(0.0218)
educf	0.130***	0.179***	0.122**	0.155***	0.0575**
	(0.0317)	(0.0384)	(0.0482)	(0.0358)	(0.0268)
educfyrs_sq	-0.00275	-0.00921**	-0.00220	-0.00429*	0.00138
	(0.00190)	(0.00361)	(0.00275)	(0.00227)	(0.00190)
height	0.0619***	0.0635***	0.0598***	0.0681***	0.0435***
	(0.00707)	(0.00799)	(0.0107)	(0.00701)	(0.0101)
bmi	0.0647***	0.0821***	0.0574***	0.0646***	0.0610***
	(0.00857)	(0.0130)	(0.0105)	(0.0107)	(0.00862)
Constant	-11.73***	-11.70***	-11.44***	-17.13***	-8.606***
	(1.465)	(1.228)	(2.446)	(1.997)	(2.133)
					
Observations	2,271,991	923,607	1,342,903	1,660,246	611,745
R-squared	0.012	0.013	0.011	0.013	0.010
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
