	(1)	(2)	(3)	(4)	(5)
VARIABLES	idealnumkids	idealnumkids	idealnumkids	idealnumkids	idealnumkids
					
agemay	0.0599***	0.0823***	0.0426**	0.0489***	0.0838***
	(0.0163)	(0.0222)	(0.0200)	(0.0172)	(0.0175)
magesq	-0.000775***	-0.00111***	-0.000508**	-0.000594***	-0.00110***
	(0.000197)	(0.000270)	(0.000235)	(0.000221)	(0.000242)
agefirstbirth	-0.0114*	-0.0105	-0.0130	-0.0146**	-0.00233
	(0.00678)	(0.00939)	(0.00937)	(0.00629)	(0.00809)
educf	-0.145***	-0.132***	-0.135***	-0.143***	-0.148***
	(0.0214)	(0.0306)	(0.0283)	(0.0239)	(0.0190)
educfyrs_sq	0.00590***	0.00226	0.00573***	0.00575***	0.00596***
	(0.00104)	(0.00151)	(0.00122)	(0.00115)	(0.000953)
height	0.000111	0.000612	-0.000466	0.000608	-0.00213
	(0.00208)	(0.00360)	(0.00240)	(0.00223)	(0.00207)
bmi	-0.0152***	-0.0167**	-0.0132***	-0.0138***	-0.0166***
	(0.00333)	(0.00665)	(0.00394)	(0.00380)	(0.00279)
Constant	4.011***	2.635***	6.626***	3.017***	3.511***
	(0.495)	(0.578)	(1.095)	(0.524)	(0.492)
					
Observations	2,086,067	846,141	1,235,414	1,538,793	547,274
R-squared	0.465	0.415	0.417	0.476	0.443
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
