	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																		
fert	-0.148***	-0.149***	-0.142***	-0.143***	-0.127***	-0.128***	-0.109***	-0.110***	-0.150***	-0.151***	-0.150***	-0.151***	-0.144***	-0.144***	-0.129***	-0.130***	-0.150***	-0.151***	-0.150***	-0.151***	-0.144***	-0.144***	-0.129***	-0.130***	-0.111***	-0.112***	-0.150***	-0.151***	-0.144***	-0.144***	-0.129***	-0.130***	-0.111***	-0.112***
	(0.00112)	(0.00112)	(0.000937)	(0.000940)	(0.000956)	(0.000959)	(0.00104)	(0.00105)	(0.00114)	(0.00115)	(0.00114)	(0.00115)	(0.000963)	(0.000966)	(0.000985)	(0.000988)	(0.00114)	(0.00115)	(0.00114)	(0.00115)	(0.000963)	(0.000966)	(0.000985)	(0.000988)	(0.00108)	(0.00108)	(0.00114)	(0.00115)	(0.000963)	(0.000966)	(0.000985)	(0.000988)	(0.00108)	(0.00108)
twin_two_fam		0.108***								0.109***		0.109***						0.109***		0.109***								0.109***						
		(0.0145)								(0.0149)		(0.0149)						(0.0149)		(0.0149)								(0.0149)						
twin_three_fam				0.0945***										0.0983***								0.0983***								0.0983***				
				(0.0110)										(0.0113)								(0.0113)								(0.0113)				
twin_four_fam						0.0852***										0.0826***								0.0826***								0.0826***		
						(0.0103)										(0.0107)								(0.0107)								(0.0107)		
twin_five_fam								0.0898***																		0.0929***								0.0929***
								(0.0103)																		(0.0107)								(0.0107)
Constant	-0.328	-0.327	-0.995***	-0.992***	-0.903	-0.900	-1.009	-1.011	0.237	0.239	0.237	0.239	-0.357	-0.355	-1.296	-1.301	0.237	0.239	0.237	0.239	-0.357	-0.355	-1.296	-1.301	-0.908	-0.909	0.237	0.239	-0.357	-0.355	-1.296	-1.301	-0.908	-0.909
	(1,137)	(1,137)	(0.321)	(0.321)	(1,866)	(1,865)	(1,009)	(1,009)	(931.2)	(931.1)	(931.2)	(931.1)	(0.320)	(0.320)	(1,990)	(1,990)	(931.2)	(931.1)	(931.2)	(931.1)	(0.320)	(0.320)	(1,990)	(1,990)	(0.971)	(0.971)	(931.2)	(931.1)	(0.320)	(0.320)	(1,990)	(1,990)	(0.971)	(0.971)
																																		
Observations	447,682	447,682	666,035	666,035	675,492	675,492	594,035	594,035	431,185	431,185	431,185	431,185	639,411	639,411	645,329	645,329	431,185	431,185	431,185	431,185	639,411	639,411	645,329	645,329	564,712	564,712	431,185	431,185	639,411	639,411	645,329	645,329	564,712	564,712
R-squared	0.098	0.098	0.087	0.088	0.076	0.076	0.071	0.072	0.098	0.099	0.098	0.099	0.087	0.087	0.076	0.077	0.098	0.099	0.098	0.099	0.087	0.087	0.076	0.077	0.072	0.072	0.098	0.099	0.087	0.087	0.076	0.077	0.072	0.072
Standard errors in parentheses																																		
*** p<0.01, ** p<0.05, * p<0.1																																		
