	"est3"	"est2"	"est1"	"est6"	"est5"	"est4"	"est9"	"est8"	"est7"	"est12"	"est11"	"est10"
	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"	"b/se"
"fert"	0,002	-0,023	-0,025	-0,01	"-0.038*"	"-0.042**"	-0,016	-0,029	"-0.034*"	-0,015	-0,011	-0,022
	"(0.027)"	"(0.025)"	"(0.025)"	"(0.023)"	"(0.021)"	"(0.021)"	"(0.024)"	"(0.021)"	"(0.020)"	"(0.022)"	"(0.021)"	"(0.020)"
"Male Child"	"-0.030***"	"-0.021***"	"-0.020***"	"-0.019***"	-0,003	-0,002	0,002	"0.018***"	"0.020***"	"0.021***"	"0.034***"	"0.037***"
	"(0.005)"	"(0.005)"	"(0.005)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"	"(0.004)"
"motherage"		-0,018	-0,023		"0.063**"	"0.062**"		"0.055**"	"0.053**"		"0.053**"	"0.049**"
		"(0.026)"	"(0.026)"		"(0.025)"	"(0.025)"		"(0.025)"	"(0.025)"		"(0.024)"	"(0.024)"
"motheragesq"		"0.006***"	"0.006***"		-0,001	-0,001		-0,001	-0,001		-0,001	-0,001
		"(0.001)"	"(0.001)"		"(0.001)"	"(0.001)"		"(0.001)"	"(0.001)"		"(0.001)"	"(0.001)"
"motheragecub"		"-0.000***"	"-0.000***"		0	0		0	0		0	0
		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"
"Age First Birth"		"-0.070***"	"-0.070***"		"-0.008***"	"-0.008***"		"-0.005**"	-0,004		-0,003	-0,003
		"(0.005)"	"(0.005)"		"(0.002)"	"(0.002)"		"(0.002)"	"(0.002)"		"(0.002)"	"(0.002)"
"Mother's Education"		"0.123***"	"0.117***"		"0.125***"	"0.119***"		"0.133***"	"0.126***"		"0.130***"	"0.123***"
		"(0.003)"	"(0.003)"		"(0.002)"	"(0.002)"		"(0.002)"	"(0.002)"		"(0.002)"	"(0.002)"
"Mother's Education Squared"		"-0.004***"	"-0.004***"		"-0.004***"	"-0.004***"		"-0.004***"	"-0.004***"		"-0.004***"	"-0.004***"
		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"		"(0.000)"	"(0.000)"
"Height"			"0.005***"			"0.005***"			"0.005***"			"0.005***"
			"(0.000)"			"(0.000)"			"(0.000)"			"(0.000)"
"BMI"			"0.017***"			"0.019***"			"0.020***"			"0.022***"
			"(0.001)"			"(0.001)"			"(0.001)"			"(0.001)"
"r2"	0,04	0,17	0,17	0,04	0,16	0,17	0,05	0,15	0,16	0,05	0,14	0,15
"N"	258243	258243	258243	390985	390985	390985	403124	403124	403124	359164	359164	359164
