	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
															
fert	-0.119***	-0.111***	-0.0781***	-0.0850***	-0.0745***	-0.117***	-0.108***	-0.0767***	-0.0840***	-0.0722***	-0.125***	-0.119***	-0.0850***	-0.0910***	-0.0833***
	(0.000919)	(0.000909)	(0.000875)	(0.00104)	(0.000935)	(0.00120)	(0.00117)	(0.00112)	(0.00130)	(0.00121)	(0.00143)	(0.00143)	(0.00140)	(0.00170)	(0.00146)
fertXdesired					-0.00643***					-0.00745***					-0.00361***
					(0.000552)					(0.000684)					(0.000931)
motherage	0.159***	0.147***	0.101***	0.119***	0.105***	0.147***	0.124***	0.0776***	0.0926***	0.0829***	0.164***	0.160***	0.123***	0.144***	0.125***
	(0.00875)	(0.00867)	(0.00845)	(0.00881)	(0.00846)	(0.0106)	(0.0105)	(0.0102)	(0.0107)	(0.0102)	(0.0157)	(0.0156)	(0.0153)	(0.0157)	(0.0153)
motheragesq	-0.00428***	-0.00410***	-0.00272***	-0.00286***	-0.00292***	-0.00368***	-0.00312***	-0.00174***	-0.00197***	-0.00199***	-0.00467***	-0.00470***	-0.00365***	-0.00362***	-0.00375***
	(0.000330)	(0.000328)	(0.000319)	(0.000333)	(0.000320)	(0.000404)	(0.000398)	(0.000387)	(0.000408)	(0.000388)	(0.000585)	(0.000582)	(0.000571)	(0.000587)	(0.000572)
motheragecub	4.95e-05***	4.83e-05***	3.42e-05***	2.97e-05***	3.67e-05***	4.24e-05***	3.75e-05***	2.34e-05***	2.12e-05***	2.62e-05***	5.43e-05***	5.52e-05***	4.50e-05***	3.65e-05***	4.62e-05***
	(4.06e-06)	(4.02e-06)	(3.93e-06)	(4.11e-06)	(3.93e-06)	(4.99e-06)	(4.91e-06)	(4.78e-06)	(5.04e-06)	(4.78e-06)	(7.11e-06)	(7.09e-06)	(6.96e-06)	(7.19e-06)	(6.97e-06)
agefirstbirth	-0.00745***	-0.00565***	-0.0131***	-0.0148***	-0.0119***	-0.00735***	-0.00676***	-0.0139***	-0.0132***	-0.0125***	-0.00839***	-0.00632***	-0.0140***	-0.0197***	-0.0134***
	(0.000556)	(0.000549)	(0.000530)	(0.000696)	(0.000537)	(0.000756)	(0.000737)	(0.000697)	(0.000903)	(0.000706)	(0.000821)	(0.000819)	(0.000810)	(0.00108)	(0.000821)
educf			0.107***	0.107***	0.107***			0.106***	0.105***	0.105***			0.0914***	0.0914***	0.0912***
			(0.000934)	(0.000934)	(0.000934)			(0.00125)	(0.00125)	(0.00125)			(0.00150)	(0.00150)	(0.00150)
educfyrs_sq			-0.00364***	-0.00370***	-0.00362***			-0.00286***	-0.00292***	-0.00285***			-0.00305***	-0.00314***	-0.00304***
			(6.69e-05)	(6.69e-05)	(6.69e-05)			(0.000103)	(0.000103)	(0.000103)			(9.66e-05)	(9.67e-05)	(9.66e-05)
height		0.00828***	0.00414***	0.00411***	0.00415***		0.00921***	0.00560***	0.00558***	0.00560***		0.00697***	0.00236***	0.00230***	0.00236***
		(0.000231)	(0.000221)	(0.000221)	(0.000221)		(0.000297)	(0.000281)	(0.000281)	(0.000281)		(0.000363)	(0.000351)	(0.000351)	(0.000351)
bmi		0.0262***	0.0173***	0.0171***	0.0172***		0.0387***	0.0243***	0.0240***	0.0242***		0.0139***	0.00965***	0.00958***	0.00961***
		(0.000336)	(0.000322)	(0.000322)	(0.000322)		(0.000485)	(0.000468)	(0.000468)	(0.000468)		(0.000453)	(0.000439)	(0.000437)	(0.000439)
Constant	-1.079	-2.884	-1.746	-2.678	-1.784	-0.157	-2.331	-1.423	-2.202	-1.431	-0.939	-2.406	-1.584	-2.246	-1.595
					(1,078)		(6,213)		(13,352)		(3,196)				
															
Observations	1,059,351	1,059,351	1,059,351	1,059,351	1,059,351	651,145	651,145	651,145	651,145	651,145	408,206	408,206	408,206	408,206	408,206
R-squared	0.091	0.106	0.159	0.160	0.159	0.092	0.118	0.177	0.178	0.177	0.095	0.102	0.141	0.144	0.141
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
