	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
									
fert	-0.124***	-0.0848***	-0.0808***	-0.104***	-0.0680***	-0.0638***	-0.138***	-0.0965***	-0.0932***
	(0.000909)	(0.000868)	(0.000866)	(0.00152)	(0.00139)	(0.00137)	(0.00116)	(0.00113)	(0.00113)
motherage	0.140***	0.0951***	0.0915***	0.112***	0.0641***	0.0563***	0.150***	0.107***	0.104***
	(0.00713)	(0.00680)	(0.00680)	(0.0101)	(0.00949)	(0.00943)	(0.0102)	(0.00981)	(0.00982)
motheragesq	-0.00288***	-0.00194***	-0.00190***	-0.00170***	-0.000642*	-0.000463	-0.00360***	-0.00266***	-0.00265***
	(0.000277)	(0.000265)	(0.000265)	(0.000396)	(0.000374)	(0.000371)	(0.000393)	(0.000380)	(0.000380)
motheragecub	2.33e-05***	1.85e-05***	1.85e-05***	1.10e-05**	4.63e-06	3.24e-06	3.17e-05***	2.69e-05***	2.69e-05***
	(3.50e-06)	(3.36e-06)	(3.36e-06)	(5.01e-06)	(4.76e-06)	(4.72e-06)	(4.95e-06)	(4.80e-06)	(4.80e-06)
agefirstbirth	-0.00534***	-0.0133***	-0.0128***	-0.00650***	-0.0131***	-0.0125***	-0.00461***	-0.0135***	-0.0130***
	(0.000656)	(0.000624)	(0.000619)	(0.00101)	(0.000943)	(0.000933)	(0.000864)	(0.000831)	(0.000827)
educf		0.115***	0.108***		0.107***	0.100***		0.106***	0.100***
		(0.000861)	(0.000862)		(0.00174)	(0.00171)		(0.00102)	(0.00102)
educfyrs_sq		-0.00369***	-0.00349***		-0.000939***	-0.00117***		-0.00352***	-0.00334***
		(6.19e-05)	(6.19e-05)		(0.000161)	(0.000159)		(6.94e-05)	(6.95e-05)
height			0.00432***			0.00525***			0.00387***
			(0.000204)			(0.000323)			(0.000263)
bmi			0.0177***			0.0292***			0.0130***
			(0.000295)			(0.000583)			(0.000339)
Constant	0.829	0.561	-0.554	0.349*	-0.275	-1.974***	1.058	0.910	-0.0324
	(0.715)	(0.495)	(0.467)	(0.203)	(0.176)	(0.183)	(0.700)	(0.629)	(0.600)
									
Observations	1,334,928	1,334,928	1,334,928	514,638	514,638	514,638	818,126	818,126	818,126
R-squared	0.098	0.162	0.169	0.089	0.168	0.180	0.108	0.165	0.169
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
