	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
												
fert	-0.115***	-0.0777***	-0.0751***	-0.0717***	-0.110***	-0.0734***	-0.0712***	-0.0668***	-0.125***	-0.0875***	-0.0854***	-0.0839***
	(0.000815)	(0.000776)	(0.000771)	(0.000838)	(0.00106)	(0.000988)	(0.000975)	(0.00107)	(0.00128)	(0.00126)	(0.00126)	(0.00134)
fertXdesired				-0.00558***				-0.00674***				-0.00266***
				(0.000495)				(0.000608)				(0.000846)
motherage	0.136***	0.0924***	0.0877***	0.0904***	0.115***	0.0671***	0.0588***	0.0622***	0.177***	0.144***	0.142***	0.143***
	(0.00695)	(0.00667)	(0.00665)	(0.00666)	(0.00839)	(0.00800)	(0.00796)	(0.00796)	(0.0126)	(0.0122)	(0.0122)	(0.0122)
motheragesq	-0.00338***	-0.00222***	-0.00219***	-0.00234***	-0.00251***	-0.00120***	-0.00105***	-0.00122***	-0.00509***	-0.00424***	-0.00429***	-0.00436***
	(0.000270)	(0.000260)	(0.000259)	(0.000259)	(0.000329)	(0.000314)	(0.000312)	(0.000313)	(0.000480)	(0.000467)	(0.000467)	(0.000468)
motheragecub	3.81e-05***	2.74e-05***	2.74e-05***	2.93e-05***	2.78e-05***	1.56e-05***	1.44e-05***	1.64e-05***	5.86e-05***	5.09e-05***	5.18e-05***	5.27e-05***
	(3.41e-06)	(3.28e-06)	(3.27e-06)	(3.28e-06)	(4.18e-06)	(4.00e-06)	(3.97e-06)	(3.98e-06)	(5.96e-06)	(5.82e-06)	(5.81e-06)	(5.82e-06)
agefirstbirth	-0.00426***	-0.0134***	-0.0117***	-0.0107***	-0.00394***	-0.0132***	-0.0120***	-0.0107***	-0.00544***	-0.0146***	-0.0131***	-0.0126***
	(0.000491)	(0.000466)	(0.000464)	(0.000472)	(0.000652)	(0.000604)	(0.000598)	(0.000609)	(0.000742)	(0.000727)	(0.000727)	(0.000743)
educf		0.115***	0.109***	0.108***		0.115***	0.108***	0.107***		0.0962***	0.0926***	0.0925***
		(0.000861)	(0.000862)	(0.000862)		(0.00116)	(0.00115)	(0.00115)		(0.00140)	(0.00140)	(0.00140)
educfyrs_sq		-0.00365***	-0.00344***	-0.00342***		-0.00269***	-0.00276***	-0.00275***		-0.00301***	-0.00287***	-0.00286***
		(6.19e-05)	(6.18e-05)	(6.18e-05)		(9.66e-05)	(9.61e-05)	(9.59e-05)		(8.93e-05)	(8.94e-05)	(8.95e-05)
height			0.00433***	0.00433***			0.00561***	0.00561***			0.00265***	0.00265***
			(0.000205)	(0.000205)			(0.000258)	(0.000258)			(0.000331)	(0.000331)
bmi			0.0179***	0.0178***			0.0254***	0.0253***			0.00943***	0.00939***
			(0.000295)	(0.000295)			(0.000418)	(0.000418)			(0.000410)	(0.000410)
Constant	-3.719	-2.847	-3.647	-3.684	-0.121	0.182	-1.187	-1.220	-0.436	-0.512	-1.194	-1.196
				(11,065)		(12,801)						(1,586)
												
Observations	1,334,874	1,334,874	1,334,874	1,334,874	831,476	831,476	831,476	831,476	503,398	503,398	503,398	503,398
R-squared	0.094	0.161	0.167	0.168	0.091	0.171	0.181	0.182	0.106	0.154	0.156	0.156
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
