	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
									
fert	-0.121***	-0.0844***	-0.0803***	-0.100***	-0.0677***	-0.0639***	-0.136***	-0.0973***	-0.0937***
	(0.00106)	(0.00102)	(0.00101)	(0.00174)	(0.00159)	(0.00158)	(0.00136)	(0.00134)	(0.00133)
motherage	0.127***	0.0902***	0.0849***	0.126***	0.0815***	0.0701***	0.116***	0.0866***	0.0838***
	(0.0101)	(0.00986)	(0.00984)	(0.0141)	(0.0136)	(0.0136)	(0.0146)	(0.0142)	(0.0142)
motheragesq	-0.00256***	-0.00181***	-0.00169***	-0.00239***	-0.00140***	-0.00109**	-0.00247***	-0.00191***	-0.00187***
	(0.000378)	(0.000368)	(0.000367)	(0.000530)	(0.000513)	(0.000509)	(0.000540)	(0.000528)	(0.000528)
motheragecub	2.03e-05***	1.71e-05***	1.61e-05***	2.00e-05***	1.39e-05**	1.11e-05*	1.89e-05***	1.78e-05***	1.75e-05***
	(4.58e-06)	(4.47e-06)	(4.46e-06)	(6.45e-06)	(6.25e-06)	(6.21e-06)	(6.53e-06)	(6.39e-06)	(6.39e-06)
agefirstbirth	-0.00285***	-0.0114***	-0.0113***	-0.00502***	-0.0115***	-0.0112***	-0.00107	-0.0114***	-0.0113***
	(0.000818)	(0.000779)	(0.000773)	(0.00119)	(0.00112)	(0.00111)	(0.00113)	(0.00108)	(0.00108)
educf		0.114***	0.107***		0.104***	0.0973***		0.106***	0.100***
		(0.00103)	(0.00103)		(0.00205)	(0.00202)		(0.00122)	(0.00122)
educfyrs_sq		-0.00371***	-0.00351***		-0.000654***	-0.000933***		-0.00361***	-0.00342***
		(7.77e-05)	(7.76e-05)		(0.000200)	(0.000197)		(8.72e-05)	(8.73e-05)
height			0.00431***			0.00511***			0.00392***
			(0.000236)			(0.000366)			(0.000309)
bmi			0.0186***			0.0294***			0.0139***
			(0.000342)			(0.000661)			(0.000397)
Constant	-1.262	-1.700	-2.676	0.394	-0.258	-1.933***	0.908	0.392	-0.565
	(5,163)		(16,529)	(0.272)	(0.243)	(0.263)			
									
Observations	979,883	979,883	979,883	393,183	393,183	393,183	585,129	585,129	585,129
R-squared	0.090	0.150	0.157	0.082	0.153	0.166	0.101	0.153	0.158
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
