	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																
T_After_region									-0.00524	-0.000357	-0.0155	-0.0160	0.0127	0.0128	0.0122	0.0123	-0.108***	-0.130***	-0.0293	-0.0362	0.00469	0.00472	0.00473	0.00472	-0.117***	-0.139***	-0.0422**	-0.0519**	0.0111***	0.0111***	0.0122***	0.0123***	-0.132***	-0.173***	-0.00164	-0.0192	0.0122***	0.0126***	0.0131***	0.0132***	-0.118***	-0.157***	-0.0424***	-0.0557***	0.0157***	0.0158***	0.0158***	0.0159***
									(0.0583)	(0.0605)	(0.0349)	(0.0357)	(0.00878)	(0.00877)	(0.00879)	(0.00878)	(0.0392)	(0.0395)	(0.0238)	(0.0235)	(0.00291)	(0.00290)	(0.00289)	(0.00289)	(0.0339)	(0.0351)	(0.0196)	(0.0203)	(0.00351)	(0.00351)	(0.00347)	(0.00347)	(0.0323)	(0.0342)	(0.0164)	(0.0172)	(0.00334)	(0.00335)	(0.00322)	(0.00322)	(0.0218)	(0.0230)	(0.0125)	(0.0130)	(0.00356)	(0.00356)	(0.00334)	(0.00334)
malec	-0.0693***	-0.0777***	-0.0158***	-0.0229***	0.000118	0.000146	4.27e-05	6.38e-05	-0.0661***	-0.0801***	-0.0173***	-0.0264***	0.000852**	0.000884**	0.000493	0.000509	-0.0464***	-0.0636***	-0.0143***	-0.0255***	0.00200***	0.00204***	0.00231***	0.00232***	-0.0224***	-0.0391***	-0.0139***	-0.0239***	0.00117	0.00125*	0.00155***	0.00160***	-0.00137	-0.0206**	-0.00338	-0.0127**	0.00244***	0.00250***	0.00274***	0.00277***	0.0204**	0.00991	0.00631	0.000236	0.00195*	0.00203*	0.00118	0.00122
	(0.00703)	(0.00724)	(0.00442)	(0.00458)	(0.000242)	(0.000242)	(0.000221)	(0.000221)	(0.00591)	(0.00613)	(0.00393)	(0.00405)	(0.000361)	(0.000363)	(0.000313)	(0.000315)	(0.00630)	(0.00662)	(0.00429)	(0.00448)	(0.000516)	(0.000516)	(0.000450)	(0.000451)	(0.00697)	(0.00729)	(0.00452)	(0.00468)	(0.000749)	(0.000752)	(0.000594)	(0.000596)	(0.00775)	(0.00817)	(0.00481)	(0.00502)	(0.000932)	(0.000932)	(0.000779)	(0.000779)	(0.00894)	(0.00933)	(0.00519)	(0.00536)	(0.00119)	(0.00118)	(0.000993)	(0.000993)
agemay	0.0271***	0.0710***	0.0218***	0.0502***	-0.00307***	-0.00323***	-0.00274***	-0.00287***	0.0546***	0.0956***	0.0192***	0.0381***	-0.00494***	-0.00507***	-0.00390***	-0.00397***	0.0560***	0.103***	0.0349***	0.0608***	-0.00686***	-0.00710***	-0.00542***	-0.00554***	0.0332***	0.0748***	-0.0142**	0.00921	-0.0102***	-0.0104***	-0.00786***	-0.00798***	0.0465***	0.0841***	0.0119*	0.0323***	-0.0121***	-0.0124***	-0.0104***	-0.0106***	0.0379***	0.0709***	-0.00384	0.00867	-0.00909***	-0.00932***	-0.00752***	-0.00763***
	(0.00734)	(0.00745)	(0.00775)	(0.00792)	(0.000258)	(0.000258)	(0.000244)	(0.000244)	(0.00598)	(0.00619)	(0.00639)	(0.00656)	(0.000392)	(0.000390)	(0.000354)	(0.000352)	(0.00647)	(0.00673)	(0.00637)	(0.00662)	(0.000581)	(0.000578)	(0.000523)	(0.000520)	(0.00767)	(0.00804)	(0.00627)	(0.00649)	(0.000940)	(0.000941)	(0.000744)	(0.000743)	(0.00924)	(0.00965)	(0.00660)	(0.00680)	(0.00129)	(0.00128)	(0.00115)	(0.00115)	(0.0125)	(0.0131)	(0.00760)	(0.00783)	(0.00181)	(0.00180)	(0.00155)	(0.00154)
magesq	-0.000128	-0.000702***	-0.000196**	-0.000540***	1.55e-05***	1.75e-05***	1.61e-05***	1.77e-05***	-0.000487***	-0.000959***	-0.000149*	-0.000370***	3.98e-05***	4.14e-05***	3.40e-05***	3.49e-05***	-0.000405***	-0.000952***	-0.000351***	-0.000666***	5.93e-05***	6.23e-05***	4.95e-05***	5.11e-05***	-4.47e-05	-0.000504***	0.000299***	3.31e-05	9.92e-05***	0.000102***	7.87e-05***	8.01e-05***	-0.000187	-0.000574***	-4.60e-05	-0.000260***	0.000115***	0.000118***	0.000108***	0.000110***	-0.000131	-0.000499***	0.000134	1.54e-06	7.66e-05***	7.91e-05***	6.91e-05***	7.04e-05***
	(0.000101)	(0.000103)	(9.62e-05)	(9.83e-05)	(3.67e-06)	(3.64e-06)	(3.46e-06)	(3.44e-06)	(8.19e-05)	(8.48e-05)	(8.04e-05)	(8.26e-05)	(5.63e-06)	(5.60e-06)	(5.10e-06)	(5.06e-06)	(8.93e-05)	(9.35e-05)	(8.11e-05)	(8.47e-05)	(7.90e-06)	(7.88e-06)	(7.13e-06)	(7.10e-06)	(0.000103)	(0.000109)	(8.07e-05)	(8.38e-05)	(1.24e-05)	(1.24e-05)	(9.90e-06)	(9.89e-06)	(0.000122)	(0.000128)	(8.44e-05)	(8.73e-05)	(1.66e-05)	(1.65e-05)	(1.48e-05)	(1.47e-05)	(0.000160)	(0.000167)	(9.56e-05)	(9.88e-05)	(2.27e-05)	(2.26e-05)	(1.94e-05)	(1.93e-05)
