	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
T_After_region									-0.0216	0.0152	-0.0637	-0.0620	-0.00437***	-0.00438***	-0.00368***	-0.00366***	0.0364	0.00324	0.00171	-0.0218	-0.00772***	-0.00769***	-0.00617***	-0.00619***	-0.102**	-0.0491	-0.0277	0.00128	-0.000724	-0.000956	0.00123	0.00124	-0.102**	-0.118***	-0.0241	-0.0290	-0.00420	-0.00392	-0.00215	-0.00201	-0.0531	-0.0742**	-0.0167	-0.0248	-0.00435	-0.00441	-0.00254	-0.00264	-0.124***	-0.138***	-0.0378**	-0.0431***	-0.00599	-0.00636	0.000506	0.000281
									(0.134)	(0.137)	(0.0694)	(0.0642)	(0.000700)	(0.000723)	(0.000640)	(0.000660)	(0.0602)	(0.0608)	(0.0326)	(0.0324)	(0.000630)	(0.000614)	(0.000526)	(0.000518)	(0.0440)	(0.0470)	(0.0249)	(0.0260)	(0.00400)	(0.00401)	(0.00385)	(0.00386)	(0.0418)	(0.0425)	(0.0227)	(0.0231)	(0.00353)	(0.00353)	(0.00313)	(0.00312)	(0.0337)	(0.0353)	(0.0180)	(0.0186)	(0.00366)	(0.00366)	(0.00321)	(0.00321)	(0.0315)	(0.0329)	(0.0162)	(0.0167)	(0.00408)	(0.00407)	(0.00393)	(0.00392)
malec	-0.0727***	-0.0798***	-0.0174***	-0.0238***	4.21e-05	7.55e-05	-1.79e-06	2.10e-05	-0.0762***	-0.0909***	-0.0197***	-0.0291***	0.000525	0.000553	0.000306	0.000324	-0.0524***	-0.0696***	-0.0125***	-0.0237***	0.00230***	0.00232***	0.00226***	0.00226***	-0.0311***	-0.0486***	-0.0129***	-0.0234***	0.00102	0.00108	0.00141**	0.00143**	-0.00673	-0.0252***	-0.00457	-0.0138***	0.00188**	0.00194**	0.00236***	0.00240***	0.0182*	0.00818	0.00512	-0.000893	0.00191	0.00197*	0.000734	0.000754	0.0217*	0.0131	0.00442	-0.00185	0.00203	0.00200	0.00195	0.00195
	(0.00793)	(0.00812)	(0.00496)	(0.00511)	(0.000247)	(0.000246)	(0.000231)	(0.000231)	(0.00656)	(0.00676)	(0.00425)	(0.00437)	(0.000339)	(0.000339)	(0.000307)	(0.000308)	(0.00689)	(0.00720)	(0.00456)	(0.00474)	(0.000515)	(0.000515)	(0.000464)	(0.000464)	(0.00758)	(0.00791)	(0.00486)	(0.00503)	(0.000700)	(0.000700)	(0.000586)	(0.000588)	(0.00815)	(0.00859)	(0.00506)	(0.00526)	(0.000937)	(0.000938)	(0.000783)	(0.000783)	(0.00948)	(0.00987)	(0.00549)	(0.00566)	(0.00119)	(0.00119)	(0.000987)	(0.000987)	(0.0112)	(0.0116)	(0.00613)	(0.00630)	(0.00152)	(0.00152)	(0.00128)	(0.00128)
agemay	-0.0129	0.0245***	0.0157*	0.0439***	-0.00157***	-0.00173***	-0.00153***	-0.00165***	0.0328***	0.0712***	0.0198***	0.0386***	-0.00304***	-0.00310***	-0.00266***	-0.00271***	0.0531***	0.100***	0.0436***	0.0688***	-0.00433***	-0.00450***	-0.00336***	-0.00344***	0.0301***	0.0735***	-0.0147**	0.00920	-0.00701***	-0.00717***	-0.00529***	-0.00536***	0.0527***	0.0916***	0.0175**	0.0385***	-0.0101***	-0.0103***	-0.00818***	-0.00835***	0.0485***	0.0837***	-0.000862	0.0119	-0.00602***	-0.00630***	-0.00504***	-0.00517***	0.00586	0.0322*	-0.0192*	-0.00859	-0.00872***	-0.00875***	-0.00709***	-0.00701***
	(0.00873)	(0.00877)	(0.00935)	(0.00950)	(0.000286)	(0.000287)	(0.000275)	(0.000276)	(0.00710)	(0.00730)	(0.00720)	(0.00738)	(0.000380)	(0.000377)	(0.000349)	(0.000346)	(0.00737)	(0.00765)	(0.00717)	(0.00743)	(0.000572)	(0.000571)	(0.000527)	(0.000526)	(0.00852)	(0.00890)	(0.00700)	(0.00726)	(0.000872)	(0.000870)	(0.000708)	(0.000705)	(0.00986)	(0.0103)	(0.00711)	(0.00732)	(0.00132)	(0.00131)	(0.00118)	(0.00117)	(0.0135)	(0.0140)	(0.00820)	(0.00843)	(0.00175)	(0.00174)	(0.00149)	(0.00148)	(0.0184)	(0.0188)	(0.0104)	(0.0105)	(0.00266)	(0.00266)	(0.00226)	(0.00226)
magesq	0.000324***	-0.000166	-0.000125	-0.000466***	9.12e-06**	1.11e-05***	9.87e-06***	1.15e-05***	-0.000286***	-0.000736***	-0.000162*	-0.000385***	2.41e-05***	2.51e-05***	2.24e-05***	2.32e-05***	-0.000398***	-0.000954***	-0.000458***	-0.000767***	3.35e-05***	3.56e-05***	2.64e-05***	2.74e-05***	-2.61e-05	-0.000515***	0.000303***	3.04e-05	6.47e-05***	6.65e-05***	5.03e-05***	5.13e-05***	-0.000262**	-0.000668***	-0.000117	-0.000339***	9.52e-05***	9.79e-05***	8.27e-05***	8.47e-05***	-0.000253	-0.000649***	0.000100	-3.50e-05	4.21e-05*	4.52e-05**	3.98e-05**	4.14e-05**	0.000328	4.24e-05	0.000310**	0.000198	7.03e-05**	7.05e-05**	6.32e-05**	6.18e-05**
	(0.000117)	(0.000118)	(0.000115)	(0.000116)	(3.92e-06)	(3.89e-06)	(3.73e-06)	(3.71e-06)	(9.56e-05)	(9.82e-05)	(9.01e-05)	(9.24e-05)	(5.29e-06)	(5.28e-06)	(4.84e-06)	(4.82e-06)	(0.000101)	(0.000105)	(9.09e-05)	(9.46e-05)	(7.81e-06)	(7.80e-06)	(7.25e-06)	(7.24e-06)	(0.000114)	(0.000120)	(8.96e-05)	(9.33e-05)	(1.15e-05)	(1.15e-05)	(9.42e-06)	(9.39e-06)	(0.000130)	(0.000136)	(9.08e-05)	(9.37e-05)	(1.69e-05)	(1.69e-05)	(1.51e-05)	(1.51e-05)	(0.000172)	(0.000179)	(0.000103)	(0.000106)	(2.21e-05)	(2.20e-05)	(1.87e-05)	(1.86e-05)	(0.000230)	(0.000236)	(0.000128)	(0.000130)	(3.26e-05)	(3.26e-05)	(2.76e-05)	(2.76e-05)
