	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																
T_Twin	-0.0582***	-0.0519***	0.0237**	0.0289**	0.00626***	0.00622***	0.00625***	0.00622***	-0.0578***	-0.0619***	-0.00981	-0.0113	0.00985***	0.00981***	0.00943***	0.00941***	-0.0433***	-0.0521***	-0.0113	-0.0151*	0.0142***	0.0141***	0.0144***	0.0143***	-0.0550***	-0.0517***	-0.0186***	-0.0204***	0.0104***	0.0103***	0.0103***	0.0102***	-0.0373***	-0.0364***	-0.00858	-0.00864	0.0168***	0.0168***	0.0153***	0.0152***	-0.0348***	-0.0237**	-0.00940	-0.00459	0.0132***	0.0130***	0.0144***	0.0143***
	(0.0184)	(0.0189)	(0.0116)	(0.0119)	(0.00122)	(0.00122)	(0.00118)	(0.00118)	(0.0123)	(0.0129)	(0.00903)	(0.00934)	(0.00136)	(0.00136)	(0.00130)	(0.00130)	(0.0118)	(0.0123)	(0.00803)	(0.00822)	(0.00151)	(0.00151)	(0.00143)	(0.00143)	(0.0107)	(0.0114)	(0.00699)	(0.00732)	(0.00135)	(0.00135)	(0.00121)	(0.00121)	(0.0107)	(0.0114)	(0.00608)	(0.00643)	(0.00166)	(0.00166)	(0.00148)	(0.00148)	(0.0102)	(0.0108)	(0.00581)	(0.00608)	(0.00175)	(0.00175)	(0.00158)	(0.00158)
malec	-0.0651***	-0.0730***	-0.0143***	-0.0207***	0.000471*	0.000491*	0.000462*	0.000475**	-0.0616***	-0.0746***	-0.0198***	-0.0286***	0.000927***	0.000950***	0.000532*	0.000549*	-0.0359***	-0.0533***	-0.0110***	-0.0228***	0.00179***	0.00183***	0.00185***	0.00186***	-0.00975*	-0.0263***	-0.0101***	-0.0194***	0.00119**	0.00125**	0.00163***	0.00166***	0.0149***	-0.00147	0.00232	-0.00653*	0.00135*	0.00142**	0.00160***	0.00163***	0.0430***	0.0330***	0.00948***	0.00359	0.00248***	0.00256***	0.00185***	0.00190***
	(0.00634)	(0.00655)	(0.00399)	(0.00414)	(0.000263)	(0.000263)	(0.000237)	(0.000238)	(0.00503)	(0.00523)	(0.00331)	(0.00342)	(0.000324)	(0.000325)	(0.000282)	(0.000283)	(0.00500)	(0.00527)	(0.00340)	(0.00356)	(0.000434)	(0.000434)	(0.000375)	(0.000375)	(0.00530)	(0.00556)	(0.00344)	(0.00358)	(0.000563)	(0.000564)	(0.000451)	(0.000451)	(0.00563)	(0.00592)	(0.00339)	(0.00353)	(0.000700)	(0.000700)	(0.000577)	(0.000576)	(0.00622)	(0.00650)	(0.00351)	(0.00363)	(0.000844)	(0.000845)	(0.000697)	(0.000697)
agemay	0.0271***	0.0724***	0.0169**	0.0441***	-0.00482***	-0.00498***	-0.00397***	-0.00408***	0.0526***	0.0939***	0.0159***	0.0333***	-0.00601***	-0.00615***	-0.00460***	-0.00469***	0.0553***	0.100***	0.0335***	0.0570***	-0.00864***	-0.00885***	-0.00656***	-0.00667***	0.0313***	0.0709***	-0.0150***	0.00760	-0.0102***	-0.0104***	-0.00705***	-0.00713***	0.0511***	0.0904***	0.00369	0.0230***	-0.0125***	-0.0128***	-0.0103***	-0.0105***	0.0247***	0.0576***	-0.0126**	0.00173	-0.0127***	-0.0130***	-0.00975***	-0.00994***
	(0.00639)	(0.00651)	(0.00683)	(0.00700)	(0.000295)	(0.000294)	(0.000276)	(0.000275)	(0.00490)	(0.00508)	(0.00528)	(0.00543)	(0.000348)	(0.000347)	(0.000312)	(0.000311)	(0.00501)	(0.00522)	(0.00486)	(0.00505)	(0.000486)	(0.000485)	(0.000429)	(0.000428)	(0.00570)	(0.00596)	(0.00462)	(0.00480)	(0.000716)	(0.000715)	(0.000570)	(0.000568)	(0.00671)	(0.00702)	(0.00455)	(0.00469)	(0.000989)	(0.000985)	(0.000860)	(0.000857)	(0.00862)	(0.00898)	(0.00504)	(0.00521)	(0.00136)	(0.00136)	(0.00115)	(0.00115)
magesq	-0.000118	-0.000701***	-0.000129	-0.000454***	3.23e-05***	3.43e-05***	2.88e-05***	3.02e-05***	-0.000473***	-0.000940***	-0.000116*	-0.000318***	5.16e-05***	5.33e-05***	4.16e-05***	4.28e-05***	-0.000395***	-0.000894***	-0.000332***	-0.000606***	7.90e-05***	8.15e-05***	6.24e-05***	6.37e-05***	2.66e-06	-0.000409***	0.000306***	5.71e-05	9.67e-05***	9.85e-05***	6.71e-05***	6.80e-05***	-0.000237***	-0.000644***	6.17e-05	-0.000142**	0.000117***	0.000120***	0.000106***	0.000107***	8.56e-05	-0.000262**	0.000251***	0.000101	0.000115***	0.000118***	9.41e-05***	9.61e-05***
	(8.75e-05)	(8.97e-05)	(8.48e-05)	(8.71e-05)	(3.97e-06)	(3.94e-06)	(3.71e-06)	(3.68e-06)	(6.71e-05)	(6.97e-05)	(6.62e-05)	(6.83e-05)	(4.90e-06)	(4.88e-06)	(4.40e-06)	(4.38e-06)	(6.92e-05)	(7.26e-05)	(6.19e-05)	(6.46e-05)	(6.58e-06)	(6.57e-06)	(5.80e-06)	(5.79e-06)	(7.72e-05)	(8.12e-05)	(5.96e-05)	(6.20e-05)	(9.43e-06)	(9.42e-06)	(7.53e-06)	(7.52e-06)	(8.84e-05)	(9.29e-05)	(5.82e-05)	(6.02e-05)	(1.27e-05)	(1.27e-05)	(1.10e-05)	(1.10e-05)	(0.000110)	(0.000115)	(6.36e-05)	(6.58e-05)	(1.70e-05)	(1.70e-05)	(1.44e-05)	(1.44e-05)
