	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
T_Twin	-0.0500	-0.0558	-0.0165	-0.0131	-0.00533***	-0.00532***	-0.00463***	-0.00463***	-0.0156	-0.0124	0.00450	0.00885	-0.00643***	-0.00647***	-0.00509***	-0.00511***	-0.0118	-0.0208	-0.00439	-0.00862	-0.00624***	-0.00629***	-0.00260*	-0.00264*	-0.0418***	-0.0478***	-0.0176**	-0.0229**	-0.00818***	-0.00825***	-0.00360**	-0.00365**	-0.0283**	-0.0336**	0.00146	-0.000108	-0.00880***	-0.00879***	-0.00484***	-0.00483***	-0.0273**	-0.0275*	-0.00402	-0.00209	-0.0148***	-0.0149***	-0.00714***	-0.00724***	-0.00626	-0.00528	-0.00229	-0.00391	-0.00586*	-0.00605**	-0.00226	-0.00240
	(0.0406)	(0.0415)	(0.0272)	(0.0285)	(0.00185)	(0.00185)	(0.00146)	(0.00145)	(0.0182)	(0.0192)	(0.0131)	(0.0136)	(0.00125)	(0.00125)	(0.000939)	(0.000939)	(0.0169)	(0.0176)	(0.0108)	(0.0110)	(0.00169)	(0.00169)	(0.00154)	(0.00154)	(0.0145)	(0.0156)	(0.00885)	(0.00924)	(0.00182)	(0.00183)	(0.00161)	(0.00162)	(0.0141)	(0.0151)	(0.00747)	(0.00791)	(0.00211)	(0.00210)	(0.00177)	(0.00177)	(0.0137)	(0.0146)	(0.00706)	(0.00738)	(0.00205)	(0.00205)	(0.00179)	(0.00179)	(0.0164)	(0.0170)	(0.00766)	(0.00790)	(0.00304)	(0.00304)	(0.00259)	(0.00259)
malec	-0.0650***	-0.0730***	-0.0135***	-0.0198***	0.000405	0.000425	0.000391*	0.000404*	-0.0605***	-0.0734***	-0.0191***	-0.0278***	0.000877***	0.000896***	0.000460*	0.000474*	-0.0360***	-0.0532***	-0.0110***	-0.0225***	0.00169***	0.00172***	0.00183***	0.00184***	-0.00872	-0.0253***	-0.0101***	-0.0196***	0.000834	0.000881	0.00119***	0.00121***	0.0147**	-0.00196	0.00114	-0.00774**	0.00123*	0.00129*	0.00144**	0.00147***	0.0436***	0.0337***	0.00843**	0.00240	0.00211**	0.00219***	0.00129*	0.00133*	0.0487***	0.0363***	0.00915**	0.00212	0.00128	0.00133	0.000937	0.000978
	(0.00642)	(0.00663)	(0.00404)	(0.00420)	(0.000262)	(0.000262)	(0.000235)	(0.000236)	(0.00509)	(0.00529)	(0.00334)	(0.00346)	(0.000319)	(0.000320)	(0.000275)	(0.000276)	(0.00506)	(0.00533)	(0.00344)	(0.00360)	(0.000426)	(0.000426)	(0.000364)	(0.000364)	(0.00538)	(0.00565)	(0.00348)	(0.00363)	(0.000567)	(0.000568)	(0.000450)	(0.000450)	(0.00573)	(0.00602)	(0.00344)	(0.00358)	(0.000699)	(0.000699)	(0.000568)	(0.000568)	(0.00638)	(0.00666)	(0.00357)	(0.00370)	(0.000845)	(0.000845)	(0.000688)	(0.000688)	(0.00737)	(0.00764)	(0.00395)	(0.00406)	(0.00106)	(0.00106)	(0.000882)	(0.000882)
agemay	0.0266***	0.0719***	0.0167**	0.0440***	-0.00473***	-0.00488***	-0.00385***	-0.00396***	0.0532***	0.0945***	0.0167***	0.0342***	-0.00583***	-0.00595***	-0.00442***	-0.00450***	0.0540***	0.0988***	0.0345***	0.0575***	-0.00835***	-0.00856***	-0.00620***	-0.00629***	0.0316***	0.0711***	-0.0133***	0.00937*	-0.0101***	-0.0102***	-0.00694***	-0.00700***	0.0522***	0.0906***	0.00401	0.0231***	-0.0124***	-0.0126***	-0.0101***	-0.0103***	0.0223**	0.0549***	-0.0133***	0.000713	-0.0117***	-0.0119***	-0.00879***	-0.00894***	0.0166	0.0442***	-0.0149**	-0.00365	-0.0134***	-0.0135***	-0.0116***	-0.0116***
	(0.00647)	(0.00659)	(0.00693)	(0.00710)	(0.000295)	(0.000295)	(0.000275)	(0.000274)	(0.00497)	(0.00515)	(0.00534)	(0.00550)	(0.000347)	(0.000345)	(0.000310)	(0.000309)	(0.00507)	(0.00529)	(0.00492)	(0.00512)	(0.000486)	(0.000485)	(0.000425)	(0.000423)	(0.00578)	(0.00606)	(0.00470)	(0.00487)	(0.000728)	(0.000727)	(0.000577)	(0.000575)	(0.00687)	(0.00718)	(0.00464)	(0.00479)	(0.000993)	(0.000989)	(0.000859)	(0.000855)	(0.00880)	(0.00916)	(0.00514)	(0.00531)	(0.00133)	(0.00133)	(0.00110)	(0.00109)	(0.0121)	(0.0124)	(0.00640)	(0.00647)	(0.00187)	(0.00187)	(0.00161)	(0.00161)
magesq	-0.000110	-0.000693***	-0.000127	-0.000455***	3.17e-05***	3.36e-05***	2.79e-05***	2.93e-05***	-0.000477***	-0.000945***	-0.000125*	-0.000329***	4.98e-05***	5.14e-05***	3.99e-05***	4.09e-05***	-0.000377***	-0.000874***	-0.000346***	-0.000615***	7.65e-05***	7.89e-05***	5.88e-05***	6.00e-05***	-2.93e-06	-0.000413***	0.000286***	3.59e-05	9.62e-05***	9.77e-05***	6.69e-05***	6.77e-05***	-0.000250***	-0.000646***	5.83e-05	-0.000142**	0.000119***	0.000121***	0.000106***	0.000107***	0.000116	-0.000229*	0.000264***	0.000117*	0.000104***	0.000107***	8.46e-05***	8.61e-05***	0.000204	-9.04e-05	0.000272***	0.000153*	0.000122***	0.000123***	0.000115***	0.000115***
	(8.87e-05)	(9.10e-05)	(8.61e-05)	(8.84e-05)	(3.98e-06)	(3.95e-06)	(3.70e-06)	(3.68e-06)	(6.81e-05)	(7.07e-05)	(6.70e-05)	(6.91e-05)	(4.89e-06)	(4.87e-06)	(4.38e-06)	(4.37e-06)	(7.02e-05)	(7.36e-05)	(6.27e-05)	(6.54e-05)	(6.54e-06)	(6.54e-06)	(5.72e-06)	(5.71e-06)	(7.84e-05)	(8.25e-05)	(6.06e-05)	(6.30e-05)	(9.59e-06)	(9.58e-06)	(7.63e-06)	(7.61e-06)	(9.06e-05)	(9.51e-05)	(5.95e-05)	(6.15e-05)	(1.28e-05)	(1.27e-05)	(1.10e-05)	(1.10e-05)	(0.000112)	(0.000117)	(6.49e-05)	(6.71e-05)	(1.66e-05)	(1.66e-05)	(1.37e-05)	(1.37e-05)	(0.000151)	(0.000156)	(7.95e-05)	(8.04e-05)	(2.30e-05)	(2.30e-05)	(1.98e-05)	(1.98e-05)
