	(1)	(2)	(3)	(4)	(5)
VARIABLES	threshold	threshold2	threshold3	threshold4	threshold5
					
motherage	0.000837	-0.0101	0.00151	0.00499	0.000544
	(0.00115)	(0.00624)	(0.00333)	(0.00304)	(0.00215)
motheragesq	-5.55e-05***	0.000136	6.46e-05	-1.79e-05	1.80e-05
	(1.94e-05)	(0.000147)	(7.86e-05)	(6.86e-05)	(4.70e-05)
agefirstbirth	0.00246***	0.00819*	-0.00404***	-0.00368***	-0.00162***
	(0.000516)	(0.00421)	(0.000917)	(0.000820)	(0.000471)
educf	0.00395***	0.00415*	0.00294*	-0.00225	0.00213*
	(0.00149)	(0.00234)	(0.00157)	(0.00179)	(0.00110)
educfyrs_sq	0.000109	0.000299	-5.65e-05	0.000297*	-0.000152
	(0.000131)	(0.000208)	(0.000135)	(0.000162)	(9.62e-05)
height	0.000137	-9.48e-07	-0.000167	0.000473	2.85e-05
	(0.000293)	(0.000433)	(0.000309)	(0.000352)	(0.000210)
bmi	0.00108**	0.000858	-0.000206	0.00105*	0.000471
	(0.000476)	(0.000681)	(0.000546)	(0.000558)	(0.000303)
Constant	0.0152	0.112	0.141*	-0.140*	0.00467
	(0.0658)	(0.112)	(0.0845)	(0.0722)	(0.0473)
					
Observations	137,974	12,480	22,900	31,420	36,191
R-squared	0.052	0.148	0.042	0.025	0.014
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
