	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
												
fert	-0.115***	-0.0778***	-0.0752***	-0.0718***	-0.110***	-0.0737***	-0.0714***	-0.0670***	-0.125***	-0.0875***	-0.0854***	-0.0839***
	(0.000815)	(0.000776)	(0.000771)	(0.000838)	(0.00106)	(0.000989)	(0.000975)	(0.00107)	(0.00128)	(0.00125)	(0.00125)	(0.00134)
fertXdesired				-0.00562***				-0.00680***				-0.00267***
				(0.000494)				(0.000607)				(0.000845)
motherage	0.134***	0.0912***	0.0865***	0.0893***	0.115***	0.0665***	0.0582***	0.0616***	0.175***	0.141***	0.140***	0.141***
	(0.00696)	(0.00667)	(0.00665)	(0.00666)	(0.00836)	(0.00796)	(0.00793)	(0.00793)	(0.0128)	(0.0124)	(0.0124)	(0.0124)
motheragesq	-0.00333***	-0.00217***	-0.00214***	-0.00229***	-0.00249***	-0.00118***	-0.00102***	-0.00120***	-0.00499***	-0.00414***	-0.00419***	-0.00426***
	(0.000270)	(0.000259)	(0.000259)	(0.000259)	(0.000328)	(0.000313)	(0.000311)	(0.000311)	(0.000487)	(0.000474)	(0.000474)	(0.000475)
motheragecub	3.75e-05***	2.68e-05***	2.68e-05***	2.87e-05***	2.74e-05***	1.53e-05***	1.40e-05***	1.61e-05***	5.74e-05***	4.98e-05***	5.06e-05***	5.15e-05***
	(3.41e-06)	(3.28e-06)	(3.27e-06)	(3.27e-06)	(4.17e-06)	(3.98e-06)	(3.95e-06)	(3.96e-06)	(6.04e-06)	(5.89e-06)	(5.89e-06)	(5.90e-06)
agefirstbirth	-0.00429***	-0.0134***	-0.0118***	-0.0107***	-0.00401***	-0.0133***	-0.0120***	-0.0107***	-0.00542***	-0.0146***	-0.0130***	-0.0126***
	(0.000491)	(0.000467)	(0.000464)	(0.000473)	(0.000653)	(0.000605)	(0.000599)	(0.000609)	(0.000742)	(0.000726)	(0.000727)	(0.000743)
educf		0.115***	0.109***	0.108***		0.115***	0.108***	0.107***		0.0962***	0.0927***	0.0925***
		(0.000862)	(0.000863)	(0.000863)		(0.00116)	(0.00115)	(0.00115)		(0.00139)	(0.00140)	(0.00140)
educfyrs_sq		-0.00365***	-0.00344***	-0.00343***		-0.00270***	-0.00277***	-0.00276***		-0.00301***	-0.00287***	-0.00286***
		(6.20e-05)	(6.19e-05)	(6.18e-05)		(9.66e-05)	(9.61e-05)	(9.60e-05)		(8.93e-05)	(8.94e-05)	(8.94e-05)
height			0.00439***	0.00439***			0.00570***	0.00570***			0.00266***	0.00267***
			(0.000205)	(0.000205)			(0.000258)	(0.000258)			(0.000331)	(0.000331)
bmi			0.0179***	0.0179***			0.0254***	0.0254***			0.00944***	0.00940***
			(0.000296)	(0.000296)			(0.000419)	(0.000419)			(0.000410)	(0.000410)
Constant	-0.940	-0.743	-1.778	-1.787	-0.0546	-0.0187	-1.378	-1.383	-0.441	-0.329	-0.971	-0.986
	(3,508)		(3,077)		(798.5)					(608.0)		
												
Observations	1,334,894	1,334,894	1,334,894	1,334,894	831,493	831,493	831,493	831,493	503,401	503,401	503,401	503,401
R-squared	0.094	0.161	0.167	0.168	0.091	0.171	0.182	0.182	0.106	0.154	0.156	0.156
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
