	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg
										
1.education			0.0233***	0.0233***						
			(0.00712)	(0.00713)						
2.education			0.0194***	0.0196***						
			(0.00439)	(0.00453)						
3.education			0.0146***	0.0149***						
			(0.00520)	(0.00535)						
4.education			0.0142***	0.0145***						
			(0.00385)	(0.00402)						
5.education			0.0132***	0.0136***						
			(0.00484)	(0.00505)						
6.education			0.0135***	0.0140***						
			(0.00378)	(0.00406)						
7.education			0.0161***	0.0167***						
			(0.00404)	(0.00389)						
8.education			0.0164***	0.0170***						
			(0.00454)	(0.00496)						
9.education			0.0208***	0.0215***						
			(0.00676)	(0.00753)						
10.education			0.0149*	0.0157*						
			(0.00820)	(0.00860)						
11.education			0.00617	0.00696						
			(0.00569)	(0.00549)						
12.education			0.00954	0.0105						
			(0.00926)	(0.00909)						
13.education			0.0128	0.0137						
			(0.0111)	(0.0113)						
14.education			0.0124*	0.0134*						
			(0.00669)	(0.00682)						
15.education			0.0195	0.0204						
			(0.0128)	(0.0127)						
16.education			-0.00703	-0.00601						
			(0.0127)	(0.0120)						
17.education			0.0217*	0.0228*						
			(0.0114)	(0.0116)						
18.education			-0.0150	-0.0141						
			(0.0362)	(0.0358)						
19.education			0.0838*	0.0848**						
			(0.0423)	(0.0422)						
20.education			0.0234	0.0244						
			(0.0388)	(0.0386)						
21.education			0.195**	0.196**						
			(0.0808)	(0.0816)						
22.education			0.107**	0.108**						
			(0.0439)	(0.0432)						
23.education			-0.128***	-0.127***						
			(0.0225)	(0.0225)						
24.education			0.286	0.286						
			(0.325)	(0.326)						
poor	-0.00515	-0.00550	-0.00515	-0.00549	-0.000808	0.000217	-0.0138**	-0.0162***	0.0143	0.0130
	(0.00385)	(0.00401)	(0.00380)	(0.00395)	(0.00548)	(0.00544)	(0.00589)	(0.00556)	(0.0106)	(0.0112)
rural	-0.0150***	-0.0155***	-0.0152***	-0.0157***	-0.00834	-0.00577	-0.0116**	-0.0141**	-0.0375***	-0.0398***
	(0.00422)	(0.00411)	(0.00419)	(0.00408)	(0.00523)	(0.00536)	(0.00514)	(0.00499)	(0.00925)	(0.00850)
height	-0.0600*	-0.0599*	-0.0588*	-0.0587*	-0.0830***	-0.0820***	-0.106***	-0.103***	0.105	0.106
	(0.0334)	(0.0332)	(0.0336)	(0.0334)	(0.0211)	(0.0211)	(0.0307)	(0.0290)	(0.0836)	(0.0830)
agefirstbirth	-0.00304***	-0.00276*	-0.00303***	-0.00276*	-0.00233***	-0.00377***	-0.00217	-0.000676	-0.00608***	-0.00491**
	(0.000891)	(0.00138)	(0.000886)	(0.00138)	(0.000717)	(0.000900)	(0.00170)	(0.00224)	(0.00134)	(0.00206)
very_underweight	-0.00517	-0.00511	-0.00464	-0.00458	-1.74e-05	-0.000795	-0.0113	-0.0111	0.0311	0.0312
	(0.00675)	(0.00665)	(0.00665)	(0.00656)	(0.00746)	(0.00770)	(0.00740)	(0.00756)	(0.0216)	(0.0216)
underweight	-0.000547	-0.000603	-0.000253	-0.000309	-0.000132	-0.000165	-0.00409	-0.00464	0.00624	0.00579
	(0.00207)	(0.00213)	(0.00204)	(0.00209)	(0.00309)	(0.00315)	(0.00270)	(0.00306)	(0.0122)	(0.0125)
overweight	0.0142***	0.0144***	0.0140***	0.0142***	0.0148***	0.0140***	0.0102	0.0108	0.0192***	0.0198***
	(0.00338)	(0.00332)	(0.00333)	(0.00326)	(0.00376)	(0.00363)	(0.00669)	(0.00665)	(0.00317)	(0.00292)
moderateobese	0.0264***	0.0267***	0.0261***	0.0264***	0.0315***	0.0295***	0.0185*	0.0198*	0.0351***	0.0356***
	(0.00732)	(0.00715)	(0.00728)	(0.00710)	(0.00709)	(0.00710)	(0.00973)	(0.00943)	(0.0107)	(0.0106)
severeobese	0.0360***	0.0364***	0.0357***	0.0361***	0.0106	0.00769	0.0353***	0.0372***	0.0443***	0.0443***
	(0.00609)	(0.00623)	(0.00609)	(0.00621)	(0.00997)	(0.00935)	(0.0102)	(0.0100)	(0.00697)	(0.00690)
age	0.0302***	0.0295***	0.0303***	0.0296***	0.0227***	0.0257***	0.0314***	0.0276***	0.0404***	0.0375***
	(0.00282)	(0.00262)	(0.00283)	(0.00261)	(0.00392)	(0.00441)	(0.00343)	(0.00293)	(0.00441)	(0.00519)
agesq	-0.000389***	-0.000381***	-0.000390***	-0.000382***	-0.000274***	-0.000304***	-0.000430***	-0.000385***	-0.000503***	-0.000466***
	(4.72e-05)	(4.18e-05)	(4.70e-05)	(4.15e-05)	(6.35e-05)	(7.07e-05)	(6.32e-05)	(4.82e-05)	(6.58e-05)	(7.70e-05)
3._cou1	0.459***	0.459***	0.458***	0.457***						
	(0.00286)	(0.00299)	(0.00421)	(0.00436)						
4._cou1	0.0844***	0.0843***	0.0830***	0.0830***						
	(0.0105)	(0.0105)	(0.0117)	(0.0118)						
5._cou1	0.0385***	0.0372***	0.0382***	0.0370***	-0.0417***	-0.0362***				
	(0.00761)	(0.00895)	(0.00849)	(0.00983)	(0.00411)	(0.00488)				
6._cou1	0.0478***	0.0466***	0.0450***	0.0438***			0.0391***	0.0331***		
	(0.00567)	(0.00705)	(0.00725)	(0.00847)			(0.00781)	(0.0101)		
7._cou1	0.0428***	0.0420***	0.0408**	0.0400**					-0.393***	-0.393***
	(0.0148)	(0.0153)	(0.0160)	(0.0164)					(0.0116)	(0.0119)
8._cou1	0.0277**	0.0267**	0.0286**	0.0276**	-0.0542***	-0.0498***				
	(0.0121)	(0.0127)	(0.0130)	(0.0135)	(0.00496)	(0.00449)				
9._cou1	0.0587***	0.0569***	0.0579***	0.0562***	-0.0245**	-0.0167				
	(0.00650)	(0.00955)	(0.00764)	(0.0105)	(0.00910)	(0.0101)				
10._cou1	0.109***	0.107***	0.107***	0.106***	0.0255**	0.0312***				
	(0.0167)	(0.0173)	(0.0179)	(0.0185)	(0.00978)	(0.00881)				
11._cou1	0.0904***	0.0898***	0.0870***	0.0864***	0.00524*	0.00724**				
	(0.0112)	(0.0117)	(0.0126)	(0.0131)	(0.00291)	(0.00273)				
12._cou1	0.108***	0.106***	0.107***	0.105***			0.0973***	0.0897***		
	(0.00874)	(0.0100)	(0.00981)	(0.0111)			(0.0146)	(0.0168)		
13._cou1	-0.000308	-0.00210	-0.000859	-0.00261	-0.0802***	-0.0717***				
	(0.00826)	(0.0104)	(0.00906)	(0.0112)	(0.00385)	(0.00546)				
14._cou1	0.0594***	0.0593***	0.0591***	0.0590***					-0.397***	-0.396***
	(0.00409)	(0.00422)	(0.00558)	(0.00568)					(0.00192)	(0.00219)
16._cou1	0.177***	0.176***	0.175***	0.174***			0.169***	0.165***		
	(0.00578)	(0.00671)	(0.00702)	(0.00793)			(0.00947)	(0.0107)		
18._cou1	0.0822***	0.0819***	0.0803***	0.0800***					-0.357***	-0.355***
	(0.0156)	(0.0157)	(0.0165)	(0.0166)					(0.0157)	(0.0165)
19._cou1	0.0459***	0.0450***	0.0467***	0.0458***			0.0362***	0.0315**		
	(0.00753)	(0.00822)	(0.00825)	(0.00887)			(0.0116)	(0.0130)		
20._cou1	-0.0480***	-0.0486***	-0.0482***	-0.0487***	-0.129***	-0.127***				
