	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
twinfamily	-0.0151	-0.0272***	0.00507	-0.00115	-0.0591***	-0.0838***	-0.0136**	-0.0137***
	(0.00923)	(0.00750)	(0.00765)	(0.00628)	(0.0215)	(0.0165)	(0.00578)	(0.00433)
malec	-0.000619	0.00552	0.0347***	0.0371***	-0.00157	0.0126	-0.00660	0.00606
	(0.0296)	(0.0293)	(0.0129)	(0.0130)	(0.0669)	(0.0666)	(0.0177)	(0.0185)
age	-0.0246**	-0.00678	0.248***	0.256***	0.696***	0.732***	0.0959***	0.0942***
	(0.00967)	(0.00928)	(0.0243)	(0.0243)	(0.0858)	(0.0861)	(0.0183)	(0.0181)
agesq	-0.000190	-0.000651*	-0.0118***	-0.0120***	-0.00544**	-0.00646**	-0.00236***	-0.00228***
	(0.000338)	(0.000373)	(0.00102)	(0.00101)	(0.00266)	(0.00274)	(0.000416)	(0.000409)
agemay	0.0831***	0.0492***	-0.0230	-0.0396	0.0663*	-0.00334	0.0340***	0.0214**
	(0.0116)	(0.0110)	(0.0258)	(0.0254)	(0.0349)	(0.0351)	(0.00912)	(0.00876)
magesq	-0.000367***	-2.38e-05	-3.21e-05	0.000158	0.000563	0.00127***	-0.000178*	-6.71e-05
	(0.000122)	(0.000128)	(0.000238)	(0.000240)	(0.000454)	(0.000440)	(9.49e-05)	(0.000101)
height		0.000412***		0.000169***		0.000824***		0.000191***
		(6.95e-05)		(4.98e-05)		(0.000173)		(3.13e-05)
bmi		0.000186***		6.64e-05***		0.000483***		8.33e-05***
		(2.05e-05)		(1.54e-05)		(5.25e-05)		(8.90e-06)
educf_1_4		0.288***		0.165***		0.657***		0.105***
		(0.0270)		(0.0236)		(0.0871)		(0.0166)
educf_5_6		0.517***		0.248***		1.130***		0.219***
		(0.0335)		(0.0326)		(0.0860)		(0.0185)
educf_7_10		0.677***		0.280***		1.453***		0.299***
		(0.0473)		(0.0341)		(0.113)		(0.0198)
educf_11plus		0.790***		0.308***		1.593***		0.332***
		(0.0872)		(0.0448)		(0.188)		(0.0345)
poor1		-0.302***		-0.146***		-0.644***		-0.173***
		(0.0241)		(0.0171)		(0.0568)		(0.0186)
Constant	-2.293	-2.570***	1.538	1.095	-4.453***	-6.212***	-1.247***	-1.756***
		(0.243)	(1.072)	(1.106)	(0.740)	(0.969)	(0.396)	(0.360)
								
Observations	898,873	891,028	588,868	583,379	892,516	884,759	411,341	406,004
R-squared	0.051	0.159	0.307	0.338	0.601	0.645	0.326	0.410
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
