	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	-0.0272*	-0.0429***	0.00368	-0.00518	-0.0389	-0.0688**	-0.0131	-0.0185
	(0.0134)	(0.0132)	(0.0135)	(0.0138)	(0.0287)	(0.0261)	(0.0123)	(0.0115)
malec	-0.000752	0.00627	0.0662***	0.0688***	-0.0192	-0.00499	-0.0161	-0.00443
	(0.0318)	(0.0319)	(0.0186)	(0.0193)	(0.0604)	(0.0604)	(0.0151)	(0.0138)
age	-0.00940	-0.000546	0.321***	0.324***	0.493***	0.509***	0.119***	0.114***
	(0.00783)	(0.00749)	(0.0328)	(0.0325)	(0.0670)	(0.0675)	(0.0135)	(0.0132)
agesq	0.000200	-0.000252	-0.0139***	-0.0141***	-0.00246	-0.00332	-0.00257***	-0.00250***
	(0.000306)	(0.000296)	(0.00149)	(0.00148)	(0.00219)	(0.00219)	(0.000292)	(0.000285)
agemay	0.0713***	0.0377**	-0.0308	-0.0496	0.0352	-0.0301	0.0311***	0.00797
	(0.0177)	(0.0166)	(0.0305)	(0.0318)	(0.0315)	(0.0318)	(0.00902)	(0.00744)
magesq	-0.000467**	-1.68e-05	1.28e-05	0.000292	0.000513	0.00139***	-0.000218*	4.41e-05
	(0.000219)	(0.000211)	(0.000291)	(0.000299)	(0.000465)	(0.000478)	(0.000109)	(9.08e-05)
height		0.00508***		0.00267***		0.00903***		0.00210***
		(0.000738)		(0.000899)		(0.00136)		(0.000331)
bmi		0.0290***		0.0134***		0.0629***		0.0133***
		(0.00290)		(0.00332)		(0.00447)		(0.000605)
educf_1_4		0.292***		0.207***		0.568***		0.0878***
		(0.0259)		(0.0254)		(0.0528)		(0.0188)
educf_5_6		0.547***		0.318***		1.055***		0.211***
		(0.0452)		(0.0393)		(0.0826)		(0.0291)
educf_7_10		0.742***		0.355***		1.412***		0.333***
		(0.0876)		(0.0406)		(0.161)		(0.0397)
educf_11plus		1.081***		0.430***		2.053***		0.499***
		(0.162)		(0.0554)		(0.215)		(0.0348)
poor1		-0.310***		-0.164***		-0.641***		-0.148***
		(0.0295)		(0.0331)		(0.0477)		(0.0222)
Constant	-1.458***	-1.920***	1.122	0.626	-4.706***	-5.561***	-0.439*	-0.604***
	(0.470)	(0.514)	(1.056)	(1.154)	(0.814)	(0.872)	(0.221)	(0.189)
								
Observations	354,179	352,733	249,469	248,369	353,076	351,634	132,831	132,226
R-squared	0.043	0.171	0.184	0.224	0.455	0.521	0.226	0.343
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
