	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	-0.00235	-0.0310**	0.0112	-0.000715	0.0205	-0.0346	0.00643	-0.00476
	(0.0178)	(0.0146)	(0.00862)	(0.00738)	(0.0384)	(0.0283)	(0.00959)	(0.00961)
malec	0.00111	0.00913	0.0438***	0.0468***	0.0118	0.0288	-0.00308	0.0110
	(0.0298)	(0.0295)	(0.0129)	(0.0130)	(0.0660)	(0.0660)	(0.0176)	(0.0184)
agemay	0.0571***	0.0220**	-0.0337	-0.0471*	0.0133	-0.0530	0.0324***	0.0150**
	(0.0110)	(0.0105)	(0.0253)	(0.0261)	(0.0370)	(0.0322)	(0.00580)	(0.00675)
magesq	-0.000349**	0.000110	-4.07e-05	0.000160	0.000696	0.00157***	-0.000242***	-4.66e-05
	(0.000138)	(0.000133)	(0.000230)	(0.000238)	(0.000503)	(0.000430)	(6.89e-05)	(8.63e-05)
height		0.00469***		0.00165***		0.00844***		0.00205***
		(0.000735)		(0.000513)		(0.00181)		(0.000323)
bmi		0.0203***		0.00717***		0.0490***		0.00846***
		(0.00227)		(0.00171)		(0.00547)		(0.000954)
educf_1_4		0.297***		0.168***		0.675***		0.110***
		(0.0242)		(0.0235)		(0.0853)		(0.0169)
educf_5_6		0.562***		0.248***		1.164***		0.226***
		(0.0327)		(0.0315)		(0.0840)		(0.0183)
educf_7_10		0.765***		0.282***		1.508***		0.309***
		(0.0447)		(0.0323)		(0.111)		(0.0192)
educf_11plus		0.916***		0.316***		1.701***		0.351***
		(0.0964)		(0.0425)		(0.188)		(0.0334)
poor1		-0.324***		-0.153***		-0.667***		-0.175***
		(0.0210)		(0.0168)		(0.0536)		(0.0177)
Constant	-0.143	-1.445***	2.994***	2.479**	2.746***	0.0234	-0.611	-0.802***
	(0.135)	(0.247)	(1.012)	(1.068)	(0.470)	(0.775)		(0.0849)
								
Observations	956,998	948,922	630,061	624,418	956,998	948,922	441,875	436,351
R-squared	0.027	0.162	0.296	0.331	0.583	0.633	0.312	0.405
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
