	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	-0.0367	-0.0476	-0.0374***	-0.0432***	0.842***	0.810***	-0.0476***	-0.0600***
	(0.0229)	(0.0310)	(0.0138)	(0.0150)	(0.0931)	(0.0868)	(0.0167)	(0.0154)
malec	-0.0428	-0.0264	0.0193*	0.0246**	-0.0781	-0.0516	-0.0136	0.00254
	(0.0328)	(0.0261)	(0.00984)	(0.0116)	(0.0658)	(0.0515)	(0.0129)	(0.0146)
age	0.0176***	0.0416***	0.208***	0.222***	0.635***	0.567***	0.0989***	0.0936***
	(0.00377)	(0.0122)	(0.0224)	(0.0268)	(0.0701)	(0.0755)	(0.0157)	(0.0188)
agesq	-0.000679***	-0.00146***	-0.00964***	-0.0102***	0.00185	0.00425	-0.00232***	-0.00216***
	(0.000164)	(0.000470)	(0.000984)	(0.00117)	(0.00256)	(0.00257)	(0.000332)	(0.000425)
agemay	0.115***	0.0344***	-0.0547**	-0.0621**	0.179***	0.0228	0.0523***	0.0224*
	(0.0125)	(0.0129)	(0.0231)	(0.0251)	(0.0331)	(0.0371)	(0.00885)	(0.0132)
magesq	-0.00115***	-8.46e-05	7.17e-05	0.000223	-0.00158***	0.000540	-0.000481***	-0.000143
	(0.000153)	(0.000145)	(0.000269)	(0.000301)	(0.000429)	(0.000447)	(0.000111)	(0.000163)
height		0.00571***		0.00187***		0.0107***		0.00207***
		(0.000791)		(0.000650)		(0.00200)		(0.000386)
bmi		0.0172***		0.00446***		0.0407***		0.00708***
		(0.00231)		(0.00143)		(0.00501)		(0.000944)
educf_1_4		0.273***		0.143***		0.636***		0.103***
		(0.0278)		(0.0233)		(0.0777)		(0.0202)
educf_5_6		0.539***		0.231***		1.116***		0.227***
		(0.0452)		(0.0321)		(0.0897)		(0.0231)
educf_7_10		0.709***		0.252***		1.422***		0.287***
		(0.0600)		(0.0338)		(0.0998)		(0.0247)
educf_11plus		0.838***		0.284***		1.586***		0.323***
		(0.102)		(0.0403)		(0.176)		(0.0384)
poor1		-0.288***		-0.129***		-0.567***		-0.177***
		(0.0310)		(0.0173)		(0.0647)		(0.0213)
Constant	-3.539***	-5.027***	3.050***	2.386**	-9.552***	-10.49***	-2.083***	-2.308***
	(0.339)	(0.500)	(0.809)	(0.939)	(0.709)	(1.127)	(0.252)	(0.382)
								
Observations	395,628	208,945	195,421	143,098	399,062	211,303	192,947	94,840
R-squared	0.030	0.168	0.374	0.383	0.653	0.703	0.250	0.427
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
