	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	0.0138	-0.0327**	0.00191	-0.00362	0.0466	-0.0370	0.0143**	-0.00814
	(0.0147)	(0.0144)	(0.00888)	(0.00793)	(0.0323)	(0.0282)	(0.00657)	(0.0103)
malec	-0.0123	0.00619	0.0347***	0.0430***	-0.00729	0.0204	-0.00701	0.00838
	(0.0366)	(0.0297)	(0.0118)	(0.0132)	(0.0805)	(0.0661)	(0.0160)	(0.0183)
age	-0.00606	0.0114	0.248***	0.258***	0.795***	0.758***	0.0992***	0.0959***
	(0.00518)	(0.0103)	(0.0207)	(0.0232)	(0.0751)	(0.0871)	(0.0137)	(0.0173)
agesq	0.000135	-0.000596	-0.0113***	-0.0118***	-0.00717***	-0.00661**	-0.00225***	-0.00217***
	(0.000201)	(0.000413)	(0.000884)	(0.000958)	(0.00237)	(0.00277)	(0.000286)	(0.000380)
agemay	0.0794***	0.0284***	-0.0403*	-0.0395*	0.0927***	-0.0277	0.0397***	0.0143*
	(0.00912)	(0.0105)	(0.0223)	(0.0229)	(0.0274)	(0.0354)	(0.00592)	(0.00715)
magesq	-0.000713***	2.00e-05	-3.38e-05	5.05e-05	-0.000519	0.00123***	-0.000334***	-4.02e-05
	(0.000113)	(0.000131)	(0.000235)	(0.000253)	(0.000357)	(0.000453)	(7.79e-05)	(8.87e-05)
height		0.00481***		0.00167***		0.00867***		0.00207***
		(0.000724)		(0.000494)		(0.00178)		(0.000320)
bmi		0.0202***		0.00709***		0.0489***		0.00849***
		(0.00219)		(0.00163)		(0.00533)		(0.000934)
educf_1_4		0.299***		0.171***		0.681***		0.110***
		(0.0236)		(0.0234)		(0.0838)		(0.0164)
educf_5_6		0.567***		0.255***		1.178***		0.228***
		(0.0337)		(0.0323)		(0.0845)		(0.0190)
educf_7_10		0.770***		0.289***		1.522***		0.312***
		(0.0457)		(0.0332)		(0.111)		(0.0201)
educf_11plus		0.925***		0.324***		1.722***		0.357***
		(0.0965)		(0.0429)		(0.189)		(0.0351)
poor1		-0.321***		-0.149***		-0.661***		-0.174***
		(0.0216)		(0.0166)		(0.0557)		(0.0180)
Constant	-2.581***	-4.167***	2.421***	1.425	-7.141***	-9.329***	-1.876***	-2.276***
	(0.272)	(0.392)	(0.781)	(0.868)	(0.764)	(1.327)	(0.186)	(0.226)
								
Observations	1,739,646	966,058	861,847	639,811	1,739,646	966,058	873,556	443,500
R-squared	0.022	0.162	0.316	0.329	0.581	0.632	0.247	0.401
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
