	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	-0.0382	-0.0458*	-0.179***	-0.184***	0.796***	0.792***	-0.178***	-0.188***
	(0.0299)	(0.0271)	(0.0333)	(0.0318)	(0.0958)	(0.0890)	(0.0418)	(0.0372)
malec	-0.0259	-0.0211	0.0280**	0.0291**	-0.0549	-0.0444	-0.00954	0.00193
	(0.0256)	(0.0257)	(0.0123)	(0.0122)	(0.0496)	(0.0507)	(0.0129)	(0.0143)
age	0.0272***	0.0436***	0.244***	0.248***	0.541***	0.568***	0.0497***	0.0507***
	(0.0102)	(0.0123)	(0.0236)	(0.0225)	(0.0686)	(0.0747)	(0.00503)	(0.00583)
agesq	-0.00100**	-0.00157***	-0.0110***	-0.0112***	0.00514**	0.00416	-0.00111***	-0.00110***
	(0.000421)	(0.000469)	(0.00106)	(0.00103)	(0.00237)	(0.00253)	(0.000166)	(0.000176)
agemay	0.0797***	0.0243*	-0.0463*	-0.0636**	0.0888*	-0.0138	0.0363***	0.0214**
	(0.0147)	(0.0128)	(0.0270)	(0.0281)	(0.0456)	(0.0347)	(0.00804)	(0.00872)
magesq	-0.000600***	6.76e-05	2.68e-05	0.000264	-0.000141	0.00109**	-0.000271***	-0.000126
	(0.000165)	(0.000146)	(0.000288)	(0.000296)	(0.000556)	(0.000421)	(9.80e-05)	(0.000107)
height		0.00576***		0.00183**		0.0110***		0.00199***
		(0.000827)		(0.000683)		(0.00206)		(0.000426)
bmi		0.0173***		0.00467***		0.0417***		0.00708***
		(0.00245)		(0.00147)		(0.00543)		(0.000984)
educf_1_4		0.265***		0.141***		0.610***		0.0989***
		(0.0283)		(0.0247)		(0.0805)		(0.0204)
educf_5_6		0.528***		0.229***		1.085***		0.210***
		(0.0436)		(0.0318)		(0.0888)		(0.0216)
educf_7_10		0.696***		0.242***		1.387***		0.268***
		(0.0575)		(0.0320)		(0.0974)		(0.0227)
educf_11plus		0.815***		0.274***		1.535***		0.295***
		(0.100)		(0.0398)		(0.172)		(0.0364)
poor1		-0.294***		-0.135***		-0.583***		-0.173***
		(0.0300)		(0.0180)		(0.0649)		(0.0193)
Constant	-2.344***	-4.054***	2.447**	2.069*	-0.579	-3.647***	-0.138	-0.738***
	(0.224)	(0.335)	(1.123)	(1.166)	(0.691)	(0.820)	(0.135)	(0.168)
								
Observations	205,255	203,631	141,070	139,901	207,237	205,604	96,319	95,166
R-squared	0.042	0.168	0.368	0.397	0.665	0.706	0.374	0.455
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
