	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	-0.00237	-0.0310**	0.0110	-0.000807	0.0199	-0.0352	0.00655	-0.00469
	(0.0178)	(0.0146)	(0.00865)	(0.00740)	(0.0386)	(0.0285)	(0.00963)	(0.00965)
malec	0.00111	0.00917	0.0438***	0.0468***	0.0101	0.0272	-0.00383	0.0103
	(0.0298)	(0.0296)	(0.0129)	(0.0131)	(0.0655)	(0.0656)	(0.0174)	(0.0182)
age	-0.00441	0.00987	0.253***	0.258***	0.730***	0.757***	0.100***	0.0949***
	(0.00962)	(0.0107)	(0.0239)	(0.0236)	(0.0858)	(0.0887)	(0.0178)	(0.0174)
agesq	9.10e-05	-0.000555	-0.0115***	-0.0118***	-0.00527*	-0.00659**	-0.00227***	-0.00216***
	(0.000366)	(0.000424)	(0.000991)	(0.000978)	(0.00267)	(0.00282)	(0.000386)	(0.000382)
agemay	0.0570***	0.0220**	-0.0335	-0.0469*	0.0127	-0.0538	0.0344***	0.0173**
	(0.0110)	(0.0105)	(0.0253)	(0.0261)	(0.0371)	(0.0322)	(0.00591)	(0.00684)
magesq	-0.000349**	0.000110	-4.42e-05	0.000157	0.000706	0.00158***	-0.000266***	-7.55e-05
	(0.000138)	(0.000133)	(0.000229)	(0.000238)	(0.000504)	(0.000431)	(7.06e-05)	(8.75e-05)
height		0.00469***		0.00165***		0.00847***		0.00204***
		(0.000733)		(0.000512)		(0.00182)		(0.000326)
bmi		0.0203***		0.00717***		0.0491***		0.00846***
		(0.00227)		(0.00171)		(0.00550)		(0.000958)
educf_1_4		0.297***		0.168***		0.676***		0.110***
		(0.0241)		(0.0235)		(0.0861)		(0.0170)
educf_5_6		0.562***		0.249***		1.166***		0.225***
		(0.0327)		(0.0315)		(0.0845)		(0.0183)
educf_7_10		0.765***		0.283***		1.509***		0.309***
		(0.0447)		(0.0324)		(0.112)		(0.0192)
educf_11plus		0.915***		0.316***		1.703***		0.351***
		(0.0963)		(0.0426)		(0.188)		(0.0334)
poor1		-0.324***		-0.153***		-0.668***		-0.175***
		(0.0209)		(0.0168)		(0.0540)		(0.0177)
Constant	-0.122	-1.488***	1.805*	1.269	-2.229***	-5.072***	-1.508	-1.738***
	(0.131)	(0.254)	(1.048)	(1.103)	(0.810)	(1.069)		(0.177)
								
Observations	956,998	948,922	630,061	624,418	956,998	948,922	441,875	436,351
R-squared	0.027	0.162	0.296	0.330	0.583	0.633	0.311	0.403
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
