	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	0.0285	-0.00481	-0.154**	-0.162***	1.630***	1.595***	0.00964	-0.0240
	(0.0344)	(0.0321)	(0.0590)	(0.0566)	(0.256)	(0.267)	(0.0473)	(0.0455)
malec	-0.0261	-0.0213	0.0280**	0.0292**	-0.0531	-0.0425	-0.00878	0.00347
	(0.0261)	(0.0262)	(0.0122)	(0.0121)	(0.0508)	(0.0516)	(0.0132)	(0.0146)
age	0.0263**	0.0440***	0.245***	0.248***	0.648***	0.675***	0.0476***	0.0453***
	(0.0120)	(0.0135)	(0.0232)	(0.0222)	(0.103)	(0.109)	(0.00637)	(0.00641)
agesq	-0.000962*	-0.00159***	-0.0112***	-0.0113***	0.00111	7.82e-05	-0.00108***	-0.000989***
	(0.000506)	(0.000530)	(0.00101)	(0.000975)	(0.00357)	(0.00369)	(0.000165)	(0.000165)
agemay	0.0803***	0.0248*	-0.0497*	-0.0674**	0.0808*	-0.0233	0.0470***	0.0301**
	(0.0147)	(0.0127)	(0.0261)	(0.0272)	(0.0472)	(0.0375)	(0.00902)	(0.0119)
magesq	-0.000607***	6.29e-05	6.75e-05	0.000308	-2.85e-05	0.00123***	-0.000395***	-0.000226
	(0.000166)	(0.000145)	(0.000286)	(0.000293)	(0.000574)	(0.000455)	(0.000115)	(0.000149)
height		0.00573***		0.00182**		0.0112***		0.00204***
		(0.000789)		(0.000695)		(0.00197)		(0.000418)
bmi		0.0173***		0.00473***		0.0416***		0.00693***
		(0.00246)		(0.00150)		(0.00544)		(0.000975)
educf_1_4		0.265***		0.143***		0.611***		0.100***
		(0.0278)		(0.0243)		(0.0793)		(0.0208)
educf_5_6		0.528***		0.228***		1.089***		0.214***
		(0.0435)		(0.0320)		(0.0859)		(0.0213)
educf_7_10		0.698***		0.244***		1.396***		0.275***
		(0.0575)		(0.0321)		(0.0972)		(0.0223)
educf_11plus		0.819***		0.278***		1.550***		0.306***
		(0.100)		(0.0399)		(0.174)		(0.0356)
poor1		-0.296***		-0.137***		-0.588***		-0.180***
		(0.0305)		(0.0184)		(0.0658)		(0.0202)
Constant	-2.343***	-4.057***	2.527**	2.154*	-1.281*	-4.344***	-0.451***	-1.014***
	(0.228)	(0.335)	(1.075)	(1.127)	(0.689)	(0.769)	(0.139)	(0.180)
								
Observations	203,198	201,606	138,903	137,762	203,985	202,388	93,050	91,933
R-squared	0.042	0.169	0.363	0.393	0.665	0.706	0.357	0.445
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
