	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	-0.0333**	-0.0502***	0.00276	-0.00644	-0.0471	-0.0796***	-0.0135	-0.0189
	(0.0133)	(0.0132)	(0.0132)	(0.0137)	(0.0299)	(0.0273)	(0.0126)	(0.0120)
malec	0.000681	0.00774	0.0738***	0.0764***	1.51e-05	0.0134	-0.00993	0.00163
	(0.0331)	(0.0331)	(0.0187)	(0.0193)	(0.0618)	(0.0615)	(0.0158)	(0.0145)
age	-0.0104	-0.00159	0.312***	0.315***	0.501***	0.516***	0.119***	0.114***
	(0.00770)	(0.00748)	(0.0327)	(0.0327)	(0.0652)	(0.0654)	(0.0129)	(0.0127)
agesq	0.000235	-0.000219	-0.0136***	-0.0138***	-0.00258	-0.00339	-0.00258***	-0.00250***
	(0.000304)	(0.000299)	(0.00146)	(0.00145)	(0.00213)	(0.00212)	(0.000279)	(0.000275)
agemay	0.0819***	0.0474***	-0.0365	-0.0533	0.0499	-0.0112	0.0315***	0.00981
	(0.0169)	(0.0159)	(0.0305)	(0.0319)	(0.0303)	(0.0294)	(0.00927)	(0.00792)
magesq	-0.000557**	-9.06e-05	5.72e-05	0.000318	0.000354	0.00120**	-0.000217*	3.05e-05
	(0.000218)	(0.000214)	(0.000288)	(0.000299)	(0.000451)	(0.000453)	(0.000111)	(9.54e-05)
height		0.00543***		0.00253***		0.00914***		0.00218***
		(0.000706)		(0.000849)		(0.00133)		(0.000334)
bmi		0.0320***		0.0140***		0.0655***		0.0139***
		(0.00190)		(0.00307)		(0.00477)		(0.000717)
educf_1_4		0.294***		0.204***		0.577***		0.0912***
		(0.0230)		(0.0237)		(0.0519)		(0.0184)
educf_5_6		0.560***		0.309***		1.053***		0.212***
		(0.0360)		(0.0365)		(0.0791)		(0.0284)
educf_7_10		0.807***		0.343***		1.399***		0.330***
		(0.0762)		(0.0398)		(0.157)		(0.0388)
educf_11plus		1.274***		0.449***		2.115***		0.505***
		(0.0788)		(0.0622)		(0.197)		(0.0350)
poor1		-0.326***		-0.164***		-0.641***		-0.147***
		(0.0217)		(0.0325)		(0.0465)		(0.0211)
Constant	-2.171***	-2.774***	1.362	0.824	-4.049***	-5.163***	-1.449***	-1.658***
	(0.236)	(0.262)	(1.063)	(1.143)	(0.710)	(0.760)	(0.215)	(0.196)
								
Observations	366,331	364,920	264,462	263,389	366,331	364,920	138,605	138,024
R-squared	0.046	0.186	0.182	0.222	0.451	0.517	0.228	0.342
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
