	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	-0.0592	-0.0729**	-0.00739	-0.01000	0.0462	0.0238	-0.0835	-0.0835
	(0.0377)	(0.0308)	(0.0616)	(0.0589)	(0.125)	(0.113)	(0.0524)	(0.0501)
malec	-0.0774**	-0.0705**	-0.00305	-0.00152	-0.121**	-0.112**	-0.0160**	-0.0139**
	(0.0360)	(0.0352)	(0.0164)	(0.0162)	(0.0564)	(0.0557)	(0.00666)	(0.00678)
age	0.000814	0.00894	0.294***	0.297***	0.438***	0.448***	0.0428***	0.0436***
	(0.00621)	(0.00624)	(0.0262)	(0.0256)	(0.0607)	(0.0589)	(0.00860)	(0.00860)
agesq	-9.20e-05	-0.000325*	-0.0115***	-0.0116***	0.00443*	0.00409*	-1.09e-05	-4.12e-05
	(0.000192)	(0.000181)	(0.000974)	(0.000948)	(0.00250)	(0.00243)	(0.000369)	(0.000366)
agemay	0.0357*	-0.00174	0.0349***	0.0279**	-0.136***	-0.166***	-0.0278***	-0.0287***
	(0.0193)	(0.0135)	(0.0121)	(0.0130)	(0.0315)	(0.0276)	(0.00516)	(0.00523)
magesq	-2.36e-05	0.000399**	-0.000583**	-0.000488*	0.00272***	0.00306***	0.000471***	0.000476***
	(0.000250)	(0.000162)	(0.000271)	(0.000254)	(0.000390)	(0.000347)	(7.81e-05)	(7.91e-05)
height		0.00457***		0.000983**		0.00764***		0.000758***
		(0.000824)		(0.000440)		(0.00163)		(0.000197)
bmi		0.0129***		0.00206		0.0260***		0.00363***
		(0.00286)		(0.00127)		(0.00594)		(0.00109)
educf_1_4		0.248***		0.121***		0.523***		0.0712***
		(0.0321)		(0.0190)		(0.0788)		(0.0184)
educf_5_6		0.541***		0.183***		0.971***		0.132***
		(0.0516)		(0.0205)		(0.0940)		(0.0214)
educf_7_10		0.722***		0.211***		1.257***		0.166***
		(0.0603)		(0.0216)		(0.109)		(0.0243)
educf_11plus		0.880***		0.256***		1.433***		0.173***
		(0.0905)		(0.0233)		(0.127)		(0.0242)
poor1		-0.277***		-0.0846***		-0.503***		-0.0733***
		(0.0192)		(0.0151)		(0.0405)		(0.0130)
Constant	-0.672**	-1.590***	-1.018	-1.335	1.963***	-0.440	0.201	-0.192***
	(0.287)	(0.339)	(1.202)	(1.174)	(0.375)	(0.636)		(0.0659)
								
Observations	382,828	378,760	315,579	312,925	501,075	496,300	417,460	412,912
R-squared	0.037	0.157	0.467	0.479	0.760	0.781	0.544	0.564
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
