	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	0.0171	-0.0148	0.0119	0.00217	0.0837*	0.0287	0.0107	0.00489
	(0.0293)	(0.0233)	(0.0101)	(0.00713)	(0.0480)	(0.0304)	(0.00815)	(0.00624)
malec	-0.0136	-0.00476	0.0105	0.0132	-0.0110	0.00378	-0.00892	-0.00308
	(0.0469)	(0.0464)	(0.0174)	(0.0175)	(0.0890)	(0.0900)	(0.0131)	(0.0152)
age	-0.00249	0.00361	0.289***	0.292***	0.458***	0.471***	0.0571***	0.0582***
	(0.00648)	(0.00572)	(0.0278)	(0.0270)	(0.0627)	(0.0608)	(0.00930)	(0.00937)
agesq	7.39e-05	-0.000161	-0.0116***	-0.0117***	0.00474*	0.00420	-0.000765*	-0.000808*
	(0.000218)	(0.000185)	(0.000942)	(0.000909)	(0.00264)	(0.00253)	(0.000429)	(0.000431)
agemay	0.0239**	-0.00962	0.0409**	0.0333*	-0.102**	-0.140***	-0.0293***	-0.0289***
	(0.0115)	(0.00966)	(0.0168)	(0.0181)	(0.0386)	(0.0321)	(0.00576)	(0.00650)
magesq	-1.33e-05	0.000409***	-0.000856**	-0.000742**	0.00204***	0.00253***	0.000492***	0.000483***
	(0.000180)	(0.000143)	(0.000330)	(0.000320)	(0.000537)	(0.000417)	(7.99e-05)	(8.76e-05)
height		0.00436***		0.000532		0.00837***		0.00117***
		(0.00105)		(0.000485)		(0.00238)		(0.000416)
bmi		0.0141***		0.00318**		0.0319***		0.00505***
		(0.00247)		(0.00135)		(0.00704)		(0.00141)
educf_1_4		0.292***		0.129***		0.733***		0.118***
		(0.0434)		(0.0286)		(0.146)		(0.0283)
educf_5_6		0.544***		0.188***		1.163***		0.183***
		(0.0430)		(0.0329)		(0.136)		(0.0290)
educf_7_10		0.723***		0.220***		1.477***		0.222***
		(0.0508)		(0.0313)		(0.166)		(0.0339)
educf_11plus		0.867***		0.259***		1.630***		0.228***
		(0.0918)		(0.0322)		(0.185)		(0.0306)
poor1		-0.315***		-0.126***		-0.623***		-0.117***
		(0.0291)		(0.0231)		(0.0852)		(0.0315)
Constant	-2.230***	-2.947***	-0.293	-0.592	-3.534***	-5.680***	-0.404***	-0.827***
	(0.252)	(0.478)	(1.680)	(1.666)	(0.967)	(1.487)	(0.0753)	(0.164)
								
Observations	649,274	641,690	466,826	461,466	766,650	758,363	566,653	559,416
R-squared	0.018	0.147	0.418	0.439	0.681	0.715	0.469	0.507
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
