	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	-0.0635*	-0.0762**	0.102	0.0994	0.0233	0.00973	0.0376	0.0380
	(0.0373)	(0.0300)	(0.0657)	(0.0647)	(0.102)	(0.0928)	(0.0355)	(0.0343)
malec	-0.0773**	-0.0704*	-0.000394	0.00119	-0.123**	-0.115*	-0.0124	-0.0104
	(0.0361)	(0.0352)	(0.0158)	(0.0156)	(0.0599)	(0.0591)	(0.00767)	(0.00789)
agemay	0.0346*	-0.00308	0.0330**	0.0254**	-0.0845***	-0.115***	-0.0134***	-0.0144***
	(0.0191)	(0.0138)	(0.0135)	(0.0126)	(0.0207)	(0.0213)	(0.00405)	(0.00424)
magesq	-7.71e-06	0.000418**	-0.000583**	-0.000479*	0.00198***	0.00232***	0.000262***	0.000268***
	(0.000248)	(0.000166)	(0.000288)	(0.000258)	(0.000227)	(0.000268)	(6.16e-05)	(6.41e-05)
height		0.00456***		0.00135***		0.00688***		0.000734***
		(0.000824)		(0.000389)		(0.00158)		(0.000205)
bmi		0.0129***		0.00198*		0.0267***		0.00339***
		(0.00287)		(0.00111)		(0.00624)		(0.000906)
educf_1_4		0.249***		0.119***		0.522***		0.0711***
		(0.0321)		(0.0193)		(0.0777)		(0.0183)
educf_5_6		0.542***		0.188***		0.952***		0.132***
		(0.0516)		(0.0217)		(0.0899)		(0.0207)
educf_7_10		0.723***		0.218***		1.214***		0.163***
		(0.0604)		(0.0219)		(0.109)		(0.0239)
educf_11plus		0.881***		0.268***		1.385***		0.170***
		(0.0906)		(0.0253)		(0.121)		(0.0235)
poor1		-0.277***		-0.0874***		-0.512***		-0.0715***
		(0.0193)		(0.0162)		(0.0367)		(0.0113)
Constant	-0.635**	-1.531***	-0.641	-1.010	1.294***	-0.974**	-0.0413	-0.488***
	(0.294)	(0.345)	(1.087)	(1.069)	(0.239)	(0.479)	(2,636)	(0.0774)
								
Observations	382,828	378,760	315,579	312,925	501,075	496,300	417,460	412,912
R-squared	0.037	0.157	0.586	0.599	0.806	0.825	0.664	0.683
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
