	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	0.0172	-0.0147	0.0108	0.000895	0.0498	-0.00272	0.00801	0.00191
	(0.0294)	(0.0233)	(0.0121)	(0.00867)	(0.0549)	(0.0381)	(0.00873)	(0.00700)
malec	-0.0135	-0.00463	0.0120	0.0147	-0.00970	0.00506	-0.00245	0.00345
	(0.0470)	(0.0464)	(0.0166)	(0.0168)	(0.0923)	(0.0931)	(0.0143)	(0.0164)
agemay	0.0237**	-0.00966	0.0355	0.0274	-0.0654**	-0.102***	-0.0116***	-0.0115**
	(0.0115)	(0.00973)	(0.0241)	(0.0238)	(0.0256)	(0.0255)	(0.00383)	(0.00443)
magesq	-1.15e-05	0.000410***	-0.000837**	-0.000717**	0.00154***	0.00203***	0.000243***	0.000238***
	(0.000180)	(0.000143)	(0.000347)	(0.000328)	(0.000338)	(0.000340)	(5.43e-05)	(6.00e-05)
height		0.00437***		0.000889**		0.00753***		0.00118***
		(0.00106)		(0.000411)		(0.00240)		(0.000410)
bmi		0.0141***		0.00318***		0.0326***		0.00490***
		(0.00248)		(0.00110)		(0.00767)		(0.00128)
educf_1_4		0.292***		0.127***		0.733***		0.120***
		(0.0438)		(0.0305)		(0.138)		(0.0291)
educf_5_6		0.544***		0.190***		1.146***		0.183***
		(0.0431)		(0.0357)		(0.128)		(0.0293)
educf_7_10		0.724***		0.224***		1.438***		0.223***
		(0.0510)		(0.0341)		(0.162)		(0.0350)
educf_11plus		0.868***		0.268***		1.588***		0.229***
		(0.0921)		(0.0385)		(0.168)		(0.0318)
poor1		-0.315***		-0.132***		-0.628***		-0.115***
		(0.0292)		(0.0229)		(0.0796)		(0.0313)
Constant	-2.238***	-2.966***	-0.0115	-0.369	-2.589***	-4.655***	-0.712***	-1.129***
	(0.257)	(0.490)	(1.614)	(1.608)	(0.503)	(1.050)	(0.0894)	(0.186)
								
Observations	649,274	641,690	466,826	461,466	766,650	758,363	566,653	559,416
R-squared	0.018	0.147	0.522	0.545	0.717	0.750	0.559	0.596
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
