	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	0.106***	0.00872	0.0171	-0.0230	0.208**	0.0149	0.0474**	0.00223
	(0.0358)	(0.0324)	(0.0252)	(0.0246)	(0.0916)	(0.0763)	(0.0210)	(0.0171)
malec	-0.000534	0.00693	0.0334**	0.0363***	-0.00579	0.0110	-0.00660	0.00765
	(0.0297)	(0.0296)	(0.0127)	(0.0129)	(0.0673)	(0.0674)	(0.0177)	(0.0184)
age	-0.00103	-0.00286*	-0.0275***	-0.0285***	0.602***	0.595***	0.00974***	0.00929***
	(0.00136)	(0.00152)	(0.00604)	(0.00585)	(0.0319)	(0.0325)	(0.00297)	(0.00271)
agemay	0.0288***	0.0278***	-0.0353**	-0.0339**	0.0633***	0.0613***	0.0129***	0.0111***
	(0.00427)	(0.00463)	(0.0156)	(0.0155)	(0.00635)	(0.00761)	(0.00130)	(0.00131)
height		0.000426***		0.000176***		0.000839***		0.000208***
		(7.30e-05)		(5.35e-05)		(0.000183)		(3.24e-05)
bmi		0.000182***		6.67e-05***		0.000477***		8.36e-05***
		(2.11e-05)		(1.62e-05)		(5.34e-05)		(9.16e-06)
educf_0		-0.867***		-0.321***		-1.711***		-0.359***
		(0.0885)		(0.0440)		(0.191)		(0.0356)
educf_1_4		-0.573***		-0.153***		-1.040***		-0.250***
		(0.0843)		(0.0311)		(0.159)		(0.0361)
educf_5_6		-0.328***		-0.0667**		-0.540***		-0.130***
		(0.0637)		(0.0266)		(0.132)		(0.0255)
educf_7_10		-0.154***		-0.0315		-0.196		-0.0452**
		(0.0557)		(0.0234)		(0.119)		(0.0216)
poor1		-0.313***		-0.148***		-0.665***		-0.175***
		(0.0231)		(0.0173)		(0.0559)		(0.0184)
Constant	-0.776	-2.241	3.381***	2.951***	-3.177	-4.543	-0.210	-0.510***
			(0.940)	(0.972)		(25,892)	(2,335)	(0.0639)
								
Observations	961,686	953,352	626,345	620,538	955,005	946,760	441,788	436,136
R-squared	0.025	0.153	0.273	0.308	0.583	0.634	0.305	0.401
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
