	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																
twinfamily	-0.0115	-0.0223	0.0115	0.00783	0.000435	0.00356	-0.0307	-0.0254	0.0279	0.0207	0.0386	0.0388*	0.0136	0.00271	0.0288	0.0214
	(0.0258)	(0.0265)	(0.0190)	(0.0193)	(0.0238)	(0.0231)	(0.0236)	(0.0228)	(0.0236)	(0.0233)	(0.0233)	(0.0210)	(0.0258)	(0.0267)	(0.0429)	(0.0392)
malec	0.00467	0.00614	-0.00632	-0.00427	0.000967	0.00408	0.0159*	0.0211**	0.0294**	0.0365***	0.0428**	0.0467***	0.0698***	0.0756***	0.0686***	0.0743***
	(0.0158)	(0.0159)	(0.00718)	(0.00779)	(0.00873)	(0.00952)	(0.00891)	(0.00978)	(0.0130)	(0.0133)	(0.0162)	(0.0165)	(0.0136)	(0.0138)	(0.0181)	(0.0187)
age	0.184***	0.191***	0.186***	0.190***	0.233***	0.233***	0.251***	0.253***	0.285***	0.287***	0.286***	0.285***	0.291***	0.292***	0.301***	0.300***
	(0.0152)	(0.0140)	(0.0241)	(0.0228)	(0.0266)	(0.0258)	(0.0257)	(0.0254)	(0.0283)	(0.0289)	(0.0280)	(0.0285)	(0.0275)	(0.0280)	(0.0352)	(0.0351)
agesq	-0.00885***	-0.00898***	-0.00882***	-0.00887***	-0.0109***	-0.0108***	-0.0116***	-0.0117***	-0.0129***	-0.0131***	-0.0129***	-0.0129***	-0.0130***	-0.0132***	-0.0133***	-0.0133***
	(0.000716)	(0.000673)	(0.00114)	(0.00109)	(0.00123)	(0.00120)	(0.00110)	(0.00109)	(0.00113)	(0.00116)	(0.00113)	(0.00114)	(0.00114)	(0.00115)	(0.00148)	(0.00147)
agemay	0.0159	-0.00614	-0.00230	-0.0172	0.0201	0.00525	0.0160	0.000902	0.00937	-0.000488	0.0306	0.0214	0.0114	0.00964	0.00990	0.00731
	(0.0207)	(0.0212)	(0.0225)	(0.0223)	(0.0249)	(0.0259)	(0.0281)	(0.0296)	(0.0328)	(0.0341)	(0.0360)	(0.0364)	(0.0390)	(0.0407)	(0.0295)	(0.0310)
magesq	-0.000521**	-0.000256	-0.000342	-0.000165	-0.000828**	-0.000665*	-0.000769**	-0.000591*	-0.000622*	-0.000500	-0.000784*	-0.000650	-0.000476	-0.000421	-0.000391	-0.000313
	(0.000250)	(0.000239)	(0.000361)	(0.000355)	(0.000336)	(0.000349)	(0.000328)	(0.000348)	(0.000357)	(0.000372)	(0.000458)	(0.000450)	(0.000432)	(0.000441)	(0.000326)	(0.000323)
height		7.94e-05		0.000123*		8.72e-05		0.000139**		0.000256***		0.000174		0.000167**		0.000318***
		(7.56e-05)		(7.24e-05)		(6.62e-05)		(5.87e-05)		(8.76e-05)		(0.000111)		(7.51e-05)		(0.000110)
bmi		2.47e-05*		3.03e-05***		3.07e-05**		6.80e-05***		8.55e-05***		0.000100***		0.000118***		0.000116***
		(1.28e-05)		(8.06e-06)		(1.47e-05)		(2.03e-05)		(1.75e-05)		(2.90e-05)		(2.72e-05)		(2.33e-05)
educf		0.0152***		0.0115***		0.0157***		0.0200***		0.0220***		0.0233***		0.0229***		0.0315***
		(0.00277)		(0.00186)		(0.00340)		(0.00356)		(0.00388)		(0.00330)		(0.00574)		(0.00328)
poor1		-0.105***		-0.109***		-0.121***		-0.142***		-0.155***		-0.155***		-0.169***		-0.167***
		(0.0203)		(0.0179)		(0.0184)		(0.0212)		(0.0240)		(0.0200)		(0.0237)		(0.0195)
pretwin			-0.0641**	-0.0616*	-0.00417	-0.00845	0.0356	0.0254	-0.0172	-0.0108	-0.0608*	-0.0704**	-0.0265	-0.0150	-0.0635*	-0.0627**
			(0.0296)	(0.0326)	(0.0305)	(0.0306)	(0.0290)	(0.0300)	(0.0289)	(0.0287)	(0.0309)	(0.0300)	(0.0322)	(0.0325)	(0.0316)	(0.0304)
posttwin			0.0433	0.0504	-0.00968	0.00939	0.0122	0.0288	-0.0663**	-0.0712**	-0.0434	-0.0500	0.0421	0.0159	-0.0183	-0.0353
			(0.0323)	(0.0309)	(0.0313)	(0.0324)	(0.0363)	(0.0384)	(0.0302)	(0.0289)	(0.0336)	(0.0356)	(0.0391)	(0.0458)	(0.0401)	(0.0418)
Constant	1.119	1.237	0.377	0.326	2.496**	2.525**	1.719	1.523	1.166	0.628	0.456	-0.0356	0.381	-0.317	-0.336	-1.407
	(0.856)	(0.869)	(1.134)	(1.127)	(1.211)	(1.221)	(1.172)	(1.260)	(1.175)	(1.270)	(1.018)	(1.139)	(1.177)	(1.274)	(1.031)	(1.126)
																
Observations	13,030	12,916	63,474	62,920	97,715	96,708	98,716	97,710	90,013	89,088	77,577	76,956	63,245	62,702	48,641	48,207
R-squared	0.507	0.523	0.519	0.533	0.427	0.446	0.326	0.351	0.265	0.291	0.238	0.263	0.221	0.246	0.202	0.226
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
