	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																
twinfamily	0.0315	-0.0397	-0.0468	-0.0796	-0.0908	-0.0656	-0.184***	-0.164***	-0.144**	-0.152***	-0.149*	-0.142**	-0.0940	-0.153**	-0.0932	-0.134*
	(0.135)	(0.129)	(0.0549)	(0.0539)	(0.0714)	(0.0706)	(0.0530)	(0.0531)	(0.0634)	(0.0539)	(0.0757)	(0.0633)	(0.0729)	(0.0686)	(0.0719)	(0.0752)
malec	-0.189***	-0.189***	-0.134***	-0.120***	-0.136***	-0.112**	-0.0936	-0.0625	-0.0437	-0.00589	0.0437	0.0698	0.105	0.126	0.0846	0.112
	(0.0511)	(0.0490)	(0.0336)	(0.0362)	(0.0367)	(0.0439)	(0.0576)	(0.0674)	(0.0524)	(0.0600)	(0.0734)	(0.0779)	(0.0760)	(0.0784)	(0.0763)	(0.0772)
age	0.979***	1.016***	0.982***	1.004***	0.923***	0.927***	0.715***	0.722***	0.621***	0.629***	0.581***	0.587***	0.560***	0.559***	0.591***	0.586***
	(0.0718)	(0.0728)	(0.0808)	(0.0891)	(0.110)	(0.114)	(0.119)	(0.120)	(0.111)	(0.111)	(0.0878)	(0.0878)	(0.0780)	(0.0757)	(0.0801)	(0.0796)
agesq	-0.00777**	-0.00842***	-0.00719*	-0.00754*	-0.00683	-0.00665	-0.000998	-0.00139	-0.000391	-0.00103	-0.00135	-0.00201	-0.00233	-0.00269	-0.00530*	-0.00542*
	(0.00294)	(0.00298)	(0.00369)	(0.00385)	(0.00476)	(0.00485)	(0.00486)	(0.00487)	(0.00433)	(0.00440)	(0.00293)	(0.00298)	(0.00280)	(0.00272)	(0.00281)	(0.00283)
agemay	0.0124	-0.0884*	0.0106	-0.0775*	0.0344	-0.0501	0.0719**	-0.00303	0.0166	-0.0410	0.0487	0.0112	-0.0106	-0.0300	-0.0215	-0.0446
	(0.0597)	(0.0500)	(0.0326)	(0.0414)	(0.0337)	(0.0303)	(0.0279)	(0.0247)	(0.0371)	(0.0344)	(0.0486)	(0.0406)	(0.0376)	(0.0323)	(0.0443)	(0.0314)
magesq	0.000726	0.00184***	0.000647	0.00160**	0.000391	0.00127***	-4.87e-05	0.000766**	0.000905	0.00155***	0.000455	0.000916	0.00114**	0.00144***	0.00123**	0.00160***
	(0.000780)	(0.000684)	(0.000519)	(0.000645)	(0.000466)	(0.000441)	(0.000390)	(0.000362)	(0.000572)	(0.000545)	(0.000729)	(0.000632)	(0.000539)	(0.000473)	(0.000581)	(0.000436)
height		0.000412		0.000715***		0.000848***		0.000974***		0.00109***		0.000805***		0.000922***		0.000722***
		(0.000442)		(0.000246)		(0.000288)		(0.000168)		(0.000174)		(0.000218)		(0.000208)		(0.000216)
bmi		0.000168***		0.000269***		0.000308***		0.000415***		0.000505***		0.000572***		0.000560***		0.000572***
		(6.07e-05)		(4.98e-05)		(5.65e-05)		(7.91e-05)		(5.80e-05)		(7.15e-05)		(7.02e-05)		(5.92e-05)
educf		0.0777***		0.0703***		0.0948***		0.116***		0.127***		0.133***		0.126***		0.164***
		(0.00909)		(0.00895)		(0.0154)		(0.0177)		(0.0177)		(0.0178)		(0.0232)		(0.0144)
poor1		-0.412***		-0.472***		-0.488***		-0.566***		-0.649***		-0.716***		-0.745***		-0.677***
		(0.107)		(0.0916)		(0.0552)		(0.0649)		(0.0652)		(0.0597)		(0.0617)		(0.0651)
pretwin			-0.00659	0.0165	0.144*	0.115*	0.183***	0.152**	0.0669	0.0814	0.0737	0.0412	0.0628	0.115	0.0707	0.0931
			(0.0676)	(0.0775)	(0.0739)	(0.0678)	(0.0583)	(0.0744)	(0.0715)	(0.0666)	(0.0759)	(0.0671)	(0.0772)	(0.0757)	(0.0933)	(0.0917)
posttwin			-0.189*	-0.130	-0.0458	0.0575	0.0505	0.0848	0.141	0.0827	0.0494	0.0121	0.189**	0.0739	0.169*	0.143
			(0.107)	(0.0917)	(0.0892)	(0.0981)	(0.0607)	(0.0649)	(0.0875)	(0.0820)	(0.0765)	(0.0657)	(0.0774)	(0.0966)	(0.0923)	(0.0900)
Constant	-7.347***	-6.796***	-10.46***	-11.59***	-7.378***	-8.089***	-5.363***	-7.344***	-3.587***	-6.017***	-4.288***	-5.762***	-1.566*	-4.815***	-3.135***	-5.673***
	(1.215)	(1.571)	(0.509)	(0.717)	(1.059)	(1.364)	(0.831)	(1.134)	(0.947)	(1.110)	(0.956)	(1.004)	(0.810)	(0.712)	(1.072)	(0.787)
																
Observations	15,529	15,401	84,331	83,681	141,105	139,853	151,237	149,873	140,504	139,166	122,978	122,026	100,709	99,875	76,831	76,131
R-squared	0.777	0.793	0.798	0.814	0.747	0.769	0.678	0.709	0.606	0.642	0.552	0.591	0.515	0.550	0.475	0.514
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
