	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																
twinfamily	0.0220	-0.00244	0.0442**	0.0329**	-0.0143	-0.00392	-0.0336	-0.0231	-0.0339	-0.0315*	-0.0536**	-0.0428**	-0.0445**	-0.0461**	-0.0200	-0.0273
	(0.0381)	(0.0296)	(0.0166)	(0.0141)	(0.0263)	(0.0282)	(0.0216)	(0.0189)	(0.0204)	(0.0163)	(0.0233)	(0.0200)	(0.0175)	(0.0184)	(0.0211)	(0.0223)
malec	-0.0276***	-0.0248***	-0.0178*	-0.00918	-0.0259*	-0.0155	-0.0230	-0.00635	-0.0246	-0.00829	-0.00469	0.00993	0.00133	0.0132	0.00394	0.0162
	(0.00792)	(0.00861)	(0.00991)	(0.0119)	(0.0145)	(0.0175)	(0.0208)	(0.0234)	(0.0186)	(0.0208)	(0.0232)	(0.0250)	(0.0189)	(0.0199)	(0.0164)	(0.0162)
age	0.0631***	0.0657***	0.0703**	0.0698**	0.0722***	0.0710***	0.0837***	0.0803***	0.109***	0.101***	0.127***	0.122***	0.120***	0.113***	0.113***	0.111***
	(0.0182)	(0.0180)	(0.0277)	(0.0268)	(0.0211)	(0.0211)	(0.0214)	(0.0204)	(0.0257)	(0.0253)	(0.0227)	(0.0221)	(0.0175)	(0.0169)	(0.0167)	(0.0162)
agesq	-0.00158***	-0.00156***	-0.00182***	-0.00171***	-0.00182***	-0.00173***	-0.00193***	-0.00183***	-0.00251***	-0.00233***	-0.00288***	-0.00281***	-0.00268***	-0.00255***	-0.00249***	-0.00246***
	(0.000394)	(0.000386)	(0.000640)	(0.000621)	(0.000483)	(0.000484)	(0.000476)	(0.000455)	(0.000584)	(0.000583)	(0.000509)	(0.000499)	(0.000377)	(0.000367)	(0.000362)	(0.000354)
agemay	0.103***	0.0835***	0.0409**	0.0243	0.0541***	0.0396***	0.0805***	0.0645***	0.0447***	0.0260**	0.0449***	0.0344***	0.00840	-0.000657	0.00524	-8.20e-05
	(0.0181)	(0.0187)	(0.0193)	(0.0218)	(0.0135)	(0.0143)	(0.00896)	(0.00966)	(0.0116)	(0.0100)	(0.0110)	(0.0107)	(0.00970)	(0.00805)	(0.0111)	(0.00988)
magesq	-0.00112***	-0.000924***	-0.000332	-0.000180	-0.000489***	-0.000356*	-0.000851***	-0.000678***	-0.000361**	-0.000147	-0.000397***	-0.000272*	4.26e-05	0.000151	6.96e-05	0.000141
	(0.000200)	(0.000213)	(0.000258)	(0.000280)	(0.000169)	(0.000180)	(0.000108)	(0.000125)	(0.000163)	(0.000146)	(0.000148)	(0.000144)	(0.000122)	(0.000105)	(0.000134)	(0.000119)
height		-6.86e-06		0.000113***		0.000249***		0.000197***		0.000192***		0.000209***		0.000140***		0.000170***
		(7.88e-05)		(3.92e-05)		(7.79e-05)		(5.04e-05)		(4.12e-05)		(5.91e-05)		(4.29e-05)		(5.46e-05)
bmi		3.82e-05**		5.05e-05***		5.30e-05***		7.59e-05***		8.97e-05***		0.000102***		8.78e-05***		0.000109***
		(1.59e-05)		(9.13e-06)		(9.17e-06)		(1.36e-05)		(1.08e-05)		(1.75e-05)		(1.49e-05)		(1.49e-05)
educf		0.0135***		0.0137***		0.0176***		0.0239***		0.0271***		0.0243***		0.0303***		0.0327***
		(0.00210)		(0.00192)		(0.00258)		(0.00346)		(0.00287)		(0.00502)		(0.00302)		(0.00317)
poor1		-0.191***		-0.169***		-0.157***		-0.161***		-0.178***		-0.175***		-0.151***		-0.149***
		(0.0291)		(0.0354)		(0.0213)		(0.0231)		(0.0195)		(0.0156)		(0.0169)		(0.0162)
pretwin			-0.0414**	-0.0415**	0.0411**	0.0270	0.0206	0.00867	0.0203	0.0224	0.0381*	0.0249	0.0535***	0.0535***	0.0134	0.0217
			(0.0186)	(0.0196)	(0.0196)	(0.0227)	(0.0216)	(0.0206)	(0.0217)	(0.0182)	(0.0197)	(0.0186)	(0.0156)	(0.0158)	(0.0210)	(0.0227)
posttwin			-0.0225	-0.00719	-0.00782	0.00540	0.00320	0.00385	0.0571	0.0359	0.0389	0.0209	0.101***	0.0969***	0.0342	0.0281
			(0.0332)	(0.0338)	(0.0360)	(0.0364)	(0.0311)	(0.0323)	(0.0413)	(0.0433)	(0.0313)	(0.0279)	(0.0374)	(0.0318)	(0.0271)	(0.0302)
Constant	-2.771***	-2.504***	-0.360	-0.468	-1.200**	-1.521***	-2.284***	-2.359***	-2.129***	-2.308***	-2.276***	-2.712***	-1.650***	-1.975***	-1.385***	-1.826***
	(0.468)	(0.550)	(0.346)	(0.379)	(0.586)	(0.524)	(0.287)	(0.245)	(0.342)	(0.292)	(0.287)	(0.280)	(0.249)	(0.232)	(0.254)	(0.202)
																
Observations	5,858	5,790	33,566	33,203	59,351	58,526	62,863	62,005	58,719	57,818	55,852	55,240	50,463	49,839	41,731	41,187
R-squared	0.266	0.328	0.200	0.266	0.184	0.254	0.203	0.284	0.251	0.328	0.289	0.352	0.298	0.358	0.276	0.336
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
