	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																
twinfamily	0.00408	-0.0322	-0.0299	-0.0491	-0.0711*	-0.0550	-0.101***	-0.0931***	-0.0866***	-0.0915***	-0.0668*	-0.0661**	-0.0227	-0.0486	-0.0588**	-0.0767***
	(0.0618)	(0.0639)	(0.0367)	(0.0374)	(0.0374)	(0.0347)	(0.0278)	(0.0294)	(0.0279)	(0.0241)	(0.0384)	(0.0329)	(0.0315)	(0.0313)	(0.0267)	(0.0274)
malec	-0.0815**	-0.0837**	-0.0668***	-0.0594***	-0.0666***	-0.0552**	-0.0454*	-0.0305	-0.0150	0.00194	0.0161	0.0277	0.0437	0.0521	0.0456	0.0568
	(0.0325)	(0.0319)	(0.0201)	(0.0209)	(0.0194)	(0.0227)	(0.0267)	(0.0307)	(0.0247)	(0.0277)	(0.0301)	(0.0316)	(0.0324)	(0.0335)	(0.0340)	(0.0343)
age	0.0564**	0.0747***	0.0535**	0.0653**	0.0590***	0.0609***	0.0274**	0.0310***	0.00570	0.00929	-0.00904	-0.00616	-0.0209**	-0.0208**	-0.0337***	-0.0353***
	(0.0227)	(0.0224)	(0.0247)	(0.0275)	(0.0187)	(0.0192)	(0.0115)	(0.0116)	(0.00856)	(0.00911)	(0.00747)	(0.00757)	(0.00938)	(0.00949)	(0.00843)	(0.00861)
agesq	-0.00216**	-0.00248***	-0.00192*	-0.00211*	-0.00227***	-0.00216**	-0.000938*	-0.00111**	-0.000262	-0.000525	0.000175	-0.000107	0.000533	0.000376	0.000945**	0.000892**
	(0.000882)	(0.000853)	(0.00107)	(0.00113)	(0.000833)	(0.000852)	(0.000531)	(0.000524)	(0.000408)	(0.000455)	(0.000303)	(0.000305)	(0.000383)	(0.000386)	(0.000384)	(0.000396)
agemay	0.0951***	0.0448*	0.105***	0.0607**	0.127***	0.0862***	0.116***	0.0811***	0.0725***	0.0466***	0.0761***	0.0602***	0.0375**	0.0292*	0.0167	0.00633
	(0.0275)	(0.0242)	(0.0229)	(0.0254)	(0.0213)	(0.0189)	(0.0154)	(0.0124)	(0.0159)	(0.0149)	(0.0208)	(0.0177)	(0.0169)	(0.0150)	(0.0179)	(0.0145)
magesq	-0.000911***	-0.000352	-0.00104***	-0.000566	-0.00131***	-0.000885***	-0.00111***	-0.000723***	-0.000439*	-0.000152	-0.000490	-0.000291	-3.52e-05	9.91e-05	0.000221	0.000385**
	(0.000311)	(0.000275)	(0.000309)	(0.000339)	(0.000285)	(0.000268)	(0.000214)	(0.000197)	(0.000233)	(0.000224)	(0.000311)	(0.000278)	(0.000226)	(0.000204)	(0.000224)	(0.000186)
height		0.000320*		0.000357***		0.000389***		0.000514***		0.000495***		0.000381***		0.000421***		0.000345***
		(0.000190)		(0.000103)		(0.000115)		(7.30e-05)		(9.45e-05)		(9.64e-05)		(9.05e-05)		(9.20e-05)
bmi		4.71e-05*		0.000109***		0.000130***		0.000172***		0.000205***		0.000217***		0.000234***		0.000229***
		(2.37e-05)		(1.51e-05)		(2.09e-05)		(3.16e-05)		(2.53e-05)		(3.22e-05)		(2.92e-05)		(2.43e-05)
educf		0.0403***		0.0363***		0.0480***		0.0564***		0.0599***		0.0592***		0.0538***		0.0672***
		(0.00467)		(0.00368)		(0.00706)		(0.00747)		(0.00730)		(0.00768)		(0.0101)		(0.00647)
poor1		-0.198***		-0.242***		-0.257***		-0.286***		-0.296***		-0.323***		-0.339***		-0.283***
		(0.0572)		(0.0453)		(0.0306)		(0.0295)		(0.0289)		(0.0219)		(0.0218)		(0.0214)
pretwin			-0.0439	-0.0320	0.0615	0.0403	0.0793**	0.0672	0.0599*	0.0698**	0.0326	0.0177	-0.00393	0.0183	0.0543	0.0640*
			(0.0417)	(0.0439)	(0.0409)	(0.0365)	(0.0350)	(0.0445)	(0.0302)	(0.0280)	(0.0377)	(0.0355)	(0.0321)	(0.0324)	(0.0334)	(0.0335)
posttwin			-0.0970*	-0.0598	0.0273	0.0771	0.0527	0.0708*	0.0746	0.0554	0.0276	0.0152	0.0299	-0.0177	0.112***	0.0998***
			(0.0520)	(0.0492)	(0.0480)	(0.0515)	(0.0441)	(0.0415)	(0.0527)	(0.0452)	(0.0367)	(0.0333)	(0.0500)	(0.0538)	(0.0395)	(0.0371)
Constant	-2.884***	-2.725***	-3.415***	-3.927***	-3.182***	-3.441***	-3.257***	-4.239***	-2.273***	-3.337***	-2.089***	-2.710***	-0.941***	-2.361***	-1.600***	-2.688***
	(0.704)	(0.872)	(0.224)	(0.317)	(0.589)	(0.635)	(0.229)	(0.327)	(0.300)	(0.429)	(0.347)	(0.297)	(0.288)	(0.369)	(0.324)	(0.312)
																
Observations	16,099	15,964	86,374	85,697	142,256	140,984	152,012	150,641	141,061	139,705	123,422	122,458	101,070	100,230	77,150	76,448
R-squared	0.090	0.143	0.097	0.156	0.068	0.146	0.051	0.144	0.045	0.132	0.047	0.127	0.049	0.120	0.057	0.124
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
